# 1:f 2:hp.real 3:hp.imag 4:hx.real 5:hx.imag
1394.38297872 -2.63261358702e-05 -2.53294655799e-05 -2.54687256051e-05 2.9064341034e-05
1444.18237082 -4.65324752996e-05 -2.38393943412e-05 -2.42365406328e-05 4.98675172358e-05
1493.98176292 -5.99839346794e-05 -5.94324704131e-06 -5.0006747089e-06 6.31897926858e-05
1543.78115502 -8.11013080571e-05 1.52704905285e-05 1.59076542388e-05 8.45991753886e-05
1593.58054711 -8.23829779857e-05 5.54993920047e-05 5.75264195486e-05 8.52496938993e-05
1643.37993921 -5.70296578217e-05 8.06809271948e-05 8.24052805629e-05 5.96557466543e-05
1693.17933131 -4.59926032595e-05 0.000105300584073 0.000107880595854 4.78158614063e-05
1742.9787234 -2.41995147463e-05 0.000138164512643 0.000140347206331 2.63924006053e-05
1792.7781155 4.59757070943e-05 0.00017182260279 0.000175217064158 -4.57089084177e-05
1842.5775076 0.000143359504747 0.000172163239254 0.000175560326358 -0.000143373147593
1892.3768997 0.000246574463038 8.61682098577e-05 8.82227417215e-05 -0.000248336158693
1942.17629179 0.000223911840776 -2.1600655184e-05 -1.96423775437e-05 -0.000225080228565
1991.97568389 0.000175764367386 -0.000118108543384 -0.000117438709166 -0.000177134526725
2041.77507599 0.000108105816319 -0.000222605267355 -0.000223045547764 -0.000109989540362
2091.57446809 -0.000161011908867 -0.00023838702657 -0.000239986094325 0.000161650340261
2141.37386018 -0.000155854060168 2.32852262198e-05 2.416320193e-05 0.000157405140194
2191.17325228 -8.41995547295e-05 4.61021588684e-05 4.74542932396e-05 8.5028772034e-05
2240.97264438 -4.13689133067e-05 9.95609941335e-05 0.0001034165415 4.26483846077e-05
2290.77203647 3.22062384181e-05 -0.000151353475615 -0.000152963433168 -3.61077558028e-05
2340.57142857 -0.000712610318776 0.000212786531468 0.000216736252145 0.00073335696469
2390.37082067 -1.77652295484e-06 0.000347790027335 0.000347960042449 1.10602953624e-06
2440.17021277 0.000282136429389 0.00027353641989 0.000274310670842 -0.000288211389065
2489.96960486 0.000390649554393 4.39347642303e-05 4.21083378523e-05 -0.000392735462731
2539.76899696 0.000285889868327 -0.000139071027348 -0.00014095262197 -0.00028684477264
2589.56838906 0.000128630213017 -0.000230024932632 -0.000231853953291 -0.000128166108627
2639.36778116 -4.12265534794e-05 -0.000185232205062 -0.000185708808199 4.29933011937e-05
2689.16717325 -4.98291657691e-05 -3.13096829036e-05 -3.00001194418e-05 5.07522494283e-05
2738.96656535 3.09402449197e-05 -8.75639654636e-06 -7.5675817047e-06 -3.12781021147e-05
2788.76595745 5.62084472134e-05 -5.05167346194e-05 -4.95599185614e-05 -5.6380889228e-05
2838.56534954 2.29811160215e-05 -6.86800137015e-05 -6.84444030847e-05 -2.30788297526e-05
2888.36474164 3.32942612969e-06 -6.62531141913e-05 -6.6266328327e-05 -3.50203004223e-06
2938.16413374 -1.11908689714e-05 -6.39623514653e-05 -6.41210263551e-05 1.1642603585e-05
2987.96352584 -2.78946902255e-05 -4.76133280172e-05 -4.73566185374e-05 2.83652471868e-05
3037.76291793 -2.78018771597e-05 -3.60718165794e-05 -3.55051496647e-05 2.87924365763e-05
3087.56231003 -3.11385922945e-05 -2.80273465405e-05 -2.70346807906e-05 3.16357256334e-05
3137.36170213 -3.67354777653e-05 -1.89527544763e-05 -1.79586010751e-05 3.7030918569e-05
3187.16109422 -3.69023720578e-05 -7.06678212193e-06 -6.1329799778e-06 3.70220401236e-05
3236.96048632 -3.15718004417e-05 5.70645263972e-06 6.39613040203e-06 3.1480344065e-05
3286.75987842 -1.84329340121e-05 1.02485804352e-05 1.07502910524e-05 1.84109889714e-05
