# 1:time 2:Re 3:Im
0.0 -4.0114112757e-11 1.2888818869e-09
2.4 -3.98333675426e-11 1.29659240509e-09
4.8 -3.98266630923e-11 1.30427719232e-09
7.2 -3.98234875226e-11 1.31195852167e-09
9.6 -3.9819213604e-11 1.3196525291e-09
12.0 -3.98310829553e-11 1.32735118653e-09
14.4 -3.98350173651e-11 1.33502474643e-09
16.8 -3.9853995901e-11 1.34273667099e-09
19.2 -3.98907447797e-11 1.35042394326e-09
21.6 -3.98610565223e-11 1.35809181072e-09
24.0 -3.98752157112e-11 1.36578386277e-09
26.4 -3.99176415334e-11 1.37348940362e-09
28.8 -3.98868936208e-11 1.38118560038e-09
31.2 -3.99042033703e-11 1.38883776551e-09
33.6 -3.99152974916e-11 1.39653519181e-09
36.0 -3.9922942311e-11 1.40425336132e-09
38.4 -3.99573389175e-11 1.41191482824e-09
40.8 -3.99571342025e-11 1.41958077147e-09
43.2 -3.99658570015e-11 1.42728074033e-09
45.6 -4.00018495275e-11 1.43495696922e-09
48.0 -4.00235270905e-11 1.44264544434e-09
50.4 -4.00092244173e-11 1.4503155364e-09
52.8 -4.00313018246e-11 1.4579656155e-09
55.2 -4.00584770651e-11 1.46562237124e-09
57.6 -4.00315174557e-11 1.47329429326e-09
60.0 -4.00315763122e-11 1.48096519252e-09
62.4 -4.01046599893e-11 1.4886117337e-09
64.8 -4.01001692936e-11 1.49622883328e-09
67.2 -4.00347131063e-11 1.50386684875e-09
69.6 -4.00747523167e-11 1.51150711758e-09
72.0 -4.01247589021e-11 1.51905645121e-09
74.4 -4.00607582156e-11 1.52662558339e-09
76.8 -4.00092900204e-11 1.53423562821e-09
79.2 -3.99970288175e-11 1.5417446975e-09
81.6 -3.99310556966e-11 1.54926002528e-09
84.0 -3.9870039042e-11 1.55681193987e-09
86.4 -3.98455695777e-11 1.56427386911e-09
88.8 -3.98678912462e-11 1.57174714147e-09
91.2 -3.98575573735e-11 1.57925284948e-09
93.6 -3.9834231507e-11 1.58674317467e-09
96.0 -3.98902800757e-11 1.59427644201e-09
98.4 -3.9989435079e-11 1.60176183106e-09
100.8 -4.00959773398e-11 1.60929827696e-09
103.2 -4.01687941659e-11 1.61684220326e-09
105.6 -4.02258816992e-11 1.62433796357e-09
108.0 -4.03064054865e-11 1.63187842615e-09
110.4 -4.03338740083e-11 1.63939842428e-09
112.8 -4.03957882759e-11 1.64694011722e-09
115.2 -4.04576135936e-11 1.654464326e-09
117.6 -4.04615524626e-11 1.66199805068e-09
120.0 -4.05449173271e-11 1.66953771916e-09
122.4 -4.0609735229e-11 1.67703878075e-09
124.8 -4.06086423277e-11 1.68456698515e-09
127.2 -4.06753346183e-11 1.69210605775e-09
129.6 -4.07554659519e-11 1.69960984997e-09
132.0 -4.08327757593e-11 1.70714844138e-09
134.4 -4.08944852578e-11 1.71471317094e-09
136.8 -4.09394253958e-11 1.72220354765e-09
139.2 -4.10507454302e-11 1.72971706534e-09
141.6 -4.11339161706e-11 1.73720751597e-09
144.0 -4.12390286273e-11 1.74469973506e-09
146.4 -4.12554097155e-11 1.75224310532e-09
148.8 -4.12200860629e-11 1.75990141249e-09
151.2 -4.13093395659e-11 1.76772112459e-09
153.6 -4.16265134664e-11 1.77563484292e-09
156.0 -4.20802397168e-11 1.78315301424e-09
158.4 -4.21488199714e-11 1.7890604806e-09
160.8 -4.16862273491e-11 1.79254024455e-09
163.2 -4.1162252082e-11 1.79404076211e-09
165.6 -4.11644030344e-11 1.79599478474e-09
168.0 -4.17590275847e-11 1.80196316072e-09
170.4 -4.23363194705e-11 1.8137575537e-09
172.8 -4.24525933795e-11 1.82935200999e-09
175.2 -4.22429042617e-11 1.84367732124e-09
177.6 -4.21432237351e-11 1.85253168537e-09
180.0 -4.2371433186e-11 1.85628009722e-09
182.4 -4.28041600293e-11 1.85950609836e-09
184.8 -4.31071501706e-11 1.86628400791e-09
187.2 -4.32320841173e-11 1.87648628525e-09
189.6 -4.33653533055e-11 1.88685755971e-09
192.0 -4.37311443825e-11 1.89495579551e-09
194.4 -4.40709393581e-11 1.90118938172e-09
196.8 -4.42778817542e-11 1.90759636191e-09
199.2 -4.45482106523e-11 1.9151367581e-09
201.6 -4.49976866834e-11 1.923208821e-09
204.0 -4.5331046043e-11 1.93131302153e-09
206.4 -4.5403540525e-11 1.93935894856e-09
208.8 -4.58681168763e-11 1.94778937466e-09
211.2 -4.65902652507e-11 1.95684989474e-09
213.6 -4.6962059423e-11 1.96645752482e-09
216.0 -4.69025066367e-11 1.97660740493e-09
218.4 -4.70661511817e-11 1.9869605113e-09
220.8 -4.78804043093e-11 1.99688346841e-09
223.2 -4.88736319119e-11 2.00568903322e-09
225.6 -4.94762262074e-11 2.01325188799e-09
228.0 -4.96423332694e-11 2.0196470297e-09
230.4 -5.00867417633e-11 2.02497283259e-09
232.8 -5.13267710723e-11 2.02948581651e-09
235.2 -5.26705121111e-11 2.03290961762e-09
237.6 -5.36721069855e-11 2.03485156506e-09
240.0 -5.52197528946e-11 2.03525263474e-09
242.4 -5.76445688979e-11 2.03505678214e-09
244.8 -5.85657224821e-11 2.03610046777e-09
247.2 -5.22749380186e-11 2.04027144257e-09
249.6 -3.32239247752e-11 2.04942297334e-09
252.0 -6.12999818218e-12 2.06394959386e-09
254.4 -7.81622883708e-12 2.07890859063e-09
256.8 -1.24231495113e-10 2.076261953e-09
259.2 -4.33405551581e-10 2.01984030463e-09
261.6 -8.3778995526e-10 1.87243900057e-09
264.0 -8.92166649612e-10 1.65396801032e-09
266.4 9.23635172822e-11 1.52160451012e-09
268.8 2.39779022198e-09 1.78046791158e-09
271.2 4.88295283316e-09 2.69098793127e-09
273.6 4.67562082454e-09 4.06928673326e-09
276.0 -7.76493570357e-10 4.99594353017e-09
278.4 -9.51009712648e-09 4.18486227665e-09
280.8 -1.3790436596e-08 1.19487843488e-09
283.2 -7.49345870752e-09 -2.44319825298e-09
285.6 4.13466930428e-09 -3.80803086085e-09
288.0 8.97414995424e-09 -1.17491782948e-09
290.4 5.69170735587e-09 3.77486068577e-09
292.8 6.77622552239e-09 6.96098629897e-09
295.2 1.70840561021e-08 5.58759465871e-09
297.6 2.14241132127e-08 8.32044730301e-10
300.0 3.97623551831e-09 -2.97138965242e-09
302.4 -2.83663535432e-08 -1.88103775137e-09
304.8 -4.95657117529e-08 4.04778902542e-09
307.2 -3.80303960972e-08 1.02678605081e-08
309.6 2.02442378715e-09 1.15878999401e-08
312.0 4.05172435211e-08 6.83124157046e-09
314.4 4.85318631873e-08 -5.96186182466e-10
316.8 2.54375391314e-08 -5.93035713028e-09
319.2 -6.21326821586e-09 -6.20809810454e-09
321.6 -2.64770490455e-08 -1.76094193299e-09
324.0 -2.9778521667e-08 4.05815390853e-09
326.4 -1.79407227007e-08 7.32439150234e-09
328.8 3.48288340159e-09 6.44047542198e-09
331.2 2.08298405621e-08 2.79855533588e-09
333.6 1.95956932105e-08 -6.92298792018e-10
336.0 2.18025141397e-09 -1.7703358343e-09
338.4 -1.36863534068e-08 -4.68936824139e-10
340.8 -1.6273933594e-08 1.49006586709e-09
343.2 -8.28202972638e-09 2.88279854386e-09
345.6 2.48112096546e-09 3.44904764072e-09
348.0 9.75042534734e-09 2.96377614195e-09
350.4 9.69029840714e-09 1.69361971314e-09
352.8 2.12874574634e-09 7.78845694613e-10
355.2 -8.76545298432e-09 7.0019941681e-10
357.6 -1.60060240964e-08 7.15825429167e-10
360.0 -1.48847480425e-08 4.25092376315e-10
362.4 -7.74562267229e-09 1.66627284302e-10
364.8 -3.58432833839e-10 -1.05520562125e-10
367.2 5.29963767356e-09 -7.51911912698e-10
369.6 1.06754720368e-08 -1.75771954239e-09
372.0 1.53228860916e-08 -3.09274818839e-09
374.4 1.53929993074e-08 -4.76128477747e-09
376.8 5.21989746126e-09 -6.13734664072e-09
379.2 -2.42711258177e-08 -6.71317785735e-09
381.6 -8.85800448276e-08 -7.3960653062e-09
384.0 -2.02713729174e-07 -9.48577769156e-09
386.4 -3.63514790646e-07 -1.37446428518e-08
388.8 -5.41541303903e-07 -2.26646084332e-08
391.2 -6.957574121e-07 -4.11319901711e-08
393.6 -7.92178350715e-07 -7.35148931948e-08
396.0 -8.01327509307e-07 -1.2491572978e-07
398.4 -6.82730828308e-07 -2.04765726978e-07
400.8 -3.91170595271e-07 -3.21270661182e-07
403.2 8.14542556422e-08 -4.71774472763e-07
405.6 6.67147790063e-07 -6.41425963688e-07
408.0 1.23856491188e-06 -8.058269962e-07
410.4 1.67583168519e-06 -9.33116390229e-07
412.8 1.91878215128e-06 -9.93339366397e-07
415.2 1.95507110593e-06 -9.7508341588e-07
417.6 1.76973106905e-06 -8.94660105091e-07
420.0 1.33663742509e-06 -7.88876161236e-07
422.4 6.73614065177e-07 -6.99871503218e-07
424.8 -1.23854495634e-07 -6.57916597611e-07
