# 1:time 2:Re 3:Im 4:phi 5:omega 6:E_dot_GW 7:E_GW 8:J_dot_GW 9:J_GW
0.0 0.0 0.0 -0.0 -0.564189347494 0.0 0.0 0.0 0.0
2.4 1.34928011105e-23 1.71965161694e-23 -0.905501501374 -0.190395236984 1.50065606432e-51 1.80078727718e-51 5.06035603606e-50 6.07242724327e-50
4.8 1.44148552798e-14 1.86927154347e-14 -0.913897137523 -0.00459671595493 1.88822447179e-33 2.26586936615e-33 4.85080314439e-32 5.82096377327e-32
7.2 1.41544328436e-11 1.8883217231e-11 -0.927565737957 -0.00690824879621 2.08402823889e-27 2.50083841841e-27 3.68633309855e-26 4.42361136018e-26
9.6 4.26170418896e-10 5.92257327685e-10 -0.947056731745 -0.00948129759044 2.24642503158e-24 2.7007117102e-24 2.27062844323e-23 2.73360134296e-23
12.0 3.15301985409e-09 4.63137652465e-09 -0.973075966392 -0.0123872076825 1.52081416494e-22 1.87894121541e-22 4.89074824803e-22 6.41473344512e-22
14.4 1.14438846187e-08 1.80808251765e-08 -1.00651532862 -0.0157092222031 2.58540836076e-21 3.47288185425e-21 -7.36627353831e-21 -7.61116511169e-21
16.8 2.7314088511e-08 4.74498423148e-08 -1.04848023297 -0.0195394422002 1.99595719391e-20 3.05268582141e-20 -1.60832968118e-19 -2.09450255099e-19
19.2 4.93959086083e-08 9.71242723123e-08 -1.10030465118 -0.023969206897 9.40051685501e-20 1.67284546801e-19 -1.17099482724e-18 -1.80764360953e-18
21.6 7.26439460617e-08 1.68398146412e-07 -1.16353242607 -0.0290669245137 3.18037943811e-19 6.61736281635e-19 -5.13147891467e-18 -9.37061209983e-18
24.0 8.92897812475e-08 2.59858285951e-07 -1.23982588885 -0.0348350985192 8.52184064876e-19 2.06600269206e-18 -1.63621042383e-17 -3.51629118834e-17
26.4 9.01420297992e-08 3.68264176569e-07 -1.33074089896 -0.0411399560619 1.92399351e-18 5.39741578191e-18 -4.18717003479e-17 -1.05043477387e-16
28.8 6.57251627502e-08 4.89400078313e-07 -1.43729767794 -0.0476214734735 3.81387056044e-18 1.22828526664e-17 -9.12512427889e-17 -2.64791009151e-16
31.2 7.09840504034e-09 6.18712855506e-07 -1.55932397164 -0.0536284888284 6.82927180389e-18 2.50546235036e-17 -1.76072105058e-16 -5.85579026568e-16
33.6 -9.36318422112e-08 7.51723049817e-07 -1.69471442432 -0.0582702340265 1.12731398205e-17 4.6777517453e-17 -3.09002141089e-16 -1.16766812194e-15
36.0 -2.4303630189e-07 8.84257552805e-07 -1.83902109496 -0.0606641208427 1.74117121684e-17 8.11993398396e-17 -5.02856788619e-16 -2.14189883759e-15
38.4 -4.46250634573e-07 1.01256021248e-06 -1.98590220437 -0.0603146600736 2.54456500703e-17 1.32628174526e-16 -7.69747821753e-16 -3.66902437004e-15
40.8 -7.06967817825e-07 1.13332649048e-06 -2.12853146332 -0.0573718538337 3.54871380148e-17 2.05747520228e-16 -1.1204145085e-15 -5.93721916634e-15
43.2 -1.02749285721e-06 1.24369488231e-06 -2.26128710277 -0.0525510370512 4.75443997657e-17 3.05385365565e-16 -1.56376845404e-15 -9.15823872139e-15
45.6 -1.4088315952e-06 1.34121642962e-06 -2.38077644116 -0.0467847938229 6.1514194615e-17 4.36255678821e-16 -2.10663929189e-15 -1.35627280165e-14
48.0 -1.8507956471e-06 1.42381538627e-06 -2.48585411312 -0.040879869408 7.71821210991e-17 6.02691257678e-16 -2.75369093607e-15 -1.93951242901e-14
50.4 -2.35211258275e-06 1.4897485702e-06 -2.57699981432 -0.0353596688121 9.42301269915e-17 8.08385955387e-16 -3.50747139493e-15 -2.69085190873e-14
52.8 -2.91053502105e-06 1.53756743417e-06 -2.65558052342 -0.0304770856691 1.12250156329e-16 1.05616229537e-15 -4.36854899473e-15 -3.63597435548e-14
55.2 -3.52294526272e-06 1.56608463383e-06 -2.72328982553 -0.0262992326191 1.30763082779e-16 1.3477781823e-15 -5.33571879447e-15 -4.80048649019e-14
57.6 -4.18545399189e-06 1.57434564588e-06 -2.78181683999 -0.022791550098 1.4924151655e-16 1.6837837015e-15 -6.40622562203e-15 -6.20951982017e-14
60.0 -4.89349250733e-06 1.56160542585e-06 -2.832689266 -0.0198757908331 1.67135258254e-16 2.06343583126e-15 -7.57601392601e-15 -7.88738856593e-14
62.4 -5.64189854705e-06 1.52730953667e-06 -2.87722063599 -0.0174627503159 1.83898283697e-16 2.4846760816e-15 -8.8399495054e-15 -9.8573041777e-14
64.8 -6.4249961839e-06 1.4710790969e-06 -2.91651046752 -0.015467971398 1.99016247822e-16 2.94417351943e-15 -1.0192061639e-14 -1.2141145515e-13
