# 1:time 2:Re 3:Im
0.0 -4.17259909941e-08 3.36453462849e-07
2.4 -4.17206629758e-08 3.38453219707e-07
4.8 -4.17162878212e-08 3.40448486196e-07
7.2 -4.17116727106e-08 3.42443705285e-07
9.6 -4.17067635577e-08 3.4443906674e-07
12.0 -4.17016766642e-08 3.46434478447e-07
14.4 -4.16964833593e-08 3.48429674743e-07
16.8 -4.16912201556e-08 3.50424581593e-07
19.2 -4.1685804886e-08 3.52419333302e-07
21.6 -4.16797750305e-08 3.54413944778e-07
24.0 -4.16735200164e-08 3.56408444073e-07
26.4 -4.16673997127e-08 3.58402828242e-07
28.8 -4.16608702528e-08 3.60396988052e-07
31.2 -4.16539062289e-08 3.62390854207e-07
33.6 -4.16467157281e-08 3.64384505581e-07
36.0 -4.16392804711e-08 3.66377861994e-07
38.4 -4.16317379445e-08 3.68370854919e-07
40.8 -4.16237173116e-08 3.70363508067e-07
43.2 -4.16152832388e-08 3.72355738764e-07
45.6 -4.16065500051e-08 3.74347614199e-07
48.0 -4.15975866227e-08 3.7633906854e-07
50.4 -4.15881943411e-08 3.7833003618e-07
52.8 -4.15780606776e-08 3.80320635215e-07
55.2 -4.15677203607e-08 3.82310729117e-07
57.6 -4.15572350233e-08 3.84300236615e-07
60.0 -4.15462612081e-08 3.86289296147e-07
62.4 -4.15346638445e-08 3.88277630446e-07
64.8 -4.15224320631e-08 3.90265071094e-07
67.2 -4.15099148822e-08 3.92251549308e-07
69.6 -4.14968546284e-08 3.94236655963e-07
72.0 -4.14827684466e-08 3.96219879303e-07
74.4 -4.14683908379e-08 3.98200939599e-07
76.8 -4.14538528058e-08 4.00179434918e-07
79.2 -4.1438116621e-08 4.0215508249e-07
81.6 -4.14215680275e-08 4.04127440962e-07
84.0 -4.14046645986e-08 4.06096534875e-07
86.4 -4.13870314564e-08 4.08062992921e-07
88.8 -4.13681309463e-08 4.10027218192e-07
91.2 -4.13484430734e-08 4.11989567079e-07
93.6 -4.13282722712e-08 4.13951050543e-07
96.0 -4.13070337064e-08 4.15912531138e-07
98.4 -4.12846141846e-08 4.17874155057e-07
100.8 -4.12613236205e-08 4.19835993923e-07
103.2 -4.12368754541e-08 4.21798443923e-07
105.6 -4.12114007246e-08 4.23762120994e-07
108.0 -4.11849942894e-08 4.25727128507e-07
110.4 -4.11563181361e-08 4.27690009497e-07
112.8 -4.11258197223e-08 4.29642291078e-07
115.2 -4.10954366426e-08 4.31576087188e-07
117.6 -4.10654154232e-08 4.33494486106e-07
120.0 -4.10328727387e-08 4.35414915591e-07
122.4 -4.09954600203e-08 4.37353125669e-07
124.8 -4.09546854112e-08 4.39307181498e-07
127.2 -4.09142459582e-08 4.41261792805e-07
129.6 -4.08750549508e-08 4.43207926476e-07
132.0 -4.08329662999e-08 4.45150163689e-07
134.4 -4.0786262696e-08 4.47093857774e-07
136.8 -4.07379377751e-08 4.49036165784e-07
139.2 -4.06885187674e-08 4.50972136093e-07
141.6 -4.06358588277e-08 4.52901247986e-07
144.0 -4.05782231195e-08 4.54826325273e-07
146.4 -4.0513634503e-08 4.56750851741e-07
148.8 -4.04459211802e-08 4.58677823514e-07
151.2 -4.03846571308e-08 4.60606187083e-07
