# 1:time 2:h+ 3:hx
0.0 0.0 0.0
6.103515625e-05 -0.147783068881 1.7731274134
0.0001220703125 -10.7241152047 81.0775630515
0.00018310546875 -54.7143207395 280.285796188
0.000244140625 -135.476130698 490.499690641
0.00030517578125 -246.79795452 643.30858825
0.0003662109375 -382.052554357 716.489755035
0.00042724609375 -535.776532998 706.873157387
0.00048828125 -703.22767 618.614856341
0.00054931640625 -880.307081074 457.262462888
0.0006103515625 -1063.21458914 228.543164161
0.00067138671875 -1248.27061326 -61.8038622266
0.000732421875 -1431.82061636 -407.858331347
0.00079345703125 -1610.14310116 -803.411268465
0.0008544921875 -1779.4851952 -1241.07517142
0.00091552734375 -1936.05005982 -1712.46270411
0.0009765625 -2075.95751827 -2207.86839608
0.00103759765625 -2201.55577601 -2723.6805308
0.0010986328125 -2320.89561375 -3266.6654133
0.00115966796875 -2433.16748518 -3835.67762277
0.001220703125 -2537.43179858 -4428.9449172
0.00128173828125 -2632.85569444 -5044.45316931
0.0013427734375 -2718.28413729 -5680.95534292
0.00140380859375 -2793.13763231 -6331.03198472
0.00146484375 -2876.26715761 -7007.82327872
0.00152587890625 -2897.64309111 -7668.27444469
0.0015869140625 -2951.7976545 -8371.78244653
0.00164794921875 -2971.5909371 -9071.38936767
0.001708984375 -2977.51446414 -9761.16836341
0.00177001953125 -2937.10111087 -10454.7413794
0.0018310546875 -2823.6981304 -11141.40002
0.00189208984375 -2498.89890886 -11788.7481182
0.001953125 -1098.80365289 -12328.3477386
0.00201416015625 6905.24466946 -11917.4889456
0.0020751953125 27747.0569986 -7107.43303154
0.00213623046875 45649.0738168 3367.03780644
0.002197265625 47584.1801222 15505.5847888
0.00225830078125 39529.8466298 25081.656304
0.0023193359375 29179.7502162 32735.8925843
0.00238037109375 18509.8240849 38959.9708666
0.00244140625 7179.96999738 42475.9693379
0.00250244140625 -4555.60220709 42905.8447487
0.0025634765625 -16041.7386128 40390.6230641
0.00262451171875 -26510.5118967 35080.3154091
0.002685546875 -35253.0818585 27297.3210722
0.00274658203125 -41735.1936153 17512.5312389
0.0028076171875 -45558.0617422 6320.43568577
0.00286865234375 -46426.3492596 -5547.14205577
0.0029296875 -44386.6590089 -17338.9172043
