# 1:t 2:E_GW_dot 3:E_GW 4:J_GW_dot 5:J_GW
180.0 2.27819228317e-09 1.30889456649e-07 1.88680832835e-07 1.14071523782e-05
182.4 2.32745274522e-09 1.36416230683e-07 1.92457523962e-07 1.18645184064e-05
184.8 2.3759477147e-09 1.42060311235e-07 1.96185592664e-07 1.23308901463e-05
187.2 2.42359057213e-09 1.47819757179e-07 1.99859932224e-07 1.28061447762e-05
189.6 2.4702839431e-09 1.53692406597e-07 2.03474876659e-07 1.32901465469e-05
192.0 2.51592902143e-09 1.59675862155e-07 2.0702453797e-07 1.37827458444e-05
194.4 2.56043241826e-09 1.65767495882e-07 2.10503107818e-07 1.42837790194e-05
196.8 2.60370750889e-09 1.71964463795e-07 2.13904950712e-07 1.47930686896e-05
199.2 2.64566664821e-09 1.78263712783e-07 2.1722429748e-07 1.53104237874e-05
201.6 2.68656104513e-09 1.84662386015e-07 2.20483336594e-07 1.58356729483e-05
204.0 2.72744640564e-09 1.91159194956e-07 2.23770302323e-07 1.6368777315e-05
206.4 2.7683872116e-09 1.97754195297e-07 2.27091783888e-07 1.69098118185e-05
208.8 2.80936494874e-09 2.04447497889e-07 2.30447264111e-07 1.74588586761e-05
211.2 2.85036297613e-09 2.11239171399e-07 2.33836209665e-07 1.80159988446e-05
213.6 2.89136169334e-09 2.18129241002e-07 2.37258206416e-07 1.85813121439e-05
216.0 2.93234017888e-09 2.25117683249e-07 2.40712996582e-07 1.91548775875e-05
218.4 2.97327620657e-09 2.32204422912e-07 2.44200011257e-07 1.97367731969e-05
220.8 3.01414869114e-09 2.39389332789e-07 2.47718277574e-07 2.03270751435e-05
223.2 3.05493541588e-09 2.46672233717e-07 2.51266836876e-07 2.09258572808e-05
225.6 3.09561498833e-09 2.54052894202e-07 2.54845293557e-07 2.15331918374e-05
228.0 3.13616705922e-09 2.61531032659e-07 2.58453585473e-07 2.21491504922e-05
230.4 3.17657501909e-09 2.69106323153e-07 2.62091539605e-07 2.27738046423e-05
232.8 3.216823737e-09 2.76778401661e-07 2.65758685452e-07 2.34072249124e-05
235.2 3.25690022167e-09 2.84546870411e-07 2.69454582768e-07 2.40494808342e-05
237.6 3.2967923172e-09 2.92411301458e-07 2.73178871662e-07 2.47006409795e-05
240.0 3.33649060933e-09 3.0037124097e-07 2.76931100916e-07 2.53607729466e-05
242.4 3.3759853911e-09 3.0842621217e-07 2.80710879499e-07 2.60299433231e-05
244.8 3.41526435786e-09 3.16575711869e-07 2.84518840475e-07 2.67082189871e-05
247.2 3.45430636738e-09 3.24819196739e-07 2.88356554043e-07 2.73956694605e-05
249.6 3.4930737047e-09 3.33156052826e-07 2.9222370217e-07 2.8092365768e-05
252.0 3.53149106516e-09 3.4158553055e-07 2.9611334064e-07 2.87983702194e-05
