# 1:freq 2:Re 3:Im
23.2258964707 5.67716125845e-07 6.56677480217e-07
46.4517929414 5.76141030341e-07 6.60036184098e-07
69.6776894121 5.74031310204e-07 6.69487485574e-07
92.9035858828 5.78467970702e-07 6.84617836079e-07
116.129482354 5.92343239048e-07 6.95239499042e-07
139.355378824 6.06307905769e-07 7.16702478136e-07
162.581275295 6.16055274417e-07 7.41448270689e-07
185.807171766 6.30388079912e-07 7.61413846684e-07
209.033068236 6.59360623812e-07 7.88719225642e-07
232.258964707 6.84468151873e-07 8.30280725455e-07
255.484861178 6.86645526396e-07 8.40995698449e-07
278.710757648 7.48866432998e-07 8.95476709277e-07
301.936654119 7.14223292523e-07 8.48798579221e-07
325.16255059 7.7308698746e-07 9.46883319523e-07
348.388447061 8.34104695661e-07 9.86144846756e-07
371.614343531 7.34229402637e-07 9.17241973623e-07
394.840240002 8.20294333188e-07 1.05343928243e-06
418.066136473 8.69975453873e-07 1.12467006408e-06
441.292032943 6.0677990914e-07 9.16280537341e-07
464.517929414 9.32449601603e-07 1.18410118431e-06
487.743825885 1.11356417661e-06 1.38219011566e-06
510.969722355 9.55811636675e-07 1.12189228153e-06
534.195618826 1.47905176622e-06 1.52480984699e-06
557.421515297 1.51303851602e-06 1.5493343398e-06
580.647411768 1.91815293529e-06 1.88443212954e-06
603.873308238 1.9306478831e-06 1.69615873083e-06
627.099204709 2.51756602965e-06 2.17902505114e-06
650.32510118 2.81969377824e-06 2.32914623481e-06
673.55099765 2.61665821684e-06 2.15798586169e-06
696.776894121 1.71111212594e-06 4.90246441856e-07
720.002790592 8.69684047386e-07 1.39964841824e-06
743.228687063 2.6583289601e-06 8.16821191735e-07
766.454583533 6.21299887305e-06 3.30692437915e-06
789.680480004 8.89489122427e-06 5.8471353638e-06
812.906376475 8.74934868363e-06 5.77656445598e-06
836.132272945 3.61375895805e-06 1.54763653154e-06
859.358169416 1.76521738291e-06 2.40164844858e-06
882.584065887 2.83608004711e-06 3.59724346757e-06
905.809962357 3.11481088436e-06 2.54259115895e-06
