# 1:time 2:Re 3:Im
0.0 -2.67277442742e-11 -1.49643652346e-11
2.4 -2.74033647668e-11 -1.95504109122e-11
4.8 -2.80561107989e-11 -2.02082359237e-11
7.2 -2.8719565059e-11 -2.09347907488e-11
9.6 -2.9397905913e-11 -2.18864575378e-11
12.0 -3.01017552045e-11 -2.30029151477e-11
14.4 -3.08441352363e-11 -2.39748630054e-11
16.8 -3.17275413464e-11 -2.46677723232e-11
19.2 -3.26000077979e-11 -2.52414567372e-11
21.6 -3.3325313928e-11 -2.56922050049e-11
24.0 -3.42982516486e-11 -2.60631119166e-11
26.4 -3.53252903868e-11 -2.63075258861e-11
28.8 -3.63078344653e-11 -2.62944889317e-11
31.2 -3.73878817139e-11 -2.59035068149e-11
33.6 -3.84307847157e-11 -2.51545627773e-11
36.0 -3.95850622684e-11 -2.40048178675e-11
38.4 -4.08892901519e-11 -2.23072906964e-11
40.8 -4.20988305981e-11 -1.99651648373e-11
43.2 -4.3374958805e-11 -1.69256911512e-11
45.6 -4.48548689359e-11 -1.32105644193e-11
48.0 -4.62468963732e-11 -8.72961957161e-12
50.4 -4.76838539648e-11 -3.19100098492e-12
52.8 -4.94215440889e-11 3.29629623259e-12
55.2 -5.10566764721e-11 1.10160739208e-11
57.6 -5.2651239612e-11 2.03485915497e-11
60.0 -5.44610811767e-11 3.11921530578e-11
62.4 -5.63179081299e-11 4.3927719886e-11
64.8 -5.83113815248e-11 5.88951144803e-11
67.2 -6.03617142364e-11 7.57806752765e-11
69.6 -6.23978683139e-11 9.45027186318e-11
72.0 -6.46446195597e-11 1.15046426689e-10
74.4 -6.69472735857e-11 1.3674823415e-10
76.8 -6.92219705706e-11 1.58830041874e-10
79.2 -7.17233294322e-11 1.80579287672e-10
81.6 -7.44757210879e-11 2.01542489494e-10
84.0 -7.72357443957e-11 2.21125982506e-10
86.4 -7.99483878507e-11 2.38624575425e-10
88.8 -8.28804672327e-11 2.54051258694e-10
91.2 -8.60304567196e-11 2.68024011269e-10
93.6 -8.92419825514e-11 2.80729084595e-10
96.0 -9.27079538144e-11 2.92527759798e-10
98.4 -9.64179390751e-11 3.04332946372e-10
100.8 -1.00253757451e-10 3.16640814536e-10
103.2 -1.04327468539e-10 3.29630080035e-10
105.6 -1.08488976945e-10 3.42913483428e-10
108.0 -1.12736311388e-10 3.55498974367e-10
110.4 -1.17322479567e-10 3.69291669802e-10
112.8 -1.22220642006e-10 3.89634460588e-10
115.2 -1.2725774599e-10 4.21079922854e-10
117.6 -1.32320676187e-10 4.61607601084e-10
120.0 -1.37450747276e-10 4.99512867214e-10
122.4 -1.42829569199e-10 5.24332450058e-10
124.8 -1.48853200773e-10 5.37573908618e-10
127.2 -1.5547828874e-10 5.49428881755e-10
129.6 -1.62180028759e-10 5.66284199089e-10
132.0 -1.68964854123e-10 5.85154681104e-10
134.4 -1.76083571584e-10 6.02191632334e-10
136.8 -1.83605703953e-10 6.19095694939e-10
139.2 -1.91419113885e-10 6.39225842728e-10
141.6 -1.99355130996e-10 6.63075789511e-10
144.0 -2.07775040954e-10 6.87548590427e-10
146.4 -2.17477049643e-10 7.08762694681e-10
148.8 -2.28785038745e-10 7.24354574241e-10
151.2 -2.39887642468e-10 7.35781639431e-10
153.6 -2.48365467139e-10 7.54092892851e-10
156.0 -2.55134126628e-10 7.9759928258e-10
158.4 -2.64873076309e-10 8.75359294778e-10
160.8 -2.81332844194e-10 9.64458312738e-10
163.2 -3.01961607163e-10 1.0036715056e-09
165.6 -3.19367206186e-10 9.20798876104e-10
168.0 -3.29494985886e-10 6.88987067443e-10
170.4 -3.36830545253e-10 3.72269079431e-10
172.8 -3.49918876947e-10 1.03572103044e-10
175.2 -3.71758087078e-10 -6.77392816746e-12
177.6 -3.96754211318e-10 4.04831837403e-11
180.0 -4.17323221838e-10 1.34296495839e-10
182.4 -4.31969776247e-10 1.521213454e-10
184.8 -4.47016821729e-10 6.00536593928e-11
187.2 -4.69500699565e-10 -8.21403948125e-11
189.6 -4.99257811672e-10 -2.00410194143e-10
192.0 -5.29606414107e-10 -2.77566497832e-10
194.4 -5.55622743744e-10 -3.47481089543e-10
196.8 -5.79470025764e-10 -4.39816154551e-10
199.2 -6.07114771023e-10 -5.51164942694e-10
201.6 -6.42073517887e-10 -6.63063590218e-10
204.0 -6.81695929559e-10 -7.68470960799e-10
206.4 -7.20351901495e-10 -8.76437025009e-10
208.8 -7.56248274022e-10 -9.99523449796e-10
211.2 -7.94520603662e-10 -1.14327140772e-09
213.6 -8.41611507696e-10 -1.30486249871e-09
216.0 -8.96441992466e-10 -1.46899810635e-09
218.4 -9.50542259136e-10 -1.60836165474e-09
220.8 -9.98551227225e-10 -1.69477322269e-09
223.2 -1.04697179739e-09 -1.70379538595e-09
225.6 -1.10910027485e-09 -1.60552575779e-09
228.0 -1.18993637871e-09 -1.35812410919e-09
230.4 -1.27822214083e-09 -9.20089714519e-10
232.8 -1.35811812029e-09 -2.77364044966e-10
235.2 -1.42840583949e-09 5.35817189364e-10
