# 1:freq 2:Re 3:Im
23.2258964707 8.3928644387e-09 4.93084447824e-09
46.4517929414 7.66296783804e-09 4.88482095115e-09
69.6776894121 3.7687299133e-09 4.05743070267e-09
92.9035858828 1.89774509401e-09 3.09077351254e-09
116.129482354 4.53482943389e-09 7.51102087612e-09
139.355378824 4.65107315745e-09 5.70862967557e-09
162.581275295 4.21459875545e-09 3.726720685e-09
185.807171766 2.89011047456e-09 8.92989282225e-09
209.033068236 7.46952849259e-09 1.01655627784e-08
232.258964707 1.18053089663e-08 6.36918041768e-09
255.484861178 1.10573834499e-08 8.84064885849e-09
278.710757648 1.40690549821e-08 1.3832165514e-08
301.936654119 2.08050364184e-08 1.32618498024e-08
325.16255059 2.55258132117e-08 1.08174501747e-08
348.388447061 3.1291584135e-08 1.60087586614e-08
371.614343531 3.96009636789e-08 2.27808774686e-08
394.840240002 4.84803093334e-08 2.67559974658e-08
418.066136473 6.21936739144e-08 2.90694112044e-08
441.292032943 8.31371256514e-08 3.99203898218e-08
464.517929414 1.04260676069e-07 5.40200974165e-08
487.743825885 1.22875247036e-07 6.66010038824e-08
510.969722355 1.47016488092e-07 7.28184419473e-08
534.195618826 1.76251515261e-07 8.04180801859e-08
557.421515297 2.05933483775e-07 9.59401117352e-08
580.647411768 2.64078344657e-07 1.26399424757e-07
603.873308238 3.89242568639e-07 1.63457235536e-07
627.099204709 5.80605485333e-07 2.26071385841e-07
650.32510118 8.37444441271e-07 3.12096274425e-07
673.55099765 1.15406852516e-06 4.22626907816e-07
696.776894121 1.51059587378e-06 5.5259716131e-07
720.002790592 1.90697391363e-06 6.90551521052e-07
743.228687063 2.30465531497e-06 8.11699492471e-07
766.454583533 2.64597866617e-06 8.95331917463e-07
789.680480004 2.86149183907e-06 9.83097833637e-07
812.906376475 2.81684956631e-06 1.01372300868e-06
836.132272945 2.41536305775e-06 8.63772537042e-07
859.358169416 1.94470026995e-06 6.99210008267e-07
882.584065887 1.53445721908e-06 5.86006881196e-07
905.809962357 1.45438015135e-06 5.48522197428e-07
929.035858828 1.63776121466e-06 5.67738525163e-07
952.261755299 1.78551876942e-06 5.84961112619e-07
975.48765177 1.69673705321e-06 5.65101284496e-07
998.71354824 1.45092909821e-06 5.70060483073e-07
1021.93944471 1.30249313435e-06 5.2018451012e-07
1045.16534118 1.34044565482e-06 4.75208483722e-07
1068.39123765 1.46181857813e-06 5.23372921431e-07
1091.61713412 1.47094549645e-06 4.73613519131e-07
1114.84303059 1.30707956987e-06 5.01625417687e-07
1138.06892706 1.06479465251e-06 4.20876018999e-07
1161.29482354 9.78974613977e-07 2.70905320239e-07
1184.52072001 8.84423095746e-07 6.18330435886e-07
1207.74661648 1.28898738642e-06 1.81675697826e-07
1230.97251295 1.09690454917e-06 4.48054568838e-07
1254.19840942 9.10584514988e-07 3.66950569253e-07
1277.42430589 8.03093181128e-07 2.68588823054e-07
1300.65020236 8.00976507847e-07 2.96710981539e-07
1323.87609883 9.0413782025e-07 2.84852545494e-07
1347.1019953 8.80425068571e-07 2.92292454166e-07
1370.32789177 7.50042071103e-07 2.69663784839e-07
1393.55378824 5.87101905108e-07 2.14236166282e-07
1416.77968471 6.06245655508e-07 2.16103953126e-07
1440.00558118 7.20460240253e-07 2.11931430508e-07
1463.23147765 8.1223147103e-07 2.30135427836e-07
1486.45737413 7.1102973743e-07 2.61247651687e-07
1509.6832706 5.86766308557e-07 2.69559456088e-07
1532.90916707 6.34772364954e-07 2.84750963429e-07
1556.13506354 8.08278974542e-07 2.84874712142e-07
1579.36096001 9.03616239867e-07 2.94262295222e-07
1602.58685648 8.24205466696e-07 2.67407445143e-07
1625.81275295 7.17349936218e-07 2.36077554967e-07
1649.03864942 7.48820332737e-07 2.44430347844e-07
1672.26454589 8.76505777889e-07 2.53750763625e-07
1695.49044236 9.34753916329e-07 2.90037407656e-07
1718.71633883 8.4309580958e-07 2.63225639821e-07
1741.9422353 8.04878333415e-07 2.81196233196e-07
1765.16813177 9.13234785856e-07 3.31774331845e-07
1788.39402824 9.91460367283e-07 3.5435571088e-07
1811.61992471 1.00401368345e-06 3.58166126429e-07
1834.84582119 9.44273349642e-07 3.68489357833e-07
1858.07171766 8.69915852551e-07 3.56629237776e-07
1881.29761413 9.27173789134e-07 3.46972703386e-07
1904.5235106 9.0219563993e-07 3.00071851685e-07
1927.74940707 6.74635455836e-07 2.27739600818e-07
1950.97530354 5.60535683204e-07 2.28897633697e-07
1974.20120001 5.13571692493e-07 1.72770864696e-07
1997.42709648 5.02171007421e-07 1.50021001803e-07
2020.65299295 5.11945549395e-07 1.43212676152e-07
2043.87888942 2.52872693653e-07 1.1860356738e-07
2067.10478589 5.57901592057e-07 2.12645518468e-07
2090.33068236 5.8978674848e-07 2.1688860442e-07
2113.55657883 4.86830175273e-07 2.06875673938e-07
2136.7824753 5.82897018961e-07 2.20065125928e-07
2160.00837178 3.85884217831e-07 1.19389592903e-07
2183.23426825 4.75484993046e-07 1.5987032755e-07
2206.46016472 3.02648100551e-07 1.17334549721e-07
2229.68606119 3.96532596258e-07 1.43442994144e-07
2252.91195766 4.97357925442e-07 1.59722538359e-07
2276.13785413 3.05475631783e-07 1.07712465118e-07
2299.3637506 4.87039707972e-07 1.88565977019e-07
2322.58964707 1.25603127366e-06 4.28240479424e-07
2345.81554354 2.20968776198e-06 8.36267378367e-07
2369.04144001 1.63083084936e-06 5.83091094083e-07
2392.26733648 1.36586623642e-06 4.69772269185e-07
2415.49323295 1.27075049174e-06 4.26974304817e-07
2438.71912942 1.42525321912e-06 5.05108160519e-07
2461.94502589 1.15630716338e-06 4.10807482024e-07
2485.17092237 1.24393979426e-06 4.35108626684e-07
2508.39681884 1.05406232746e-06 3.96327964635e-07
2531.62271531 8.03077222099e-07 3.31271700892e-07
2554.84861178 8.51352203212e-07 3.28861857225e-07
2578.07450825 7.57347313376e-07 2.85321061287e-07
2601.30040472 5.60043431272e-07 2.48853234164e-07
2624.52630119 4.10634409553e-07 1.8793546883e-07
2647.75219766 3.45746753282e-07 1.4353146592e-07
2670.97809413 1.62296046812e-07 7.13187554132e-08
2694.2039906 4.1694510168e-08 2.63659537121e-08
2717.42988707 1.6449216838e-07 4.84228514903e-08
2740.65578354 1.84523486226e-07 5.00537177035e-08
2763.88168001 1.90346673726e-07 8.49411609362e-08
2787.10757648 2.75312697511e-07 1.06386620635e-07
2810.33347296 2.82626638831e-07 9.6056920626e-08
2833.55936943 2.40489591972e-07 1.0944671059e-07
2856.7852659 1.68168134543e-07 9.52602441523e-08
2880.01116237 1.6925459243e-07 8.88859800679e-08
2903.23705884 1.84408806223e-07 8.0478517175e-08
2926.46295531 2.18787322331e-07 8.39316958692e-08
2949.68885178 1.42979379649e-07 4.51306498819e-08
2972.91474825 1.1899216379e-07 6.47823707915e-08
2996.14064472 1.31725098484e-07 5.40742087962e-08
3019.36654119 1.43704240182e-07 4.84000327356e-08
3042.59243766 1.20733279539e-07 3.89192119724e-08
3065.81833413 6.92164036956e-08 3.97368646022e-08
3089.0442306 9.43886248553e-08 7.20982330254e-08
3112.27012707 1.14292193714e-07 4.40411340553e-08
3135.49602355 1.14725567776e-07 4.42829031155e-08
3158.72192002 1.11879435057e-07 6.25552104567e-08
3181.94781649 3.08660277926e-08 1.5610239674e-08
3205.17371296 4.69417383444e-08 4.71771716184e-08
3228.39960943 8.66546047443e-08 1.45070818907e-08
3251.6255059 6.23223436648e-08 4.14986371077e-08
3274.85140237 4.73374250648e-08 5.61781049504e-08
3298.07729884 4.34405884666e-08 2.59708322694e-08
3321.30319531 8.52239657254e-09 6.86596946984e-08
3344.52909178 8.17104037279e-08 7.43148917805e-08
3367.75498825 7.04155270762e-08 6.04393823528e-08
3390.98088472 3.37351432948e-08 5.97789533398e-08
3414.20678119 2.2043423938e-07 1.8055923887e-07
3437.43267766 2.11231041469e-07 2.22991958229e-07
3460.65857413 2.04907279481e-08 4.56951289222e-08
3483.88447061 2.00260315797e-07 2.1309318218e-07
3507.11036708 2.50730265483e-07 1.91516871448e-07
3530.33626355 3.59849668557e-08 6.78954551869e-09
3553.56216002 3.06716370492e-08 2.54704053471e-08
3576.78805649 1.07907012681e-07 8.48454923821e-08
3600.01395296 6.1766774783e-08 4.9403100371e-08
3623.23984943 1.32099782324e-07 9.97743089134e-08
3646.4657459 1.88536379166e-08 2.80996022624e-08
3669.69164237 8.46878260671e-08 6.77160216768e-08
3692.91753884 1.08304876064e-07 8.34976711431e-08
3716.14343531 3.48090668526e-08 2.96156077114e-08
3739.36933178 2.99714819365e-08 1.96756752549e-08
3762.59522825 9.90494552439e-09 1.53116139849e-08
3785.82112472 3.16043543832e-08 1.20241595284e-08
3809.0470212 5.66380480767e-08 2.66019828938e-08
3832.27291767 4.12202524794e-08 1.06340054247e-08
3855.49881414 3.83685928636e-08 1.45372875833e-08
3878.72471061 4.27864829081e-08 3.99688202904e-08
3901.95060708 4.46057877984e-08 6.06648320869e-09
3925.17650355 4.69544840726e-08 1.71350160932e-08
3948.40240002 1.23034022639e-08 2.9022872419e-08
3971.62829649 1.48590675934e-08 3.10222205955e-08
3994.85419296 3.14967269997e-08 1.8306538255e-08
4018.08008943 3.37453357239e-08 3.05701667567e-08
4041.3059859 1.75249313853e-08 2.6497787122e-08
4064.53188237 5.54354559272e-09 1.88569623732e-08
4087.75777884 2.28724799461e-08 3.12966775647e-08
4110.98367531 2.63255002533e-08 5.31981834862e-09
4134.20957179 2.56118263798e-08 3.34999727693e-08
4157.43546826 2.22354251795e-08 1.95663464249e-08
4180.66136473 6.6989940859e-09 1.36242314468e-08
4203.8872612 2.40468926718e-08 2.30985931279e-08
4227.11315767 2.3563553888e-08 2.4114318775e-08
4250.33905414 1.04631322562e-08 2.48483317862e-08
4273.56495061 1.84054197316e-08 2.48442914902e-08
4296.79084708 1.63648985509e-08 1.86793576151e-08
