# 1:time 2:Re 3:Im 4:phi 5:omega 6:E_dot_GW 7:E_GW 8:J_dot_GW 9:J_GW
0.0 -0.0 0.0 -3.14159265359 0.457910574887 0.0 0.0 0.0 0.0
2.4 -3.57472834032e-22 3.21608878043e-22 -2.40895790244 0.152618384403 8.51353868775e-50 1.02162464253e-49 -5.18761984038e-47 -6.22514380845e-47
4.8 -3.94810880139e-13 3.55153425641e-13 -2.40902440846 -2.15564353403e-05 1.03907512323e-31 1.24689014788e-31 -6.35117005919e-29 -7.62140407103e-29
7.2 -4.05189920592e-10 3.64462828747e-10 -2.40906137333 -9.15496285975e-06 1.09495110564e-25 1.31394382054e-25 -6.71412909985e-23 -8.05697016262e-23
9.6 -1.29107873882e-08 1.16129148491e-08 -2.40906835228 3.43169587432e-06 1.11211926655e-22 1.33717100501e-22 -6.84189392565e-20 -8.22638663587e-20
12.0 -1.02577438247e-07 9.22700688936e-08 -2.40904490119 1.62052711562e-05 7.02229942833e-21 8.69393072648e-21 -4.33486932307e-18 -5.36620978115e-18
14.4 -4.06958071447e-07 3.66105388653e-07 -2.40899056698 2.91735755943e-05 1.10550334843e-19 1.49781091853e-19 -6.84814288478e-17 -9.27457675861e-17
16.8 -1.08567737029e-06 9.76859475854e-07 -2.40890486803 4.23537487595e-05 7.86862977348e-19 1.22667706648e-18 -4.89187091936e-16 -7.61947992526e-16
19.2 -2.26012605699e-06 2.03407370032e-06 -2.40878726898 5.57730386784e-05 3.4098879383e-18 6.26277816526e-18 -2.12780159542e-15 -3.90233441735e-15
21.6 -3.98794888498e-06 3.59016751736e-06 -2.40863715744 6.94669888344e-05 1.06140777606e-17 2.3091537004e-17 -6.64884310195e-15 -1.44343080542e-14
24.0 -6.26749871027e-06 5.64442229474e-06 -2.40845382744 8.34763787437e-05 2.6205732666e-17 6.72753095159e-17 -1.64815107437e-14 -4.21907326689e-14
26.4 -9.05473600235e-06 8.15813453866e-06 -2.40823647083 9.78441015744e-05 5.46624208933e-17 1.64317093787e-16 -3.45221257244e-14 -1.03395096431e-13
28.8 -1.22810000452e-05 1.10705482928e-05 -2.40798417575 0.000112612899706 1.0046715518e-16 3.50472585075e-16 -6.37262490161e-14 -2.21293146119e-13
31.2 -1.58670267648e-05 1.43114178414e-05 -2.40769592891 0.000127823458899 1.67511937256e-16 6.72047495998e-16 -1.06735839539e-13 -4.25847652385e-13
33.6 -1.97324491567e-05 1.78095174709e-05 -2.40737062315 0.000143512916678 2.58690102575e-16 1.18348994379e-15 -1.65617190077e-13 -7.52671287924e-13
36.0 -2.3801516265e-05 2.14977602572e-05 -2.40700706691 0.000159714374405 3.75703767608e-16 1.94476258801e-15 -2.41729666553e-13 -1.24148751588e-12
38.4 -2.80060902462e-05 2.53158772141e-05 -2.40660399415 0.000176456725018 5.19043020927e-16 3.01845873425e-15 -3.35698865123e-13 -1.93440175389e-12
40.8 -3.22868558372e-05 2.92114950914e-05 -2.40616007463 0.00019376522809 6.88093087203e-16 4.46702206401e-15 -4.47471865949e-13 -2.87420663118e-12
43.2 -3.65934393146e-05 3.31402381243e-05 -2.40567392105 0.000211663200694 8.81301750942e-16 6.35029586978e-15 -5.76407743639e-13 -4.10286216268e-12
45.6 -4.08839137919e-05 3.7065281401e-05 -2.40514409126 0.000230172297339 1.09638676713e-15 8.72352209147e-15 -7.21399219094e-13 -5.66023051796e-12
48.0 -4.51239991606e-05 4.09566315557e-05 -2.40456909403 0.000249310421806 1.33052855723e-15 1.16358204807e-14 -8.80981677053e-13 -7.58308759334e-12
50.4 -4.92861464862e-05 4.47903042333e-05 -2.40394740124 0.000269091224054 1.58056478775e-15 1.51291324947e-14 -1.05345419134e-12 -9.90441063542e-12
52.8 -5.33486163247e-05 4.85474968557e-05 -2.40327745615 0.000289526737936 1.84313870801e-15 1.92375766896e-14 -1.23696020984e-12 -1.26529079168e-11
55.2 -5.72946102742e-05 5.22138103695e-05 -2.4025576729 0.000310627347299 2.11484495222e-15 2.39871570818e-14 -1.42958290152e-12 -1.58527596505e-11
57.6 -6.11114861101e-05 5.57785455088e-05 -2.40178644489 0.000332398563854 2.39231832017e-15 2.93957530087e-14 -1.62939186222e-12 -1.9523529367e-11
60.0 -6.47900671226e-05 5.92340827962e-05 -2.40096215979 0.000354840907513 2.6723313661e-15 3.54733326322e-14 -1.83451582365e-12 -2.368021859e-11
62.4 -6.83240436605e-05 6.25753456726e-05 -2.40008320853 0.000377954299534 2.95183354829e-15 4.22223305295e-14 -2.04315147872e-12 -2.83334193529e-11
64.8 -7.17094597426e-05 6.57993417804e-05 -2.39914797915 0.000401742225482 3.22801117712e-15 4.96381442e-14 -2.25361310026e-12 -3.34895368476e-11
67.2 -7.49442766227e-05 6.89047743412e-05 -2.39815484585 0.000426209026275 3.49829121076e-15 5.77097070654e-14 -2.464317349e-12 -3.91510533867e-11
69.6 -7.80280071749e-05 7.18917150239e-05 -2.39710217583 0.000451353958902 3.76037924859e-15 6.64201116166e-14 -2.67383541551e-12 -4.53168367041e-11
72.0 -8.09614120841e-05 7.47613305265e-05 -2.39598834684 0.000477171470538 4.01223347636e-15 7.57472468866e-14 -2.88085897361e-12 -5.19824699711e-11
74.4 -8.37462456547e-05 7.75156549747e-05 -2.39481175277 0.000503656296467 4.25209358298e-15 8.56644393578e-14 -3.08423725407e-12 -5.91405854443e-11
76.8 -8.63850423096e-05 8.01574006763e-05 -2.39357079662 0.000530804563975 4.47844206189e-15 9.61410821317e-14 -3.28292558186e-12 -6.67811808474e-11
79.2 -8.88809407418e-05 8.26898017605e-05 -2.39226389086 0.000558612739455 4.69002493714e-15 1.0714324253e-13 -3.47603331262e-12 -7.48919315208e-11
81.6 -9.12375378995e-05 8.51164849494e-05 -2.39088945547 0.000587077489027 4.88580353894e-15 1.18634236702e-13 -3.66275853069e-12 -8.34584817328e-11
84.0 -9.34587695901e-05 8.74413638054e-05 -2.38944591891 0.000616189706875 5.06497072729e-15 1.30575165821e-13 -3.84244795493e-12 -9.24647295155e-11
86.4 -9.55488168797e-05 8.96685516444e-05 -2.38793174488 0.000645931960814 5.22690788724e-15 1.42925420159e-13 -4.01453826978e-12 -1.01893112985e-10
88.8 -9.75120276885e-05 9.1802289853e-05 -2.3863454455 0.000676287499696 5.37120387972e-15 1.55643154279e-13 -4.17859327072e-12 -1.11724870834e-10
91.2 -9.9352847909e-05 9.38468898652e-05 -2.38468556488 0.000707242692125 5.49759576076e-15 1.68685713848e-13 -4.33422208819e-12 -1.21940249264e-10
93.6 -0.000101075767997 9.58066861427e-05 -2.38295068058 0.000738779865265 5.60599615918e-15 1.82010024152e-13 -4.48115902944e-12 -1.32518706606e-10
96.0 -0.000102685282866 9.76859980453e-05 -2.38113942153 0.000770876255888 5.69643991911e-15 1.95572947446e-13 -4.61918199008e-12 -1.43439115829e-10
98.4 -0.00010418585758 9.94890987116e-05 -2.37925047455 0.000803507744779 5.76911405161e-15 2.0933161221e-13 -4.74817372639e-12 -1.54679942689e-10
100.8 -0.000105581899089 0.000101220190569 -2.37728258435 0.000836648482038 5.82429355053e-15 2.23243701333e-13 -4.86803610481e-12 -1.66219394486e-10
103.2 -0.000106877735434 0.00010288338596 -2.37523456184 0.00087026938072 5.86238044395e-15 2.37267710126e-13 -4.97877198626e-12 -1.78035564196e-10
105.6 -0.000108077599725 0.000104482692208 -2.37310529132 0.000904337483929 5.88383382644e-15 2.51363167251e-13 -5.08038968981e-12 -1.90106558207e-10
108.0 -0.000109185619888 0.00010602200104 -2.37089374191 0.000938816217762 5.88921214663e-15 2.65490822418e-13 -5.17299491359e-12 -2.02410619731e-10
110.4 -0.000110205809462 0.000107505079852 -2.36859897348 0.000973669345692 5.87911758992e-15 2.79612818102e-13 -5.25667390962e-12 -2.14926222319e-10
112.8 -0.000111142056537 0.000108935563865 -2.36622012906 0.00100885163346 5.85426080969e-15 2.93692872182e-13 -5.33160107418e-12 -2.27632152299e-10
115.2 -0.000111998123713 0.000110316946122 -2.36375648564 0.00104429341991 5.81545567268e-15 3.07696531961e-13 -5.39798954861e-12 -2.40507661047e-10
117.6 -0.000112777649775 0.000111652564851 -2.36120752064 0.00107991184123 5.76366495435e-15 3.21591476713e-13 -5.45616327499e-12 -2.53532644435e-10
120.0 -0.000113484141823 0.000112945596105 -2.3585729088 0.00111564196917 5.69984141456e-15 3.35347684356e-13 -5.50637251094e-12 -2.66687687378e-10
122.4 -0.000114120960054 0.000114199057148 -2.35585243919 0.00115143900606 5.6248926848e-15 3.48937365275e-13 -5.54886696113e-12 -2.79953974745e-10
124.8 -0.000114691325459 0.000115415817575 -2.35304600157 0.00118724513431 5.53964440893e-15 3.62334809788e-13 -5.58390350191e-12 -2.933132993e-10
127.2 -0.00011519834408 0.000116598606541 -2.35015366254 0.00122299234599 5.44498006529e-15 3.75516359157e-13 -5.61184641461e-12 -3.067481992e-10
129.6 -0.000115644997918 0.000117750009998 -2.34717563831 0.0012586362029 5.34177027905e-15 3.8846045957e-13 -5.63292924602e-12 -3.20241929993e-10
132.0 -0.000116034121347 0.000118872466971 -2.34411220877 0.00129413712456 5.23091842002e-15 4.01147686009e-13 -5.64741422809e-12 -3.33778342162e-10
134.4 -0.000116368417224 0.000119968271168 -2.34096378011 0.00132941667498 5.11332760947e-15 4.13560781244e-13 -5.655634502e-12 -3.47342000638e-10
136.8 -0.000116650488826 0.000121039573646 -2.33773100873 0.00136437747529 4.98996909811e-15 4.25684737293e-13 -5.65804153285e-12 -3.6091841188e-10
139.2 -0.000116882829439 0.000122088379037 -2.33441476823 0.00139894304213 4.86177492931e-15 4.37506830126e-13 -5.65494072683e-12 -3.74493990591e-10
141.6 -0.000117067802707 0.000123116540365 -2.33101608213 0.00143304923414 4.72971104694e-15 4.49016613298e-13 -5.64668883449e-12 -3.88055946065e-10
144.0 -0.000117207646145 0.000124125759403 -2.32753613191 0.00146665644247 4.5946453925e-15 4.60205841025e-13 -5.6335460807e-12 -4.01592227963e-10
146.4 -0.000117304450329 0.000125117594387 -2.3239761312 0.00149975036279 4.45729875287e-15 4.71068173999e-13 -5.61566955152e-12 -4.15091286722e-10
148.8 -0.00011736017667 0.000126093476497 -2.32033733017 0.00153221909315 4.31837203766e-15 4.81598978948e-13 -5.59339809504e-12 -4.28542167898e-10
151.2 -0.00011737677907 0.000127054721948 -2.31662147956 0.00156379786565 4.17890617825e-15 4.91795712807e-13 -5.56766328593e-12 -4.41935441555e-10
153.6 -0.000117356254736 0.00012800251663 -2.31283110041 0.00159427488559 4.0400352587e-15 5.01658442531e-13 -5.5392316219e-12 -4.55263715444e-10
156.0 -0.000117300466637 0.000128937854603 -2.30896896011 0.00162370239569 3.90278585139e-15 5.11189827864e-13 -5.50811590877e-12 -4.68520532481e-10
158.4 -0.000117210883329 0.000129861439665 -2.30503732891 0.00165224977724 3.76809811087e-15 5.20394888618e-13 -5.47379173464e-12 -4.81698821653e-10
160.8 -0.000117088574191 0.000130773623585 -2.30103816117 0.00167978802544 3.63726268856e-15 5.29281321578e-13 -5.43664869282e-12 -4.94791350166e-10
163.2 -0.000116934596681 0.000131674498126 -2.29697434639 0.00170582624291 3.51146435662e-15 5.37859794032e-13 -5.39835192922e-12 -5.07793350913e-10
165.6 -0.000116750393405 0.000132564207674 -2.29285019521 0.00173023604115 3.39003829599e-15 5.46141597215e-13 -5.35991532037e-12 -5.20703271612e-10
168.0 -0.000116537654162 0.000133443396442 -2.28866921339 0.00175409888263 3.26867564672e-15 5.54132053946e-13 -5.31866316091e-12 -5.3351756579e-10
170.4 -0.000116297721377 0.000134313516804 -2.28443052057 0.0017793814737 3.14113443327e-15 5.61823826042e-13 -5.26893366964e-12 -5.46222681986e-10
172.8 -0.000116031286051 0.000135176689113 -2.28012818232 0.00180731503701 3.00423352284e-15 5.69198267589e-13 -5.20685841738e-12 -5.58793632491e-10
175.2 -0.000115738797374 0.000136035048518 -2.27575540839 0.00183707905782 2.86179111173e-15 5.76237497151e-13 -5.13474278738e-12 -5.71203553936e-10
177.6 -0.000115421085488 0.000136889912987 -2.27131020284 0.00186627578293 2.72263042834e-15 5.82938802999e-13 -5.05962945492e-12 -5.83436800627e-10
180.0 -0.000115079449918 0.000137741322876 -2.26679728464 0.00189277511476 2.5944513139e-15 5.8931930109e-13 -4.98783196041e-12 -5.95493754326e-10
182.4 -0.00011471516057 0.000138588297491 -2.26222488229 0.00191614007443 2.47894383833e-15 5.95407375272e-13 -4.92047421722e-12 -6.07383721739e-10
184.8 -0.00011432900177 0.000139429639741 -2.25759981228 0.00193746375166 2.37246569344e-15 6.01229066711e-13 -4.85425419052e-12 -6.19113395828e-10
187.2 -0.000113921354352 0.000140264719941 -2.25292505628 0.00195811711951 2.27029280531e-15 6.06800376909e-13 -4.78518261223e-12 -6.30680719991e-10
189.6 -0.000113492633736 0.000141093725289 -2.24820085011 0.00197873456586 2.17044716017e-15 6.12129264868e-13 -4.7117343325e-12 -6.42077020325e-10
192.0 -0.000113043550934 0.000141917308641 -2.24342713037 0.00199919048612 2.07387747461e-15 6.17222454429e-13 -4.63461157899e-12 -6.53292635419e-10
194.4 -0.000112574917498 0.000142736011229 -2.23860473577 0.00201919491047 1.98231908075e-15 6.22089890296e-13 -4.55482707825e-12 -6.64319961807e-10
196.8 -0.000112087284281 0.000143549919371 -2.2337349948 0.00203863779212 1.89661009356e-15 6.26744605305e-13 -4.47256242401e-12 -6.7515282921e-10
199.2 -0.000111580917492 0.000144358746883 -2.22881927437 0.00205747414968 1.81716558222e-15 6.31201136116e-13 -4.38797305626e-12 -6.85785471786e-10
201.6 -0.000111063208065 0.000145171459407 -2.22385911888 0.00207563738189 1.74470916846e-15 6.35475385817e-13 -4.30191837143e-12 -6.962133415e-10
204.0 -0.000110557543756 0.000146018486506 -2.21885621494 0.00209319725799 1.68042626246e-15 6.39585548334e-13 -4.21610679068e-12 -7.06434971694e-10
206.4 -0.000110065843013 0.0001469030396 -2.21381177204 0.00211048325453 1.62425259926e-15 6.43551162968e-13 -4.12959479524e-12 -7.16449813597e-10
208.8 -0.000109588065058 0.000147826171366 -2.20872589531 0.00212800325685 1.57575951287e-15 6.47391177502e-13 -4.04086418377e-12 -7.26254364372e-10
211.2 -0.000109123865081 0.000148788984911 -2.20359735641 0.00214621461837 1.53445649713e-15 6.51123436714e-13 -3.94828498304e-12 -7.35841343372e-10
213.6 -0.000108672725609 0.000149792667089 -2.19842406515 0.00216511745564 1.50114506811e-15 6.54766158593e-13 -3.85150924759e-12 -7.45201096449e-10
216.0 -0.000108234380483 0.000150838535459 -2.19320479262 0.00218404842331 1.47878002907e-15 6.58342068709e-13 -3.75246183523e-12 -7.54325861748e-10
218.4 -0.000107809089062 0.000151927963677 -2.18794063271 0.00220227501306 1.47065157545e-15 6.61881386635e-13 -3.65358612472e-12 -7.632131193e-10
220.8 -0.000107397245838 0.000153062197288 -2.18263387256 0.00221974568306 1.47718727763e-15 6.65418793258e-13 -3.55464355998e-12 -7.71862994922e-10
223.2 -0.00010699876539 0.000154242162921 -2.17728585344 0.00223674908755 1.49687593843e-15 6.68987669118e-13 -3.45406575407e-12 -7.80273446099e-10
225.6 -0.00010661311458 0.00015546832676 -2.17189747694 0.00225295159117 1.52936633606e-15 6.72619159847e-13 -3.35259940124e-12 -7.88441444285e-10
228.0 -0.00010623982966 0.000156740592505 -2.1664716858 0.00226731765799 1.57577791826e-15 6.76345332952e-13 -3.25369055248e-12 -7.9636899223e-10
230.4 -0.0001058787025 0.00015805823801 -2.16101435218 0.00227892904875 1.63591097557e-15 6.80199359625e-13 -3.16026315026e-12 -8.04065736673e-10
232.8 -0.000105529483004 0.000159419921834 -2.15553282636 0.0022875303366 1.70704667896e-15 6.8421090881e-13 -3.07302548485e-12 -8.11545683035e-10
235.2 -0.000105191563129 0.000160823761208 -2.15003420656 0.0022931588133 1.78515169253e-15 6.88401546856e-13 -2.99142559847e-12 -8.18823024335e-10
237.6 -0.000104864155304 0.000162267454441 -2.14452566406 0.00229530270723 1.86843842307e-15 6.92785854995e-13 -2.91713019004e-12 -8.25913291281e-10
240.0 -0.000104546971627 0.000163748479928 -2.13901675357 0.00229296718491 1.95854998762e-15 6.97378241088e-13 -2.85442844624e-12 -8.32839161645e-10
242.4 -0.00010424046262 0.000165264444312 -2.13351942157 0.00228620388748 2.05652853558e-15 7.02196335316e-13 -2.80448507129e-12 -8.39629857866e-10
244.8 -0.000103944867168 0.000166813419464 -2.12804297491 0.00227676451719 2.15752910522e-15 7.07253204484e-13 -2.76060986181e-12 -8.46307971786e-10
247.2 -0.000103659170238 0.000168393464699 -2.12259095189 0.00226481628984 2.2519437557e-15 7.12544571918e-13 -2.71870752834e-12 -8.52883152654e-10
249.6 -0.00010338197155 0.000169999971145 -2.11717185672 0.00224295725397 2.32914614516e-15 7.18041879799e-13 -2.70029530565e-12 -8.59385956055e-10
252.0 -0.000103114895902 0.000171621194561 -2.11182475707 0.0021950674196 2.38895165704e-15 7.23703597161e-13 -2.76518889292e-12 -8.65944537093e-10
254.4 -0.000102867986481 0.000173240308192 -2.1066355331 0.00211419075495 2.4963298614e-15 7.29565934983e-13 -2.96811716268e-12 -8.7282450436e-10
256.8 -0.000102663321053 0.000174865091204 -2.10167664145 0.00205714889399 2.8669230236e-15 7.36001838445e-13 -3.18239766701e-12 -8.80205122155e-10
259.2 -0.000102517961352 0.000176599998587 -2.09676121841 0.00222127997618 3.93583848195e-15 7.44165152252e-13 -2.76962519295e-12 -8.87347549587e-10
261.6 -0.000102370257648 0.000178702939621 -2.09101449756 0.00292156863735 6.74964866954e-15 7.56987736834e-13 -4.56776096091e-13 -8.91219231134e-10
264.0 -0.000101952337826 0.00018143882285 -2.08273768895 0.00426350988331 1.18130915309e-14 7.79263025074e-13 4.67715735185e-12 -8.86154773627e-10
266.4 -0.000100758643509 0.000184545644094 -2.07054965012 0.00554144556765 1.22853675073e-14 8.0818117592e-13 1.06042305884e-11 -8.67817108099e-10
268.8 -9.83889710955e-05 0.000186547576535 -2.05613875023 0.00494818109793 1.45276920356e-14 8.40356847372e-13 1.02088482196e-11 -8.42841413529e-10
271.2 -9.531745414e-05 0.000184888628858 -2.04679838085 0.000357862611409 1.16108112325e-13 9.97119812604e-13 -5.37481637658e-12 -8.37040575318e-10
273.6 -9.35733187697e-05 0.000178157970766 -2.05442100969 -0.00831109556826 3.36491501171e-13 1.5402393488e-12 -3.60137564404e-11 -8.86706862698e-10
276.0 -9.65408629016e-05 0.000170228764627 -2.08669163958 -0.015119929514 3.36336997737e-13 2.34763354749e-12 -6.2697662097e-11 -1.00516056494e-09
278.4 -0.000106926528439 0.000171999154391 -2.12699667136 -0.00952435148092 1.08434629879e-12 4.05245350332e-12 -5.05363049131e-11 -1.14104132536e-09
280.8 -0.000121911857012 0.00019375762994 -2.13240852669 0.00959466974339 4.00929540748e-12 1.01648235508e-11 2.92130480839e-11 -1.16662923355e-09
283.2 -0.000128919950449 0.000230399207829 -2.08094225659 0.0310560374033 4.43559739472e-12 2.02986949135e-11 1.66934875444e-10 -9.31251725317e-10
285.6 -0.00011288102549 0.00025792050694 -1.98333954715 0.0451817753899 3.27789265815e-12 2.95548829769e-11 2.87582727538e-10 -3.85830601738e-10
288.0 -7.6165200637e-05 0.000252218360016 -1.86406973472 0.0417811351814 7.57941601006e-12 4.25836533788e-11 2.54212194241e-10 2.64323304396e-10
290.4 -4.51953977302e-05 0.000209988777817 -1.78279009828 0.000516774419562 1.21737231067e-11 6.62874203188e-11 3.26481807935e-11 6.08555754437e-10
292.8 -4.46908261795e-05 0.000149329559249 -1.86158921751 -0.0828177067613 1.4160507957e-11 9.78884975952e-11 -1.74518149881e-10 4.38311791532e-10
295.2 -6.98470748185e-05 0.000100038378393 -2.18031509074 -0.0997922829307 6.96339642994e-12 1.23237182859e-10 -1.77313392695e-10 1.61139404406e-11
297.6 -9.41760391574e-05 9.71615913306e-05 -2.34059217557 0.0141538707873 3.94391932346e-12 1.36325961764e-10 3.82541432332e-11 -1.50757158913e-10
300.0 -9.82750072615e-05 0.000163361593741 -2.11237651096 0.0991189779204 3.2556167304e-11 1.80126065716e-10 3.49738095354e-10 3.14833527391e-10
302.4 -8.32680275598e-05 0.000274992359047 -1.86482108156 0.0763173491146 4.33169986577e-11 2.7117386487e-10 4.812709702e-10 1.31204440606e-09
304.8 -6.32271990534e-05 0.000357067401178 -1.74605323521 0.029382073834 6.21359223084e-12 3.30610573937e-10 2.75404597908e-10 2.22005508779e-09
307.2 -5.30693684723e-05 0.000344168867219 -1.72378712715 -0.0130537611057 1.46321572478e-11 3.55625473311e-10 -1.04928568642e-10 2.4246263229e-09
309.6 -6.0170781872e-05 0.000248118828878 -1.80871128851 -0.0685688765295 4.65101770406e-11 4.28996274457e-10 -3.56816250822e-10 1.87053253955e-09
312.0 -7.67815854741e-05 0.000146722887063 -2.05291773449 -0.0847547538387 2.1390984663e-11 5.10477668501e-10 -2.73528464766e-10 1.11411888084e-09
314.4 -8.4682518041e-05 0.000112619601549 -2.21553410694 0.00249992819481 2.60891193951e-13 5.3645991953e-10 2.10193171323e-11 8.11107903682e-10
316.8 -8.05776080737e-05 0.000158580167703 -2.04091807916 0.0640371379092 1.79265449315e-11 5.5828484288e-10 2.1062554654e-10 1.08908174009e-09
319.2 -8.30184617781e-05 0.00023667575777 -1.90815584498 0.0290790710328 1.78577389849e-11 6.0122598358e-10 1.04588701324e-10 1.46733883753e-09
321.6 -9.86102073383e-05 0.000287383719975 -1.9013385382 -0.00352978013134 3.06539134682e-12 6.26333739978e-10 -8.26940252072e-11 1.49361244887e-09
324.0 -0.0001065703979 0.000288096667538 -1.92509878961 -0.00405890850628 1.7547400361e-12 6.32117897638e-10 -5.75419742867e-11 1.32532924947e-09
326.4 -9.2593905391e-05 0.000253642465275 -1.92082129903 0.00865981734835 8.13059024841e-12 6.43980293979e-10 4.52380127062e-11 1.31056449558e-09
328.8 -6.93008031947e-05 0.00021432387246 -1.88353166633 0.0195527375983 5.02827073552e-12 6.5977092716e-10 7.31574863659e-11 1.45263909446e-09
331.2 -5.22909572999e-05 0.000199639725487 -1.82696815856 0.0247110881353 4.93139358355e-13 6.66396619272e-10 8.14257887761e-11 1.63813902463e-09
333.6 -4.28554297891e-05 0.000217985259006 -1.76491844328 0.0212035116438 2.92626996243e-12 6.70499910457e-10 8.31231634194e-11 1.83559776727e-09
336.0 -3.87577807956e-05 0.000249032218788 -1.72519130267 0.00954498230611 2.41395361727e-12 6.76908178753e-10 3.80509206687e-11 1.98100666817e-09
338.4 -3.98559591978e-05 0.000266767825212 -1.71910252822 -0.000866516013402 1.50843073646e-13 6.79985934782e-10 -2.47410659427e-11 1.99697849384e-09
340.8 -4.21741674673e-05 0.000263759320306 -1.72935057953 -0.00179345795171 4.92091966964e-13 6.80757456831e-10 -2.94763605159e-11 1.93191758209e-09
343.2 -3.96323267751e-05 0.000250495890803 -1.72771112638 0.00609082073234 8.09164700294e-13 6.82318964831e-10 2.33590108483e-11 1.92457676249e-09
345.6 -3.14008734607e-05 0.0002414633776 -1.70011464002 0.0130508251438 3.28174691402e-13 6.83683772101e-10 6.47255042374e-11 2.0302781806e-09
348.0 -2.31938440347e-05 0.000245304865589 -1.66506716569 0.0106139600416 4.14677189797e-13 6.84575194359e-10 4.87169723806e-11 2.16640915254e-09
350.4 -2.05255797911e-05 0.000261365297458 -1.64916763182 0.00332362923856 1.18387605172e-12 6.86493458249e-10 3.65327561218e-12 2.22925345013e-09
352.8 -2.20304421438e-05 0.000280721479527 -1.64911374535 6.83977161341e-05 9.09084925582e-13 6.89005011422e-10 -1.25876645762e-11 2.21853218337e-09
355.2 -2.29118187554e-05 0.00029298315831 -1.64883932278 0.000862184100744 1.10926681253e-13 6.9022902535e-10 -1.47965019509e-12 2.20165140565e-09
357.6 -2.19092907875e-05 0.000294815376911 -1.64497526166 0.00255424000349 4.16984126736e-14 6.90412175462e-10 6.24216334674e-12 2.20736642143e-09
360.0 -1.91594282494e-05 0.000290833304374 -1.63657897076 0.00681075688181 1.61858153154e-13 6.90656443341e-10 3.09915155069e-11 2.25204683605e-09
362.4 -1.19134335689e-05 0.000286993782153 -1.61228362863 0.0147621943439 3.7334260265e-13 6.91298684248e-10 9.09536641276e-11 2.39838105161e-09
364.8 1.45236278491e-06 0.000286127286385 -1.56572043791 0.0207986891265 7.45940209918e-13 6.92641823623e-10 1.39419449308e-10 2.67482878774e-09
367.2 1.68806238765e-05 0.00028898890447 -1.51244992082 0.0193195090497 6.82803882204e-13 6.94356316534e-10 1.27996367567e-10 2.99572776799e-09
369.6 2.89933115612e-05 0.000295480359009 -1.47298679447 0.0136365420793 4.42938140627e-13 6.95707206961e-10 8.3270154541e-11 3.24924759452e-09
372.0 3.77461927761e-05 0.000303332820239 -1.44699451884 0.0108381894456 3.17801037528e-13 6.96620093975e-10 6.83097002836e-11 3.43114342031e-09
374.4 4.65087743671e-05 0.000308078075784 -1.42096348514 0.0117683466131 2.53603821689e-13 6.97305779806e-10 8.60091311885e-11 3.61632601807e-09
376.8 5.59664289209e-05 0.000307053993298 -1.3905064551 0.0138944359753 3.37808351564e-13 6.98015474414e-10 9.77347941307e-11 3.83681872846e-09
379.2 6.66179644119e-05 0.000302843811741 -1.35427019245 0.020940574123 6.24985833669e-13 6.99170827436e-10 1.36155066715e-10 4.11748656147e-09
381.6 8.66386888113e-05 0.00030038478721 -1.28999169931 0.0401022149174 2.85990649569e-12 7.03352698232e-10 2.91027978702e-10 4.63010621597e-09
384.0 0.000130683971301 0.000301488366907 -1.16177956085 0.0692922555403 1.25604968738e-11 7.21857182275e-10 5.96850524549e-10 5.69556041987e-09
386.4 0.00021436399416 0.000304493037017 -0.957388872717 0.0969448203249 4.15760256592e-11 7.86821009315e-10 1.09388143207e-09 7.72443876781e-09
388.8 0.000365716625544 0.000305822637342 -0.696444423291 0.110891238178 1.41790303875e-10 1.00686060476e-09 2.09137168985e-09 1.15467425141e-08
391.2 0.00065225146347 0.000295285202153 -0.425110929463 0.101843496981 5.2357479729e-10 1.80529872615e-09 4.3266636403e-09 1.92483849103e-08
393.6 0.00118646452414 0.000249905183309 -0.207595637782 0.0749286900769 1.7033051287e-09 4.47755463734e-09 8.71896126415e-09 3.49031347956e-08
