# 1:freq 2:Re 3:Im
23.2258964707 5.74739792761e-07 1.57411402792e-06
46.4517929414 5.36459939847e-07 4.40528874376e-07
69.6776894121 4.46611703861e-07 4.4805043387e-07
92.9035858828 2.76700142662e-07 3.90767475686e-07
116.129482354 7.68575535281e-08 1.59106423512e-07
139.355378824 1.4375728529e-07 1.79956588858e-07
162.581275295 3.76518717553e-07 7.92032485702e-08
185.807171766 5.00231958045e-07 8.64105846636e-08
209.033068236 7.40162189507e-07 9.68952308735e-08
232.258964707 1.19131488259e-06 1.29099357883e-07
255.484861178 1.19431354449e-06 1.35193212781e-07
278.710757648 5.37973155113e-07 1.74792394295e-07
301.936654119 4.1147096018e-07 2.04355823229e-07
325.16255059 6.96297175699e-07 2.30245385549e-07
348.388447061 1.34001757643e-06 2.47765240968e-07
371.614343531 1.24556577882e-06 2.7047882605e-07
394.840240002 7.9945252926e-07 3.30456580357e-07
418.066136473 3.41350264292e-07 3.74450182694e-07
441.292032943 4.50401306152e-07 4.04975246454e-07
464.517929414 1.15443188405e-06 4.37393421023e-07
487.743825885 9.53424878442e-07 4.57746062851e-07
510.969722355 7.52918188611e-07 4.49911038601e-07
534.195618826 1.01824220187e-06 4.3289870875e-07
557.421515297 7.16514602908e-07 4.35387393107e-07
580.647411768 7.62858664416e-07 5.45517130351e-07
603.873308238 1.53244380613e-06 6.56782577611e-07
627.099204709 1.67633591812e-06 8.560390841e-07
650.32510118 2.02931748226e-06 1.0253953529e-06
673.55099765 2.77487858249e-06 1.32595373953e-06
696.776894121 3.43225398128e-06 1.7028991474e-06
720.002790592 3.84933611586e-06 2.09810689257e-06
743.228687063 4.51807494592e-06 2.47125670598e-06
766.454583533 5.16537034516e-06 2.77046343265e-06
789.680480004 5.20912044016e-06 2.93097508756e-06
812.906376475 4.83962971665e-06 2.85910663897e-06
836.132272945 4.3213207436e-06 2.54445354962e-06
859.358169416 3.55122181932e-06 1.95740469272e-06
882.584065887 2.44584372501e-06 1.24681496595e-06
905.809962357 2.02020078801e-06 9.08353144314e-07
929.035858828 2.57930929313e-06 1.48973751434e-06
952.261755299 3.38179489478e-06 2.12069216973e-06
975.48765177 3.45971909533e-06 2.29391630795e-06
998.71354824 2.91161489479e-06 1.86227349785e-06
1021.93944471 1.9335363207e-06 9.05964015012e-07
1045.16534118 1.38935593415e-06 4.39851782982e-07
1068.39123765 2.38776836984e-06 1.74094514072e-06
1091.61713412 3.47152998954e-06 2.65800561547e-06
1114.84303059 3.99345631247e-06 3.02232626913e-06
1138.06892706 3.30462772449e-06 2.62834599287e-06
1161.29482354 1.43386110997e-06 1.8173091972e-06
1184.52072001 2.10557778173e-06 2.14082912713e-06
1207.74661648 2.5855363012e-06 2.92964861525e-06
1230.97251295 4.75069020747e-06 4.10486147639e-06
1254.19840942 4.76407596292e-06 4.10481741632e-06
1277.42430589 3.60167990028e-06 3.45620359598e-06
1300.65020236 2.30147376539e-06 3.10193720798e-06
1323.87609883 4.33154281629e-06 4.48049314436e-06
1347.1019953 6.93386082698e-06 6.52835997569e-06
1370.32789177 8.76525231865e-06 8.453890026e-06
1393.55378824 1.01550650538e-05 1.01083911179e-05
1416.77968471 1.13460493195e-05 1.16602987823e-05
1440.00558118 1.25404512593e-05 1.32994304306e-05
1463.23147765 1.41603334717e-05 1.48755960903e-05
1486.45737413 1.61498031519e-05 1.63422532759e-05
1509.6832706 1.72273111942e-05 1.71222816373e-05
1532.90916707 1.70472107826e-05 1.68139899055e-05
1556.13506354 1.54937551832e-05 1.54562827157e-05
1579.36096001 1.30451541634e-05 1.33564130921e-05
1602.58685648 1.02720397907e-05 1.10101730836e-05
1625.81275295 8.25177824609e-06 9.2123263004e-06
1649.03864942 7.6000546551e-06 8.44722372044e-06
1672.26454589 7.87260470384e-06 8.53998747739e-06
1695.49044236 8.64445559613e-06 8.98342501133e-06
1718.71633883 9.04743862731e-06 9.10948470522e-06
1741.9422353 8.59060241315e-06 8.71336837662e-06
1765.16813177 8.21413439045e-06 8.4525564805e-06
1788.39402824 8.70500300781e-06 8.85596267047e-06
1811.61992471 1.06409546737e-05 1.03788988454e-05
1834.84582119 1.28717345677e-05 1.21226407732e-05
1858.07171766 1.35866178366e-05 1.28168326775e-05
1881.29761413 1.27234295934e-05 1.23679027836e-05
1904.5235106 1.06349812689e-05 1.0808161659e-05
1927.74940707 9.13142230964e-06 9.61520429926e-06
1950.97530354 9.1131320772e-06 9.56991155592e-06
1974.20120001 1.01226609065e-05 1.0344807363e-05
1997.42709648 1.09908401043e-05 1.09446553004e-05
2020.65299295 1.05504406733e-05 1.06505889792e-05
2043.87888942 9.31899674442e-06 9.65442938479e-06
2067.10478589 8.5767877957e-06 9.06518737933e-06
2090.33068236 9.63955726773e-06 9.61047197072e-06
2113.55657883 1.10762327808e-05 1.05033362393e-05
2136.7824753 1.09791498661e-05 1.05069472221e-05
2160.00837178 9.40637196026e-06 9.50465722202e-06
2183.23426825 7.70615845996e-06 8.36808509744e-06
2206.46016472 6.88650485563e-06 7.67777272095e-06
2229.68606119 8.14008581528e-06 8.2798399229e-06
2252.91195766 8.65382598864e-06 8.60983753758e-06
2276.13785413 8.81578307477e-06 8.66028852733e-06
2299.3637506 8.41950231e-06 8.33326756961e-06
2322.58964707 7.97305337844e-06 8.03938545316e-06
2345.81554354 7.03269549702e-06 6.97450281918e-06
2369.04144001 6.04836474953e-06 6.8585971755e-06
2392.26733648 6.98553084613e-06 7.40933498898e-06
2415.49323295 6.59892810403e-06 7.02504879956e-06
2438.71912942 5.02540893273e-06 6.17152106512e-06
2461.94502589 5.57965273506e-06 6.65605002421e-06
2485.17092237 8.05053028494e-06 7.90208615451e-06
2508.39681884 9.59257492096e-06 8.59011365773e-06
2531.62271531 8.90818860139e-06 8.11650292954e-06
2554.84861178 7.427975009e-06 7.39336437688e-06
2578.07450825 7.13365444823e-06 7.35752665616e-06
2601.30040472 8.47203652209e-06 8.01838240983e-06
2624.52630119 9.2847995039e-06 8.40950444645e-06
2647.75219766 8.16992584796e-06 7.60907150577e-06
2670.97809413 6.15093645371e-06 6.38769082255e-06
2694.2039906 5.70004327623e-06 6.27398876513e-06
2717.42988707 7.19074935187e-06 7.20466012217e-06
2740.65578354 8.35943658653e-06 7.87529939506e-06
2763.88168001 8.12761053591e-06 7.61087896317e-06
2787.10757648 6.38177148012e-06 6.39454853373e-06
2810.33347296 5.67619755767e-06 5.96748154095e-06
2833.55936943 7.06915956927e-06 6.84992549297e-06
2856.7852659 8.53750404746e-06 8.0269841474e-06
2880.01116237 7.9290450212e-06 7.93044108704e-06
2903.23705884 5.88836133472e-06 6.90758343523e-06
2926.46295531 5.13820470385e-06 5.88623631564e-06
2949.68885178 6.87429619117e-06 5.94579797956e-06
2972.91474825 8.87244946225e-06 6.95846050547e-06
2996.14064472 8.82440849533e-06 7.39177964289e-06
3019.36654119 6.81923039526e-06 6.98264337669e-06
3042.59243766 5.69852225752e-06 6.95577468261e-06
3065.81833413 7.19559994339e-06 7.80775369877e-06
3089.0442306 8.04728055339e-06 7.91388774306e-06
3112.27012707 7.29730294008e-06 7.24530997957e-06
3135.49602355 5.02385126166e-06 5.69074073684e-06
3158.72192002 4.59581495968e-06 5.30009852294e-06
3181.94781649 6.21776724244e-06 5.70649885578e-06
3205.17371296 7.27675287516e-06 6.13418790886e-06
3228.39960943 6.80260989483e-06 5.94517754085e-06
3251.6255059 5.28598749431e-06 5.42667782306e-06
3274.85140237 4.39442349901e-06 5.2427042133e-06
3298.07729884 5.75476042287e-06 5.72167495413e-06
3321.30319531 7.46919094868e-06 6.61273574169e-06
3344.52909178 7.74700888085e-06 6.90086732789e-06
3367.75498825 6.73899618187e-06 7.04836984753e-06
3390.98088472 5.8378206e-06 7.17474262171e-06
3414.20678119 7.3266339321e-06 7.62675440159e-06
3437.43267766 9.51126229382e-06 8.72238911074e-06
3460.65857413 8.39113488604e-06 7.92817338273e-06
3483.88447061 7.14973670169e-06 7.66586940814e-06
3507.11036708 7.44810114204e-06 8.20110323368e-06
3530.33626355 8.73637976998e-06 8.16830071706e-06
3553.56216002 9.84732933293e-06 8.55375983808e-06
3576.78805649 9.20193425252e-06 8.30935654648e-06
3600.01395296 7.72314914159e-06 8.30416275449e-06
3623.23984943 7.30404322234e-06 8.08051239706e-06
3646.4657459 9.28650511013e-06 8.78481936847e-06
3669.69164237 9.09554791531e-06 8.10706145935e-06
3692.91753884 7.09234036783e-06 7.03488690004e-06
3716.14343531 5.34499617096e-06 6.50151331224e-06
3739.36933178 6.72154214383e-06 7.0933547723e-06
3762.59522825 7.75195311181e-06 6.92375651244e-06
3785.82112472 5.64620687723e-06 4.87969556555e-06
3809.0470212 3.64625734193e-06 3.74079158352e-06
3832.27291767 3.4699210545e-06 4.30868510052e-06
3855.49881414 4.32242372343e-06 3.79688441954e-06
3878.72471061 3.82978254732e-06 2.98933480168e-06
3901.95060708 9.03605704845e-07 9.02647432583e-07
3925.17650355 2.80012948144e-06 1.96007423223e-06
3948.40240002 3.52785263272e-06 2.60756942822e-06
3971.62829649 2.10058345672e-06 2.67267934584e-06
3994.85419296 2.8314712869e-06 3.1752151494e-06
4018.08008943 5.31833336661e-06 4.56927845496e-06
4041.3059859 5.10216091102e-06 4.48064343167e-06
4064.53188237 4.05217875289e-06 3.94213256709e-06
4087.75777884 4.28709081158e-06 5.65402251433e-06
4110.98367531 6.9709749585e-06 7.38517328893e-06
4134.20957179 1.10602896078e-05 9.74326078909e-06
4157.43546826 1.00628569976e-05 9.2176740819e-06
4180.66136473 9.03696688356e-06 9.82667588759e-06
4203.8872612 9.78918378499e-06 1.07016093446e-05
4227.11315767 1.30589661769e-05 1.22236079635e-05
4250.33905414 1.58294310529e-05 1.444939089e-05
4273.56495061 1.25124063702e-05 1.30055660571e-05
4296.79084708 9.01674357159e-06 1.0619783485e-05
4320.01674355 1.12496088443e-05 1.14795454958e-05
4343.24264002 1.43873322393e-05 1.27560742103e-05
4366.46853649 1.34892366015e-05 1.24832848548e-05
4389.69443296 8.22763277111e-06 9.29633622318e-06
4412.92032943 6.49079558908e-06 7.26698761806e-06
4436.1462259 6.5596722721e-06 6.17654587615e-06
4459.37212238 7.58902032159e-06 6.66066466621e-06
4482.59801885 8.53624177307e-06 8.38470071131e-06
4505.82391532 8.30249533668e-06 9.27303894216e-06
4529.04981179 1.06924521694e-05 1.02482024932e-05
4552.27570826 1.14661154955e-05 1.07140452091e-05
4575.50160473 6.27411042889e-06 7.91204180614e-06
4598.7275012 1.06603586994e-05 9.19596306767e-06
4621.95339767 9.02290509013e-06 1.00393528727e-05
4645.17929414 1.0183072286e-05 1.00682002967e-05
4668.40519061 1.00101944795e-06 9.46057121e-07
4691.63108708 1.37862818981e-05 1.19916310406e-05
4714.85698355 1.58290751516e-05 1.63968576432e-05
4738.08288002 1.08751609076e-05 1.08974585539e-05
4761.30877649 3.59922152241e-06 2.31241449608e-06
4784.53467297 6.41321619959e-06 5.40748471287e-06
4807.76056944 6.68382113493e-06 7.4846970542e-06
4830.98646591 5.06046410562e-06 4.61917790645e-06
4854.21236238 6.65737494732e-06 5.23749284253e-06
4877.43825885 4.05758357203e-06 4.48379761175e-06
4900.66415532 5.09262679824e-06 5.58124671317e-06
4923.89005179 6.91609980277e-06 5.68379550094e-06
4947.11594826 5.95964164759e-06 5.93077417257e-06
4970.34184473 4.41086701312e-06 5.57447441422e-06
4993.5677412 4.97781029945e-06 4.34092640387e-06
5016.79363767 3.79267811452e-06 2.77378462952e-06
5040.01953414 2.07123329159e-06 1.1578908456e-06
5063.24543061 6.24864630741e-07 1.5170605046e-06
5086.47132708 2.41023484053e-06 2.41336344184e-06
5109.69722355 3.25834139702e-06 2.04086349104e-06
5132.92312003 2.23413900916e-06 1.22884073533e-06
5156.1490165 6.46002232336e-07 1.42684620602e-06
5179.37491297 1.96471823281e-06 1.26839912342e-06
5202.60080944 2.22706072523e-06 1.04196853808e-06
5225.82670591 9.3499015102e-07 4.57940986366e-07
5249.05260238 2.00536694571e-06 1.2964637346e-06
5272.27849885 2.14994460936e-06 9.3195650914e-07
5295.50439532 1.40027440903e-06 5.67162695542e-07
5318.73029179 5.78420030954e-07 8.72886645035e-07
5341.95618826 1.84377790034e-06 1.37596361877e-06
5365.18208473 2.24766942975e-06 1.20961592557e-06
5388.4079812 2.28724015715e-06 1.21302889063e-06
5411.63387767 4.17057791097e-07 1.24768023472e-06
5434.85977414 1.36127758836e-06 1.46218838963e-06
5458.08567062 2.66683562735e-06 1.65141599198e-06
5481.31156709 2.1055746275e-06 8.87414939448e-07
5504.53746356 1.28528629065e-06 7.84390181322e-07
5527.76336003 6.85209587158e-07 1.31427135793e-06
5550.9892565 1.88161205361e-06 1.31275284549e-06
5574.21515297 2.57188640683e-06 1.36196882811e-06
5597.44104944 1.68439085053e-06 7.75461872046e-07
5620.66694591 3.89278651335e-07 7.81620943923e-07
5643.89284238 1.35802725377e-06 1.04113447779e-06
5667.11873885 1.89778978354e-06 9.68041244878e-07
5690.34463532 1.62468477933e-06 5.02353026939e-07
5713.57053179 9.1537106582e-07 2.47886676945e-07
5736.79642826 9.28773908803e-07 8.02533280321e-07
5760.02232473 1.5301409505e-06 8.65380923884e-07
5783.24822121 1.48578628432e-06 6.49957012833e-07
5806.47411768 1.01041414399e-06 2.34397009818e-07
5829.70001415 1.20999816283e-06 5.02885781849e-07
5852.92591062 1.13018392772e-06 2.64716268038e-07
5876.15180709 9.42477239469e-07 4.06629586087e-07
5899.37770356 1.40336057476e-06 5.97072113875e-07
5922.60360003 1.19863236223e-06 1.8431378528e-07
5945.8294965 8.59468654625e-07 3.06343504669e-07
5969.05539297 1.0372061669e-06 4.30126235424e-07
5992.28128944 1.07388395949e-06 5.79056803674e-07
6015.50718591 1.04496692847e-06 4.45189788369e-07
6038.73308238 1.19233192121e-06 6.61583767114e-07
6061.95897885 9.9281303539e-07 2.6217826606e-07
6085.18487532 7.74140060664e-07 5.09600397221e-07
6108.4107718 1.17135838359e-06 8.02471581694e-07
6131.63666827 1.23587874496e-06 5.64848225616e-07
6154.86256474 8.48042150203e-07 3.01272105171e-07
6178.08846121 8.38888609716e-07 3.44465236703e-07
6201.31435768 9.47134734833e-07 4.54678858065e-07
6224.54025415 9.4577734436e-07 4.7826345653e-07
6247.76615062 1.1287802649e-06 5.45985865722e-07
6270.99204709 8.76110310956e-07 2.34348329995e-07
6294.21794356 6.10479173055e-07 4.10911483524e-07
6317.44384003 8.90015599436e-07 5.59418895659e-07
6340.6697365 9.39615607478e-07 4.56985983481e-07
6363.89563297 9.98298687318e-07 4.59521947846e-07
6387.12152944 7.6640502634e-07 2.26939739066e-07
6410.34742591 6.20486604331e-07 4.567931791e-07
6433.57332239 7.76596671616e-07 5.40407673843e-07
6456.79921886 9.466142436e-07 5.30861939726e-07
6480.02511533 9.19872325868e-07 3.88605705059e-07
6503.2510118 6.17095277677e-07 2.25602025372e-07
6526.47690827 4.92323384807e-07 5.03981976245e-07
6549.70280474 8.4212775898e-07 6.38039343847e-07
6572.92870121 9.49690351759e-07 5.04316178664e-07
6596.15459768 7.64097450712e-07 1.88948263162e-07
6619.38049415 4.55923279159e-07 3.17351729334e-07
6642.60639062 5.6686789304e-07 6.10969974047e-07
6665.83228709 9.08338752285e-07 6.97212826118e-07
6689.05818356 8.87327854251e-07 4.08580570794e-07
6712.28408003 4.73482892869e-07 1.67223861717e-07
6735.5099765 4.71920761064e-07 5.47384510818e-07
6758.73587297 7.344105417e-07 6.42912885505e-07
6781.96176945 8.15688958578e-07 5.57762606423e-07
6805.18766592 6.65420534789e-07 2.69862446148e-07
6828.41356239 3.99571739721e-07 2.96384120251e-07
6851.63945886 5.37472136316e-07 5.58544156013e-07
6874.86535533 6.81135927711e-07 5.58423824419e-07
6898.0912518 5.65943494224e-07 3.80065885371e-07
6921.31714827 4.90688333711e-07 3.52686603522e-07
6944.54304474 5.30285628919e-07 3.8749098202e-07
6967.76894121 4.91123467216e-07 3.82625576939e-07
6990.99483768 4.82189314744e-07 4.82956738958e-07
7014.22073415 6.26366147055e-07 5.64975381524e-07
7037.44663062 5.59909595227e-07 3.93449468192e-07
7060.67252709 3.03850393271e-07 1.87670826952e-07
7083.89842356 3.53111576427e-07 4.16613444376e-07
7107.12432004 5.53618199269e-07 5.39556520237e-07
7130.35021651 6.02904472176e-07 5.01313364187e-07
7153.57611298 4.14833721703e-07 2.9581342415e-07
7176.80200945 2.73353812094e-07 2.80656820378e-07
7200.02790592 3.9395298229e-07 4.15436276315e-07
7223.25380239 5.11290159952e-07 4.52320984545e-07
7246.47969886 4.41945867245e-07 3.21648745278e-07
7269.70559533 3.30690221808e-07 2.02199885777e-07
7292.9314918 2.56433151435e-07 3.08396492557e-07
7316.15738827 3.99199196504e-07 4.68628325629e-07
7339.38328474 4.83653142715e-07 5.19073270297e-07
7362.60918121 4.48086511526e-07 4.43864834755e-07
7385.83507768 2.97272648102e-07 2.99615752284e-07
7409.06097415 2.35536336836e-07 2.9738517121e-07
7432.28687063 4.12312747279e-07 4.12383547644e-07
7455.5127671 4.94078299489e-07 4.50805482592e-07
7478.73866357 4.12388775903e-07 3.47409337062e-07
7501.96456004 1.87477338441e-07 1.69687147082e-07
7525.19045651 1.82294735476e-07 2.01317012221e-07
7548.41635298 3.41696149074e-07 3.09335533916e-07
7571.64224945 3.52566980853e-07 3.0194420851e-07
7594.86814592 2.41123660735e-07 2.36204894702e-07
7618.09404239 1.42885635375e-07 2.16554372306e-07
7641.31993886 2.69707564392e-07 3.4981307958e-07
7664.54583533 3.73426547489e-07 4.25061657863e-07
7687.7717318 3.46699743473e-07 3.50637280883e-07
7710.99762827 1.92125285933e-07 1.62687691095e-07
7734.22352474 1.68175408196e-07 2.23182461784e-07
7757.44942122 3.08203755592e-07 3.71246662612e-07
7780.67531769 3.34843109074e-07 3.51996307639e-07
7803.90121416 2.41621047792e-07 2.2377884538e-07
7827.12711063 1.39013790814e-07 1.51317643005e-07
7850.3530071 1.95249628859e-07 2.40807759143e-07
7873.57890357 2.9175777938e-07 3.1629897759e-07
7896.80480004 3.05124434817e-07 3.18600989276e-07
7920.03069651 2.35104222875e-07 2.27601295293e-07
7943.25659298 1.20778813347e-07 1.62648974328e-07
7966.48248945 1.64213397362e-07 2.0722629849e-07
7989.70838592 2.45709116888e-07 2.84418375601e-07
8012.93428239 3.01410677749e-07 2.70977163004e-07
8036.16017886 2.15130478971e-07 1.79974238888e-07
8059.38607533 1.08563386059e-07 1.50065205554e-07
8082.6119718 2.07476910825e-07 2.75145399755e-07
8105.83786828 2.87149405397e-07 3.05061184476e-07
8129.06376475 2.57059763792e-07 2.26223853237e-07
8152.28966122 1.39131592361e-07 9.63020061617e-08
8175.51555769 1.15744505158e-07 1.88307944697e-07
8198.74145416 2.0494964464e-07 2.75560237809e-07
8221.96735063 2.26062131819e-07 2.47583603838e-07
8245.1932471 1.88196427836e-07 1.31488718527e-07
8268.41914357 1.47047325097e-07 1.2496823483e-07
8291.64504004 1.56525304421e-07 1.93335941055e-07
8314.87093651 1.62540022217e-07 2.04383691648e-07
8338.09683298 1.95212457201e-07 1.8525641933e-07
8361.32272945 1.72728284889e-07 1.36345494024e-07
8384.54862592 1.25509789897e-07 9.8217544041e-08
8407.77452239 1.00729266712e-07 9.21925152444e-08
8431.00041887 1.80691180112e-07 1.88396073084e-07
8454.22631534 1.80590905226e-07 2.2367260177e-07
8477.45221181 1.42948697376e-07 1.61276012347e-07
8500.67810828 1.0327128398e-07 5.69337607371e-08
8523.90400475 1.10747962742e-07 8.32392228e-08
8547.12990122 1.41695766755e-07 1.57298645902e-07
8570.35579769 1.73245643892e-07 1.71307485738e-07
8593.58169416 1.49994047437e-07 1.01108325635e-07
8616.80759063 8.74988948796e-08 2.51709036036e-08
8640.0334871 1.19854966506e-07 1.1626226916e-07
