# 1:time 2:Re 3:Im 4:phi 5:omega 6:E_dot_GW 7:E_GW 8:J_dot_GW 9:J_GW
0.0 0.0 -0.0 0.0 0.981747704247 0.0 0.0 0.0 0.0
2.4 -1.37672812895e-38 -6.38924767437e-23 1.57079632679 0.327249234749 1.22088050551e-51 1.46505660662e-51 0.0 0.0
4.8 4.88957207861e-29 -7.14191879548e-14 1.57079632679 -3.23815048849e-16 1.61714042145e-33 1.94056850574e-33 0.0 0.0
7.2 9.55609514044e-26 -7.41355981852e-11 1.57079632679 -1.57281595155e-15 1.86874673782e-27 2.24249996652e-27 0.0 0.0
9.6 1.96234668354e-23 -2.38742593292e-09 1.57079632679 -6.01370805005e-16 2.10013099604e-24 2.5246421913e-24 0.0 0.0
12.0 8.36324196806e-23 -1.91535331649e-08 1.57079632679 6.01370805005e-16 1.47841947542e-22 1.82455136436e-22 0.0 0.0
14.4 4.08726558704e-22 -7.66517722534e-08 1.57079632679 4.62592926927e-17 2.6107477655e-21 3.49276279208e-21 0.0 0.0
16.8 8.36159061657e-22 -2.06038967324e-07 1.57079632679 -1.38777878078e-16 2.09464882921e-20 3.17614460611e-20 0.0 0.0
19.2 2.58721863325e-21 -4.31620961512e-07 1.57079632679 4.62592926927e-17 1.02698066968e-19 1.80134912374e-19 0.0 0.0
21.6 2.9321764983e-21 -7.65296811267e-07 1.57079632679 -1.06396373193e-15 3.62642305041e-19 7.38543358786e-19 0.0 0.0
24.0 1.34680393986e-20 -1.20674868963e-06 1.57079632679 -2.31296463464e-16 1.0174642854e-18 2.39467126732e-18 0.0 0.0
26.4 8.68861952809e-21 -1.74627737781e-06 1.57079632679 1.66533453694e-15 2.41403720031e-18 6.51247305017e-18 0.0 0.0
28.8 7.55158923217e-21 -2.36808290318e-06 1.57079632679 8.32667268469e-16 5.04771288917e-18 1.54665731575e-17 0.0 0.0
31.2 3.16924934366e-21 -3.05302539281e-06 1.57079632679 2.31296463464e-16 9.57074320374e-18 3.3008720469e-17 0.0 0.0
33.6 7.41813161128e-21 -3.78063298955e-06 1.57079632679 5.55111512313e-16 1.67910059992e-17 6.46428195126e-17 0.0 0.0
36.0 -8.06955906971e-21 -4.53043324639e-06 1.57079632679 -8.32667268469e-16 2.76633764513e-17 1.17988078453e-16 0.0 0.0
