# 1:time 2:Re 3:Im 4:phi 5:omega 6:E_dot_GW 7:E_GW 8:J_dot_GW 9:J_GW
0.0 0.0 -0.0 0.0 1.96349540849 0.0 0.0 -0.0 0.0
2.4 -9.05730160915e-23 -1.67920599536e-36 3.14159265359 0.654498469498 3.3325549548e-49 3.99906594576e-49 0.0 0.0
4.8 -1.04821213519e-13 -3.79590781837e-27 3.14159265359 -7.40148683083e-16 4.11568811122e-31 4.93882573347e-31 0.0 0.0
7.2 -1.12503350796e-10 -2.4772020948e-24 3.14159265359 2.59052039079e-15 4.39476289916e-25 5.27372535664e-25 0.0 0.0
9.6 -3.74159043976e-09 -8.78781510036e-23 3.14159265359 1.2952601954e-15 4.52951149558e-22 5.44596123553e-22 0.0 0.0
12.0 -3.09677192442e-08 -4.90071248789e-22 3.14159265359 1.20274161001e-15 2.90632271412e-20 3.59640100725e-20 0.0 0.0
14.4 -1.27739267563e-07 -2.28741102829e-21 3.14159265359 3.05311331772e-15 4.65591906479e-19 6.29550170416e-19 0.0 0.0
16.8 -3.53639706773e-07 -4.02570292917e-22 3.14159265359 2.86807614695e-15 3.37729293219e-18 5.24101197682e-18 0.0 0.0
19.2 -7.62514810334e-07 -3.217878396e-21 3.14159265359 1.94289029309e-15 1.49393495515e-17 2.72209829573e-17 0.0 0.0
21.6 -1.39087747095e-06 1.20976438991e-20 3.14159265359 3.05311331772e-15 4.75505676143e-17 1.02208883556e-16 0.0 0.0
24.0 -2.25538242005e-06 2.40129045338e-20 3.14159265359 2.22044604925e-15 1.20276709337e-16 3.03601615898e-16 0.0 0.0
26.4 -3.35538550958e-06 6.43853997794e-20 3.14159265359 1.75785312232e-15 2.57558143622e-16 7.57003439448e-16 0.0 0.0
28.8 -4.67716588252e-06 8.9440830086e-20 3.14159265359 1.2952601954e-15 4.87026731603e-16 1.65050528972e-15 0.0 0.0
31.2 -6.19802424619e-06 1.58798082125e-19 3.14159265359 9.25185853854e-17 8.37316749366e-16 3.23971746688e-15 0.0 0.0
33.6 -7.889606619e-06 1.53625715185e-19 3.14159265359 -9.25185853854e-16 1.33638364279e-15 5.84815793747e-15 0.0 0.0
36.0 -9.72036555808e-06 2.02198818991e-19 3.14159265359 -9.25185853854e-16 2.01045616296e-15 9.86436570438e-15 0.0 0.0
38.4 -1.16572860603e-05 1.77275548845e-19 3.14159265359 -1.11022302463e-15 2.88354509233e-15 1.57371672107e-14 0.0 0.0
40.8 -1.36670523204e-05 2.139702773e-19 3.14159265359 7.40148683083e-16 3.97731998622e-15 2.3970205305e-14 0.0 0.0
43.2 -1.57168158551e-05 2.9247089989e-19 3.14159265359 2.59052039079e-15 5.31120957308e-15 3.51164407761e-14 0.0 0.0
45.6 -1.77746911979e-05 4.98872547288e-19 3.14159265359 1.2952601954e-15 6.90255769462e-15 4.97729614974e-14 0.0 0.0
48.0 -1.98100705236e-05 4.97094675241e-19 3.14159265359 9.25185853854e-17 8.76680810765e-15 6.85762004601e-14 0.0 0.0
50.4 -2.17938203767e-05 6.25172709811e-19 3.14159265359 1.75785312232e-15 1.09176017003e-14 9.21974922296e-14 0.0 0.0
52.8 -2.36984044928e-05 7.90563414307e-19 3.14159265359 3.97829917157e-15 1.33668296749e-14 1.2133880988e-13 0.0 0.0
55.2 -2.54979619634e-05 1.21532849752e-18 3.14159265359 3.88578058619e-15 1.61245492842e-14 1.56728464631e-13 0.0 0.0
57.6 -2.71683582402e-05 1.41988889396e-18 3.14159265359 3.88578058619e-15 1.91989045927e-14 1.99116609283e-13 0.0 0.0
60.0 -2.86872202058e-05 1.90764171754e-18 3.14159265359 3.42318765926e-15 2.2595910491e-14 2.49270387384e-13 0.0 0.0
62.4 -3.00339620324e-05 2.05586636629e-18 3.14159265359 -1.85037170771e-16 2.6319292476e-14 3.07968630944e-13 0.0 0.0
64.8 -3.11898069567e-05 2.03936649984e-18 3.14159265359 6.47630097698e-16 3.03701514703e-14 3.7599596368e-13 0.0 0.0
67.2 -3.21378083814e-05 2.2957513061e-18 3.14159265359 2.03540887848e-15 3.47467435315e-14 4.54136237682e-13 0.0 0.0
69.6 -3.28628690738e-05 2.46318078684e-18 3.14159265359 1.48029736617e-15 3.94441736739e-14 5.43165338328e-13 0.0 0.0
72.0 -3.33517574963e-05 2.62355190333e-18 3.14159265359 3.70074341542e-16 4.44542604079e-14 6.43843459226e-13 0.0 0.0
74.4 -3.35931236442e-05 2.57835518599e-18 3.14159265359 3.23815048849e-15 4.97651604429e-14 7.56906764247e-13 0.0 0.0
76.8 -3.35775159983e-05 3.16733385473e-18 3.14159265359 3.70074341542e-15 5.53612463303e-14 8.83058452375e-13 0.0 0.0
79.2 -3.32973957563e-05 3.14906191437e-18 3.14159265359 2.12792746386e-15 6.12228610239e-14 1.0229593812e-12 0.0 0.0
81.6 -3.27471490395e-05 3.41905611773e-18 3.14159265359 4.16333634234e-15 6.73263233472e-14 1.17721840245e-12 0.0 0.0
84.0 -3.19230935582e-05 3.66238205803e-18 3.14159265359 4.71844785466e-15 7.36438876437e-14 1.34638265563e-12 0.0 0.0
86.4 -3.08234803296e-05 3.91211618414e-18 3.14159265359 4.4408920985e-15 8.01438346307e-14 1.53092792236e-12 0.0 0.0
88.8 -2.94484955148e-05 4.00284020082e-18 3.14159265359 8.32667268469e-15 8.67902920168e-14 1.73124887434e-12 0.0 0.0
91.2 -2.78002588752e-05 4.64974230464e-18 3.14159265359 8.69674702623e-15 9.35435951724e-14 1.94764953897e-12 0.0 0.0
93.6 -2.58828140839e-05 4.60618981607e-18 3.14159265359 3.1456319031e-15 1.00360428367e-13 2.18033436722e-12 0.0 0.0
96.0 -2.37021158612e-05 4.31342710406e-18 3.14159265359 7.86407975776e-15 1.07194118188e-13 2.42939982308e-12 0.0 0.0
98.4 -2.12660123943e-05 4.58184905405e-18 3.14159265359 8.78926561162e-15 1.13994994457e-13 2.69482675825e-12 0.0 0.0
100.8 -1.85842162497e-05 4.16647532818e-18 3.14159265359 6.84637531852e-15 1.20711130901e-13 2.97647410868e-12 0.0 0.0
103.2 -1.56682722504e-05 3.88857582936e-18 3.14159265359 2.67378711764e-14 1.27288364733e-13 3.27407350345e-12 0.0 0.0
105.6 -1.25315258109e-05 4.41761982046e-18 3.14159265359 3.30291349826e-14 1.33670933012e-13 3.58722466074e-12 0.0 0.0
108.0 -9.1890811516e-06 3.74047590362e-18 3.14159265359 5.98595247444e-14 1.39802167403e-13 3.91539238124e-12 0.0 0.0
110.4 -5.65775149686e-06 3.62085321152e-18 3.14159265359 2.98835030795e-13 1.45625149511e-13 4.25790516153e-12 0.0 0.0
