# 1:time 2:Re 3:Im
0.0 9.28637543094e-11 -9.98363618319e-10
2.4 9.1978073e-11 -1.00433413226e-09
4.8 9.19178833109e-11 -1.01029036797e-09
7.2 9.18591755734e-11 -1.01625021169e-09
9.6 9.17999576441e-11 -1.02219603453e-09
12.0 9.17717448522e-11 -1.02814160612e-09
14.4 9.17660538466e-11 -1.03413335514e-09
16.8 9.17888072973e-11 -1.04006665477e-09
19.2 9.17678298299e-11 -1.04600590622e-09
21.6 9.1682403182e-11 -1.05200456829e-09
24.0 9.16700565722e-11 -1.05794442583e-09
26.4 9.16418721728e-11 -1.06387746522e-09
28.8 9.1536707156e-11 -1.06984306383e-09
31.2 9.14908880161e-11 -1.07581734897e-09
33.6 9.14490289771e-11 -1.08175578711e-09
36.0 9.1399818491e-11 -1.08770467967e-09
38.4 9.1373755401e-11 -1.09367967677e-09
40.8 9.1338031317e-11 -1.09962359812e-09
43.2 9.12825020355e-11 -1.105559782e-09
45.6 9.12253815578e-11 -1.11150801646e-09
48.0 9.1178252727e-11 -1.11744934788e-09
50.4 9.11195931782e-11 -1.1233942174e-09
52.8 9.10535035375e-11 -1.12934696046e-09
55.2 9.0964822266e-11 -1.13530758863e-09
57.6 9.08712182338e-11 -1.1412117076e-09
60.0 9.08627746235e-11 -1.14712344592e-09
62.4 9.08622058883e-11 -1.15305401727e-09
64.8 9.07741256251e-11 -1.15899041581e-09
67.2 9.06512787481e-11 -1.16491454651e-09
69.6 9.05908515674e-11 -1.17077126926e-09
72.0 9.05446873883e-11 -1.17666265449e-09
74.4 9.04560894988e-11 -1.18257853026e-09
76.8 9.03960066334e-11 -1.18838302215e-09
79.2 9.03248213762e-11 -1.19422302621e-09
81.6 9.02120833134e-11 -1.20006448282e-09
84.0 9.00899635789e-11 -1.2058612224e-09
86.4 9.00146794471e-11 -1.21169191649e-09
88.8 8.9972620688e-11 -1.21750114741e-09
91.2 8.98260765348e-11 -1.22328771762e-09
93.6 8.95561804082e-11 -1.22907497065e-09
96.0 8.93816792627e-11 -1.23487969817e-09
98.4 8.92272825759e-11 -1.24074402181e-09
