# 1:time 2:Re 3:Im
0.0 3.40469391584e-08 1.13373667649e-24
2.4 3.40519621411e-08 5.22509866771e-25
4.8 3.40535805981e-08 7.43186042638e-25
7.2 3.40534188244e-08 6.23033526307e-25
9.6 3.40517366463e-08 -2.19193798224e-25
12.0 3.40509655648e-08 4.34418292502e-26
14.4 3.40514510824e-08 5.841182309e-25
16.8 3.4051674e-08 5.58196091575e-25
19.2 3.40510132214e-08 8.14446319987e-25
21.6 3.40493908641e-08 3.09089240328e-25
24.0 3.40489381086e-08 1.61247811738e-24
26.4 3.40495645718e-08 -2.40921609224e-25
28.8 3.40494579707e-08 1.6076831152e-24
31.2 3.4049183205e-08 1.20498153864e-24
33.6 3.40487757376e-08 1.66058062069e-24
36.0 3.4047708641e-08 1.17344285694e-24
38.4 3.40474650609e-08 1.752353948e-24
40.8 3.40481491952e-08 1.07392822354e-24
43.2 3.40477801724e-08 1.38379349086e-24
45.6 3.40460415431e-08 1.70298381499e-24
48.0 3.40452329142e-08 1.13146373568e-24
50.4 3.40458358656e-08 2.11117760272e-24
52.8 3.4046005021e-08 9.72039511526e-25
55.2 3.40454353322e-08 1.68730551079e-24
57.6 3.40443626315e-08 -1.5794398641e-25
60.0 3.40439234319e-08 1.40469258402e-24
62.4 3.40443298372e-08 1.85098391471e-24
64.8 3.40439379566e-08 3.39810277715e-25
67.2 3.40425684029e-08 1.52079497452e-24
69.6 3.40418533603e-08 5.54157252798e-25
72.0 3.40424303211e-08 1.69024581904e-24
74.4 3.40425979958e-08 1.40169762687e-24
76.8 3.40423079185e-08 1.94136702062e-24
79.2 3.40408426485e-08 1.14833171118e-24
81.6 3.40392663124e-08 1.42982184498e-25
84.0 3.40392781661e-08 7.16260075696e-26
86.4 3.40397935491e-08 2.77942663481e-24
88.8 3.40395567486e-08 1.8654703832e-24
91.2 3.40394533052e-08 7.25621514983e-25
93.6 3.40391305362e-08 1.07433976809e-24
96.0 3.40377123656e-08 -8.09329723229e-25
98.4 3.40372866024e-08 1.91331794644e-24
100.8 3.40383014068e-08 1.97198239668e-24
103.2 3.40385683409e-08 1.21473216085e-24
105.6 3.40379913103e-08 8.31496030035e-25
108.0 3.40372340623e-08 1.07535372284e-24
110.4 3.40352628113e-08 8.01222647222e-25
112.8 3.40349309709e-08 1.69285932031e-24
115.2 3.403725228e-08 7.14374887967e-26
117.6 3.40395942914e-08 1.7425126391e-24
120.0 3.40387961666e-08 7.75254484056e-25
122.4 3.40360488566e-08 6.01981413181e-25
124.8 3.40348308636e-08 2.52624293056e-25
127.2 3.40346790349e-08 4.74858839528e-25
129.6 3.40344347763e-08 9.1437905744e-25
132.0 3.40338334809e-08 1.93520022224e-24
134.4 3.40336162401e-08 2.71021404432e-24
136.8 3.40344459029e-08 8.35963709525e-25
139.2 3.40360292393e-08 7.62154508414e-25
141.6 3.40347950053e-08 7.38001376791e-25
144.0 3.40278980616e-08 9.44997936069e-25
146.4 3.40212239963e-08 2.82222595677e-24
148.8 3.40285594296e-08 1.27614433704e-24
151.2 3.40504038038e-08 1.64099393414e-24
153.6 3.40639166166e-08 1.46390183028e-24
156.0 3.40423864811e-08 4.37158369569e-25
158.4 3.39898590053e-08 1.13001809111e-24
160.8 3.39491598705e-08 1.5431235418e-24
163.2 3.39567227864e-08 3.28613887679e-24
165.6 3.40038777526e-08 1.86837714922e-24
168.0 3.40525133707e-08 1.63873232727e-24
