# 1:time 2:Re 3:Im
0.0 6.00873113723e-25 2.07004382021e-09
2.4 1.67513188844e-24 2.07926652492e-09
4.8 9.07388083532e-25 2.08833067706e-09
7.2 2.00463104e-24 2.09723966396e-09
9.6 9.30951499034e-25 2.10615577659e-09
12.0 5.4191113245e-25 2.11524349634e-09
14.4 5.70954604089e-25 2.12432704034e-09
16.8 -4.33293811603e-26 2.133316765e-09
19.2 -1.72200080988e-24 2.142294299e-09
21.6 -4.72558121449e-25 2.15124031224e-09
24.0 -3.65794956865e-25 2.16015826342e-09
26.4 -1.13516953744e-24 2.16909974902e-09
28.8 -4.01017748627e-25 2.17794833233e-09
31.2 4.24355546484e-25 2.18671210484e-09
33.6 -6.16034020689e-25 2.19547925441e-09
36.0 -3.01696889888e-24 2.20428531466e-09
38.4 4.59440871185e-25 2.21302946517e-09
40.8 -1.44023781849e-24 2.22162660508e-09
43.2 -1.93607484459e-24 2.23028387269e-09
45.6 -3.63917997561e-25 2.23888068866e-09
48.0 -8.5360355514e-25 2.2474097142e-09
50.4 -5.83724009972e-25 2.25596664221e-09
52.8 -2.7480747641e-24 2.26439321369e-09
55.2 -1.92250114826e-24 2.27280285236e-09
57.6 -2.39468942992e-24 2.28119966914e-09
60.0 -4.97865545789e-24 2.28964952973e-09
62.4 -4.28732331456e-25 2.29804713471e-09
64.8 -4.61655476862e-24 2.30633211749e-09
67.2 1.56019582721e-25 2.31487265364e-09
69.6 -9.11882039912e-25 2.32344038132e-09
72.0 -3.13008075057e-24 2.33197790663e-09
74.4 6.17203950537e-25 2.34076269049e-09
76.8 -6.42758049937e-25 2.34970235719e-09
79.2 -2.37624053591e-24 2.35884966949e-09
81.6 -1.2480775878e-24 2.36803009482e-09
84.0 -6.81400094923e-25 2.37748741746e-09
86.4 -6.85172815565e-25 2.38721418908e-09
88.8 -3.16695045045e-24 2.39698741586e-09
91.2 -6.04793986551e-25 2.40684281022e-09
93.6 -1.46452870779e-24 2.41676253104e-09
96.0 -4.77282527773e-26 2.42677832975e-09
98.4 7.50558854288e-25 2.43670434628e-09
100.8 4.60966520371e-24 2.44661134771e-09
103.2 -4.59086606268e-25 2.45643190713e-09
105.6 -1.5277197206e-24 2.46633435578e-09
108.0 -9.83900093876e-25 2.47662192861e-09
110.4 -1.14467078221e-26 2.48660223993e-09
112.8 4.55464450581e-25 2.49470712371e-09
115.2 -6.28501823569e-25 2.49933224717e-09
117.6 -2.13324256643e-24 2.50022293513e-09
120.0 8.34972179347e-25 2.49969707712e-09
122.4 6.10531972526e-26 2.50027836194e-09
124.8 1.41849928837e-25 2.50264455584e-09
127.2 2.08480732475e-24 2.5054778995e-09
129.6 1.91268451998e-24 2.50750009909e-09
132.0 1.35213316492e-24 2.50905567827e-09
134.4 -1.5468793984e-25 2.50969042006e-09
136.8 -2.09644284365e-24 2.50802716275e-09
139.2 6.28262925551e-26 2.50162136952e-09
141.6 -9.23514260682e-26 2.48936822969e-09
144.0 -7.42689317848e-26 2.47388634089e-09
146.4 -6.47315698038e-25 2.46073680668e-09
148.8 7.51056635087e-25 2.4558928822e-09
151.2 1.76503840808e-24 2.45925800522e-09
153.6 3.79279183356e-24 2.45806342591e-09
156.0 9.4624843351e-25 2.42941140142e-09
158.4 4.13519816896e-25 2.35571540885e-09
160.8 4.39248446748e-25 2.25240821973e-09
163.2 1.82234055907e-24 2.18767424937e-09
165.6 6.01748881632e-25 2.2624631136e-09
168.0 1.76388492156e-24 2.54440553048e-09
170.4 2.70816410225e-24 2.99070966795e-09
172.8 2.01923208296e-24 3.42957791167e-09
175.2 1.77188889052e-24 3.64255245621e-09
177.6 3.27655717932e-24 3.50889564949e-09
180.0 2.75192742718e-24 3.10237208097e-09
182.4 2.69101700914e-24 2.65347727658e-09
184.8 1.79013583163e-24 2.39624232438e-09
187.2 3.85854975989e-24 2.41758633898e-09
189.6 2.1355199239e-24 2.62226208367e-09
192.0 4.84756015459e-24 2.82936386832e-09
194.4 5.76085132312e-24 2.9171178466e-09
196.8 2.00580974909e-24 2.8951391005e-09
199.2 1.4557183482e-24 2.85825656408e-09
201.6 4.0854980039e-24 2.88474115354e-09
204.0 9.73866296028e-25 2.97436411442e-09
206.4 2.11684485635e-24 3.07805008261e-09
208.8 4.87944220277e-25 3.16983481637e-09
211.2 4.41947803549e-24 3.26704795017e-09
213.6 1.45580307093e-24 3.38984303649e-09
216.0 1.61060990859e-24 3.52516677117e-09
218.4 -9.63895464212e-25 3.64077321352e-09
220.8 2.99957308771e-24 3.71856305149e-09
223.2 3.7750815496e-24 3.75628194602e-09
225.6 -6.51512446103e-25 3.74888847829e-09
228.0 2.97059199834e-24 3.68806290808e-09
230.4 1.29936121424e-24 3.5789977999e-09
232.8 1.53910313545e-24 3.4405163111e-09
235.2 4.45215100124e-24 3.2853641619e-09
237.6 4.41227734533e-24 3.11898098428e-09
240.0 1.89678488977e-24 2.9699505534e-09
242.4 1.30064520829e-27 2.89819009595e-09
244.8 -3.73030254482e-24 2.89138654222e-09
247.2 3.00997783373e-24 2.61485447453e-09
249.6 5.2350954292e-24 1.19579088299e-09
252.0 9.33405292836e-25 -2.10510122424e-09
254.4 2.37010692324e-24 -4.54403213403e-09
256.8 -1.36079522532e-25 6.54923873105e-09
259.2 -6.91939904021e-24 5.45669187713e-08
261.6 -2.94458023534e-23 1.43956959854e-07
264.0 -3.5821917172e-23 1.8458775471e-07
266.4 4.77515774232e-23 -4.96387114107e-08
268.8 2.25064923951e-22 -7.27699911565e-07
271.2 2.53509560101e-22 -1.51638373723e-06
273.6 -2.05867108384e-22 -1.36540582152e-06
276.0 -9.86778010368e-22 9.76640676394e-07
278.4 -1.05875444948e-21 5.52183554468e-06
280.8 8.78016124118e-22 8.65821220393e-06
283.2 4.33894706167e-21 3.31199384128e-06
285.6 4.26663175999e-21 -1.20819019881e-05
288.0 -4.80615041452e-21 -2.38916736121e-05
290.4 -1.27867036052e-20 -1.42785512452e-05
292.8 1.09174713423e-22 1.41408715568e-05
295.2 2.13901070321e-20 3.57489495025e-05
297.6 7.04699249785e-21 2.76937210029e-05
