          57983.0000                17.83                 0.15
           57983.009                17.88                 0.03
           57983.039                17.82                 0.03
           57983.699                17.51                 0.03
         57983.96875                17.58                 0.07
          57983.9813                17.47                 0.01
           57983.989                17.45                 0.01
           57984.699                17.69                 0.04
          57984.9625                17.55                 0.01
         57984.96892                17.73                 0.09
           57984.989                17.66                 0.02
           57985.019                17.76                 0.02
           57985.699                17.78                 0.05
          57985.9728                17.85                 0.01
         57985.97433                17.95                 0.07
           57985.989                17.86                 0.02
        57986.028519                17.94                 0.02
           57986.029                17.93                 0.06
           57986.709                18.13                 0.12
         57986.97426                18.17                 0.07
           57986.989                18.08                 0.03
           57987.049                18.15                 0.06
           57987.709                18.31                 0.06
           57988.729                18.36                 0.05
           57988.729                18.65                 0.19
           57988.999                18.74                 0.04
           57989.699                18.95                 0.32
           57989.699                18.98                 0.08
         57989.98317                19.26                 0.28
           57989.989                19.07                 0.08
         57990.96775                19.64                 0.11
           57990.979                19.69                 0.09
           57991.709                19.32                 0.08
           57991.959                20.57                 0.20
         57991.96940                20.23                 0.10
           57991.979                20.06                 0.14
           57992.969                21.33                 0.30
         57992.97527                21.02                 0.22
           57992.989                20.94                 0.35
        57993.988519                20.35                 0.12
           57993.989                21.16                 0.40
