        57983.718519                17.58                  0.1
            57983.98               17.664                0.064
        57983.988519                17.77                 0.09
        57984.368519                17.98                 0.09
        57984.718519                18.26                 0.12
            57984.96               18.354                0.105
        57984.988519                 18.4                 0.13
        57985.358519                18.62                  0.1
        57985.718519                18.73                 0.11
        57985.978519                18.87                 0.11
        57986.358519                   19                  0.1
        57986.718519                19.23                  0.1
        57986.968519                19.22                  0.1
            57987.01               19.284                0.055
        57987.358519                19.52                 0.13
        57987.718519                19.68                  0.1
        57988.368519                19.99                 0.14
        57988.728519                20.31                 0.11
            57988.98               20.142                0.072
          57989.2344                20.83                 0.09
        57989.368519                20.39                 0.12
        57989.728519                20.89                 0.13
            57990.99               21.133                0.119
            57992.99               22.052                0.289
            57994.00               23.000                0.309
