          57983.0000                17.35                 0.02
        57983.718519                17.81                 0.04
          57983.9640                18.22                 0.08
          57983.9687                18.16                 0.05
          57983.9701                18.13                 0.08
        57983.988519                18.28                 0.04
          57983.9948                18.22                 0.04
          57984.0105                18.14                 0.04
          57984.0118                18.16                 0.06
          57984.0129                18.18                 0.04
          57984.0461                18.25                 0.06
          57984.0471                18.18                 0.10
        57984.358519                18.79                 0.05
        57984.718519                19.25                 0.05
           57984.751                19.06                 0.07
          57984.9714                19.40                 0.11
        57984.978519                19.51                 0.05
          57985.0000                19.51                 0.08
           57985.010                19.33                 0.18
          57985.0164                19.53                 0.12
          57985.0537                19.59                 0.20
           57985.385                19.77                 0.20
           57985.743                19.89                 0.19
          57985.9687                20.54                 0.20
          57985.9893                20.52                 0.12
          57986.0156                20.55                 0.15
          57986.0531                20.68                 0.31
          57987.0000                21.85                 0.22
            57987.02               21.082                0.054
            57989.02               22.361                0.158
            57991.01               23.152                0.256
            57993.01               23.761                0.280
