           57983.011                17.49                 0.04
           57983.382                17.31                 0.04
           57983.733                17.95                 0.04
           57983.968                18.23                 0.04
           57984.357                18.69                 0.05
           57984.758                19.11                 0.06
           57984.761                19.11                 0.06
           57984.988                19.56                 0.07
           57984.992                19.48                 0.07
           57985.016                19.46                 0.06
           57985.019                19.36                 0.05
           57985.377                19.68                 0.05
           57985.381                19.61                 0.05
           57985.405                19.53                 0.07
           57985.408                19.56                 0.08
           57985.746                20.13                 0.13
           57985.750                19.99                 0.06
           57986.992                20.64                 0.09
