          57982.9902                18.26                 0.15
           57983.699                17.64                 0.04
         57983.96875                17.64                 0.08
          57983.9902                17.52                 0.01
  57984.000219907415   17.630000000000006                  0.1
           57984.699                17.52                 0.04
   57984.96775462963                17.71                 0.09
         57984.96892                17.64                 0.08
          57984.9714                17.57                 0.01
           57985.699                17.57                 0.04
         57985.97433                17.72                 0.07
        57986.028519                17.69                 0.02
           57986.029                17.72                 0.04
           57986.709                17.77                 0.04
   57986.97337962963                17.92                  0.1
         57986.97426                18.02                 0.10
           57987.049                18.02                 0.07
           57987.709                17.94                 0.05
           57988.729                18.12                 0.04
           57988.729                18.60                 0.18
           57989.699                18.51                 0.05
           57989.699                18.53                 0.17
   57989.96609953704   18.790000000000006                 0.14
         57989.98317                18.74                 0.06
         57990.96775                19.26                 0.26
            57990.98                19.22                 0.18
           57991.709                18.83                 0.23
           57991.709                18.90                 0.09
           57991.959                19.68                 0.08
         57991.96940                19.66                 0.14
   57991.97770833332                19.62                 0.15
           57992.969                19.63                 0.08
   57992.98133101853   20.040000000000006                 0.15
         57993.01593                20.17                 0.34
           57993.699                19.53                 0.21
         57993.96019                20.05                 0.20
        57993.988519                20.24                 0.18
          57993.9970                19.64                 0.14
        57994.978519                20.57                 0.19
           57994.979                20.99                 0.21
        57995.978519                21.01                 0.14
           57995.979                21.48                 0.30
           57996.999                21.63                 0.36
