           57982.999                18.62                 0.05
           57983.029                18.64                 0.06
          57983.0300                18.41                 0.15
           57983.059                18.42                 0.04
           57983.699                17.91                 0.05
          57983.9810                17.61                 0.04
           57983.989                17.77                 0.02
           57984.699                17.61                 0.04
          57984.9620                17.55                 0.06
           57984.979                17.67                 0.03
           57985.019                17.60                 0.04
           57985.699                17.55                 0.05
           57985.979                17.54                 0.02
        57986.028519                17.62                 0.02
           57986.029                17.61                 0.06
           57986.709                17.57                 0.07
           57986.979                17.60                 0.02
           57987.039                17.72                 0.09
           57987.709                17.68                 0.04
           57988.729                17.69                 0.03
           57988.729                18.01                 0.10
           57988.989                17.84                 0.03
           57989.699                17.95                 0.04
           57989.699                18.02                 0.12
           57989.979                17.95                 0.04
           57990.979                18.25                 0.03
           57991.709                18.25                 0.21
           57991.709                18.34                 0.06
           57991.959                18.50                 0.08
           57991.979                18.49                 0.05
           57992.959                18.77                 0.07
           57992.979                18.74                 0.06
           57993.699                18.64                 0.12
        57993.978519                18.99                 0.05
           57993.979                19.41                 0.09
          57994.9620                19.36                 0.09
           57994.969                19.44                 0.08
        57994.978519                19.46                 0.04
          57994.9850                19.32                 0.09
           57994.989                19.34                 0.08
           57995.959                19.84                 0.09
          57995.9780                19.52                 0.09
          57995.9900                19.43                 0.09
           57996.799                19.35                 0.04
           57996.959                20.06                 0.10
        57996.978519                19.93                 0.03
           57996.989                20.02                 0.13
           57997.799                19.97                 0.05
          57997.9697                20.23                 0.10
        57997.978519                20.06                 0.05
           57997.979                20.43                 0.13
        57998.978519                20.31                 0.08
           57998.979                20.95                 0.18
           57999.979                20.77                 0.13
        58000.008519                20.61                 0.09
          58000.9600                20.81                 0.13
           58000.979                21.04                 0.09
          58000.9900                20.93                 0.17
        58001.988519                20.85                 0.13
           58001.989                21.23                 0.37
           58003.969                21.46                 0.08
           58007.969                22.06                 0.22
