# 1:time 2:flux 3:mass
0 0 0
4.8 0 0
9.6 0 0
14.4 0 0
19.2 0 0
24 0 0
28.8 0 0
33.6 0 0
38.4 0 0
43.2 0 0
48 0 0
52.8 0 0
57.6 0 0
62.4 0 0
67.2 0 0
72 0 0
76.8 0 0
81.6 0 0
86.4 0 0
91.2 0 0
96 0 0
100.8 0 0
105.6 0 0
110.4 0 0
115.2 0 0
120 0 0
124.8 0 0
129.6 0 0
134.4 0 0
139.2 0 0
144 0 0
148.8 0 0
153.6 0 0
158.4 0 0
163.2 0 0
168 0 0
172.8 0 0
177.6 0 0
182.4 0 0
187.2 0 0
192 0 0
196.8 0 0
201.6 0 0
206.4 0 0
211.2 0 0
216 0 0
220.8 0 0
225.6 0 0
230.4 0 0
235.2 0 0
240 0 0
244.8 0 0
249.6 0 0
254.4 0 0
259.2 0 0
264 0 0
268.8 0 0
273.6 0 0
278.4 0 0
283.2 0 0
288 0 0
292.8 0 0
297.6 0 0
302.4 0 0
307.2 0 0
312 0 0
316.8 0 0
321.6 0 0
326.4 0 0
331.2 0 0
336 0 0
340.8 0 0
345.6 0 0
350.4 0 0
355.2 0 0
360 0 0
364.8 0 0
369.6 0 0
374.4 0 0
379.2 0 0
384 0 0
388.8 0 0
393.6 0 0
398.4 0 0
403.2 0 0
408 0 0
412.8 0 0
417.6 0 0
422.4 0 0
427.2 0 0
432 0 0
436.8 0 0
441.6 0 0
446.4 0 0
451.2 0 0
456 0 0
460.8 0 0
465.6 0 0
470.4 0 0
475.2 0 0
480 0 0
484.8 0 0
489.6 0 0
494.4 0 0
499.2 0 0
504 0 0
508.8 0 0
513.6 0 0
518.4 0 0
523.2 0 0
528 0 0
532.8 0 0
537.6 0 0
542.4 0 0
547.2 0 0
552 0 0
556.8 0 0
561.6 0 0
566.4 0 0
571.2 0 0
576 0 0
580.8 0 0
585.6 0 0
590.4 0 0
595.2 0 0
600 0 0
604.8 0 0
609.6 0 0
614.4 0 0
619.2 0 0
624 0 0
628.8 0 0
633.6 0 0
638.4 0 0
643.2 0 0
648 0 0
652.8 0 0
657.6 0 0
662.4 0 0
667.2 0 0
672 0 0
676.8 0 0
681.6 0 0
686.4 0 0
691.2 0 0
696 0 0
700.8 0 0
705.6 0 0
710.4 0 0
715.2 0 0
720 0 0
724.8 0 0
729.6 0 0
734.4 0 0
739.2 0 0
744 0 0
748.8 0 0
753.6 0 0
758.4 0 0
763.2 0 0
768 0 0
772.8 0 0
777.6 0 0
782.4 0 0
787.2 0 0
792 0 0
796.8 0 0
801.6 0 0
806.4 0 0
811.2 0 0
816 0 0
820.8 0 0
825.6 0 0
830.4 0 0
835.2 0 0
840 0 0
844.8 0 0
849.6 0 0
854.4 0 0
859.2 0 0
864 0 0
868.8 0 0
873.6 0 0
878.4 0 0
883.2 0 0
888 0 0
892.8 0 0
897.6 0 0
902.4 0 0
907.2 0 0
912 0 0
916.8 0 0
921.6 1.58266e-12 7.59675e-12
926.4 9.62758e-12 5.38091e-11
931.2 2.40652e-11 1.69322e-10
936 4.79283e-11 3.99378e-10
940.8 7.46324e-11 7.57613e-10
945.6 9.70583e-11 1.22349e-09
950.4 1.26799e-10 1.83213e-09
955.2 1.57041e-10 2.58593e-09
960 1.93099e-10 3.5128e-09
964.8 2.17898e-10 4.55871e-09
969.6 2.55027e-10 5.78284e-09
974.4 2.84237e-10 7.14718e-09
979.2 3.14254e-10 8.6556e-09
984 3.55137e-10 1.03603e-08
988.8 3.88198e-10 1.22236e-08
993.6 4.33602e-10 1.43049e-08
998.4 4.68745e-10 1.65549e-08
1003.2 4.89854e-10 1.89062e-08
1008 5.06404e-10 2.13369e-08
1012.8 5.33181e-10 2.38962e-08
1017.6 5.67429e-10 2.66198e-08
1022.4 5.88834e-10 2.94462e-08
1027.2 6.01584e-10 3.23338e-08
1032 6.11686e-10 3.52699e-08
1036.8 6.20818e-10 3.82499e-08
1041.6 6.42186e-10 4.13324e-08
1046.4 6.55037e-10 4.44765e-08
1051.2 6.63916e-10 4.76633e-08
1056 6.70158e-10 5.08801e-08
1060.8 6.7176e-10 5.41045e-08
1065.6 6.64736e-10 5.72953e-08
1070.4 6.6064e-10 6.04663e-08
1075.2 6.68116e-10 6.36733e-08
1080 6.63567e-10 6.68584e-08
1084.8 6.53935e-10 6.99973e-08
1089.6 6.40985e-10 7.3074e-08
1094.4 6.31262e-10 7.61041e-08
1099.2 6.20944e-10 7.90846e-08
1104 6.05673e-10 8.19918e-08
1108.8 5.85411e-10 8.48018e-08
1113.6 5.75054e-10 8.75621e-08
1118.4 5.51309e-10 9.02084e-08
1123.2 5.40014e-10 9.28004e-08
1128 5.25454e-10 9.53226e-08
1132.8 5.10547e-10 9.77732e-08
1137.6 4.97181e-10 1.0016e-07
1142.4 4.86937e-10 1.02497e-07
1147.2 4.74374e-10 1.04774e-07
1152 4.58607e-10 1.06975e-07
1156.8 4.42025e-10 1.09097e-07
1161.6 4.19485e-10 1.11111e-07
1166.4 4.10804e-10 1.13082e-07
1171.2 3.9876e-10 1.14996e-07
1176 3.90952e-10 1.16873e-07
1180.8 3.83752e-10 1.18715e-07
1185.6 3.72548e-10 1.20503e-07
1190.4 3.6602e-10 1.2226e-07
1195.2 3.55874e-10 1.23968e-07
1200 3.45648e-10 1.25627e-07
1204.8 3.41064e-10 1.27265e-07
1209.6 3.34914e-10 1.28872e-07
1214.4 3.32262e-10 1.30467e-07
1219.2 3.31099e-10 1.32056e-07
1224 3.31858e-10 1.33649e-07
1228.8 3.4173e-10 1.3529e-07
1233.6 3.48885e-10 1.36964e-07
1238.4 3.58582e-10 1.38685e-07
1243.2 3.7035e-10 1.40463e-07
1248 3.93476e-10 1.42352e-07
1252.8 4.09125e-10 1.44316e-07
1257.6 4.27685e-10 1.46368e-07
1262.4 4.61668e-10 1.48584e-07
1267.2 4.89365e-10 1.50933e-07
1272 5.11862e-10 1.5339e-07
1276.8 5.38473e-10 1.55975e-07
1281.6 5.66108e-10 1.58692e-07
1286.4 6.11611e-10 1.61628e-07
1291.2 6.38877e-10 1.64695e-07
1296 6.73366e-10 1.67927e-07
1300.8 7.02787e-10 1.713e-07
1305.6 7.31987e-10 1.74814e-07
1310.4 7.6573e-10 1.78489e-07
1315.2 7.94178e-10 1.82301e-07
1320 8.34117e-10 1.86305e-07
1324.8 8.73641e-10 1.90499e-07
1329.6 9.15331e-10 1.94892e-07
1334.4 9.47223e-10 1.99439e-07
1339.2 9.75418e-10 2.04121e-07
1344 1.01563e-09 2.08996e-07
1348.8 1.05913e-09 2.1408e-07
1353.6 1.09475e-09 2.19334e-07
1358.4 1.13478e-09 2.24781e-07
1363.2 1.1843e-09 2.30466e-07
1368 1.21836e-09 2.36314e-07
1372.8 1.27776e-09 2.42447e-07
1377.6 1.32702e-09 2.48817e-07
1382.4 1.3751e-09 2.55418e-07
1387.2 1.42299e-09 2.62248e-07
1392 1.45878e-09 2.6925e-07
1396.8 1.50386e-09 2.76469e-07
1401.6 1.5475e-09 2.83897e-07
1406.4 1.57697e-09 2.91466e-07
1411.2 1.61611e-09 2.99223e-07
1416 1.65351e-09 3.0716e-07
1420.8 1.67982e-09 3.15223e-07
1425.6 1.71234e-09 3.23443e-07
1430.4 1.74423e-09 3.31815e-07
1435.2 1.76229e-09 3.40274e-07
1440 1.78095e-09 3.48823e-07
1444.8 1.80602e-09 3.57491e-07
1449.6 1.82365e-09 3.66245e-07
1454.4 1.8444e-09 3.75098e-07
1459.2 1.85705e-09 3.84012e-07
1464 1.87258e-09 3.93e-07
1468.8 1.88222e-09 4.02035e-07
1473.6 1.89313e-09 4.11122e-07
1478.4 1.90451e-09 4.20264e-07
1483.2 1.9196e-09 4.29478e-07
1488 1.92665e-09 4.38725e-07
1492.8 1.93984e-09 4.48037e-07
1497.6 1.94893e-09 4.57392e-07
1502.4 1.95675e-09 4.66784e-07
1507.2 1.96338e-09 4.76208e-07
1512 1.97037e-09 4.85666e-07
1516.8 1.97098e-09 4.95127e-07
1521.6 1.97744e-09 5.04618e-07
1526.4 1.97933e-09 5.14119e-07
1531.2 1.98078e-09 5.23627e-07
1536 1.98672e-09 5.33163e-07
1540.8 1.98485e-09 5.42691e-07
1545.6 1.98713e-09 5.52229e-07
1550.4 1.98582e-09 5.61761e-07
1555.2 1.98182e-09 5.71273e-07
1560 1.97949e-09 5.80775e-07
1564.8 1.97606e-09 5.9026e-07
1569.6 1.97449e-09 5.99738e-07
1574.4 1.96699e-09 6.09179e-07
1579.2 1.95659e-09 6.18571e-07
1584 1.95144e-09 6.27938e-07
1588.8 1.94723e-09 6.37284e-07
1593.6 1.94281e-09 6.4661e-07
1598.4 1.94488e-09 6.55945e-07
1603.2 1.94365e-09 6.65275e-07
1608 1.94387e-09 6.74606e-07
1612.8 1.93639e-09 6.839e-07
1617.6 1.93745e-09 6.932e-07
1622.4 1.92885e-09 7.02458e-07
1627.2 1.92282e-09 7.11688e-07
1632 1.90698e-09 7.20841e-07
1636.8 1.89989e-09 7.29961e-07
1641.6 1.89664e-09 7.39065e-07
1646.4 1.88638e-09 7.48119e-07
1651.2 1.88113e-09 7.57149e-07
1656 1.87055e-09 7.66127e-07
1660.8 1.85887e-09 7.7505e-07
1665.6 1.84593e-09 7.83911e-07
1670.4 1.84155e-09 7.9275e-07
