# 1:theta 2:M 3:vel 4:ye
0.0320570678938 1.93430087883e-07 0.164228615349 0.284447824631
0.0961712036813 6.13658890515e-07 0.160104316412 0.280525407417
0.160285339469 1.05619197171e-06 0.158785140315 0.27526288353
0.224399475256 1.49359491648e-06 0.159930559525 0.269625963536
0.288513611044 1.94322392682e-06 0.165818340577 0.262658144212
0.352627746832 2.55823948133e-06 0.165700758714 0.253379486776
0.416741882619 3.17943881878e-06 0.161959878106 0.251414529455
0.480856018407 3.87822034863e-06 0.156026689466 0.243636764152
0.544970154194 4.56495971392e-06 0.154424773084 0.239325339862
0.609084289982 5.38726064201e-06 0.145604949354 0.231663362198
0.673198425769 5.98617817371e-06 0.140755431177 0.220796719147
0.737312561557 6.51019455768e-06 0.143916192371 0.213610475969
0.801426697344 1.48969860425e-05 0.146742845162 0.203218021923
0.865540833132 8.53239981327e-06 0.149784477971 0.194330604606
0.929654968919 9.31240697048e-06 0.150058968057 0.189662998805
0.993769104707 9.79548152361e-06 0.1525288549 0.185547995523
1.05788324049 1.07072771504e-05 0.15436285036 0.175669505405
1.12199737628 1.14373814042e-05 0.150437735159 0.167855705406
1.18611151207 1.19705783332e-05 0.145998918051 0.159690084451
1.25022564786 1.25336416852e-05 0.149058868798 0.153367663752
1.31433978364 1.35385057789e-05 0.150084949189 0.149734708669
1.37845391943 1.47370057978e-05 0.144314322784 0.144412635358
1.44256805522 1.43134470403e-05 0.146274152272 0.137556817584
1.50668219101 1.45028522502e-05 0.146849784467 0.130961827194
1.57079632679 1.50982513013e-05 0.146657954314 0.123641705728
1.63491046258 1.45028522502e-05 0.146849784467 0.130961827194
1.69902459837 1.43134470403e-05 0.146274152272 0.137556817584
1.76313873416 1.47370057978e-05 0.144314322784 0.144412635358
1.82725286995 1.35385057789e-05 0.150084949189 0.149734708669
1.89136700573 1.25336416852e-05 0.149058868798 0.153367663752
1.95548114152 1.19705783332e-05 0.145998918051 0.159690084451
2.01959527731 1.14373814042e-05 0.150437735159 0.167855705406
2.0837094131 1.07072771504e-05 0.15436285036 0.175669505405
2.14782354888 9.79548152361e-06 0.1525288549 0.185547995523
2.21193768467 9.31240697048e-06 0.150058968057 0.189662998805
2.27605182046 8.53239981327e-06 0.149784477971 0.194330604606
2.34016595625 1.48969860425e-05 0.146742845162 0.203218021923
2.40428009203 6.51019455768e-06 0.143916192371 0.213610475969
2.46839422782 5.98617817371e-06 0.140755431177 0.220796719147
2.53250836361 5.38726064201e-06 0.145604949354 0.231663362198
2.5966224994 4.56495971392e-06 0.154424773084 0.239325339862
2.66073663518 3.87822034863e-06 0.156026689466 0.243636764152
2.72485077097 3.17943881878e-06 0.161959878106 0.251414529455
2.78896490676 2.55823948133e-06 0.165700758714 0.253379486776
2.85307904255 1.94322392682e-06 0.165818340577 0.262658144212
2.91719317833 1.49359491648e-06 0.159930559525 0.269625963536
2.98130731412 1.05619197171e-06 0.158785140315 0.27526288353
3.04542144991 6.13658890515e-07 0.160104316412 0.280525407417
3.1095355857 1.93430087883e-07 0.164228615349 0.284447824631
