# 1:time 2:flux 3:mass
2044.8 1.02883e-09 2.20946e-07
2049.6 1.03733e-09 2.25925e-07
2054.4 1.04886e-09 2.3096e-07
2059.2 1.06897e-09 2.36091e-07
2064 1.08167e-09 2.41283e-07
2068.8 1.10622e-09 2.46593e-07
2073.6 1.11934e-09 2.51966e-07
2078.4 1.12711e-09 2.57376e-07
2083.2 1.13824e-09 2.62839e-07
2088 1.16035e-09 2.68409e-07
2092.8 1.17198e-09 2.74034e-07
2097.6 1.18823e-09 2.79738e-07
2102.4 1.19807e-09 2.85489e-07
2107.2 1.22562e-09 2.91372e-07
2112 1.23808e-09 2.97314e-07
2116.8 1.25594e-09 3.03343e-07
2121.6 1.28331e-09 3.09503e-07
2126.4 1.29689e-09 3.15728e-07
2131.2 1.30992e-09 3.22016e-07
2136 1.32835e-09 3.28392e-07
2140.8 1.33763e-09 3.34812e-07
2145.6 1.35292e-09 3.41306e-07
2150.4 1.36643e-09 3.47865e-07
2155.2 1.37327e-09 3.54457e-07
2160 1.38504e-09 3.61105e-07
2164.8 1.40372e-09 3.67843e-07
2169.6 1.41552e-09 3.74637e-07
2174.4 1.42646e-09 3.81484e-07
2179.2 1.43667e-09 3.8838e-07
2184 1.4548e-09 3.95363e-07
2188.8 1.47106e-09 4.02424e-07
2193.6 1.48479e-09 4.09551e-07
2198.4 1.50167e-09 4.16759e-07
2203.2 1.52286e-09 4.24069e-07
2208 1.53931e-09 4.31458e-07
2212.8 1.55667e-09 4.3893e-07
2217.6 1.5793e-09 4.4651e-07
2222.4 1.60352e-09 4.54207e-07
2227.2 1.61101e-09 4.6194e-07
2232 1.63029e-09 4.69766e-07
2236.8 1.64692e-09 4.77671e-07
2241.6 1.67144e-09 4.85694e-07
2246.4 1.69209e-09 4.93816e-07
2251.2 1.71486e-09 5.02047e-07
2256 1.7288e-09 5.10345e-07
2260.8 1.74483e-09 5.18721e-07
2265.6 1.76796e-09 5.27207e-07
2270.4 1.7891e-09 5.35794e-07
2275.2 1.80475e-09 5.44457e-07
2280 1.82929e-09 5.53238e-07
2284.8 1.85488e-09 5.62141e-07
2289.6 1.87355e-09 5.71134e-07
2294.4 1.89781e-09 5.80244e-07
2299.2 1.91563e-09 5.89439e-07
2304 1.93851e-09 5.98744e-07
2308.8 1.96156e-09 6.08159e-07
2313.6 1.98696e-09 6.17697e-07
2318.4 2.01461e-09 6.27367e-07
2323.2 2.02778e-09 6.371e-07
2328 2.04605e-09 6.46921e-07
2332.8 2.05406e-09 6.56781e-07
2337.6 2.06207e-09 6.66679e-07
2342.4 2.07423e-09 6.76635e-07
2347.2 2.07966e-09 6.86617e-07
2352 2.08728e-09 6.96636e-07
2356.8 2.09911e-09 7.06712e-07
2361.6 2.11262e-09 7.16852e-07
2366.4 2.12235e-09 7.2704e-07
2371.2 2.13539e-09 7.3729e-07
2376 2.15581e-09 7.47638e-07
2380.8 2.17881e-09 7.58096e-07
2385.6 2.1979e-09 7.68646e-07
2390.4 2.20499e-09 7.7923e-07
2395.2 2.21687e-09 7.89871e-07
2400 2.23374e-09 8.00593e-07
2404.8 2.24792e-09 8.11383e-07
2409.6 2.26214e-09 8.22241e-07
2414.4 2.28272e-09 8.33198e-07
2419.2 2.29881e-09 8.44232e-07
2424 2.31331e-09 8.55336e-07
2428.8 2.33641e-09 8.66551e-07
2433.6 2.36696e-09 8.77912e-07
2438.4 2.38784e-09 8.89374e-07
2443.2 2.40644e-09 9.00925e-07
2448 2.4231e-09 9.12556e-07
2452.8 2.43995e-09 9.24268e-07
2457.6 2.45047e-09 9.3603e-07
2462.4 2.45875e-09 9.47832e-07
2467.2 2.47407e-09 9.59707e-07
2472 2.48065e-09 9.71614e-07
2476.8 2.49627e-09 9.83597e-07
2481.6 2.50556e-09 9.95623e-07
2486.4 2.5245e-09 1.00774e-06
2491.2 2.54124e-09 1.01994e-06
2496 2.57886e-09 1.03232e-06
2500.8 2.60674e-09 1.04483e-06
2505.6 2.64337e-09 1.05752e-06
2510.4 2.68987e-09 1.07043e-06
2515.2 2.74083e-09 1.08359e-06
2520 2.82557e-09 1.09715e-06
2524.8 2.91353e-09 1.11113e-06
2529.6 3.01946e-09 1.12563e-06
2534.4 3.15674e-09 1.14078e-06
2539.2 3.31921e-09 1.15671e-06
2544 3.50728e-09 1.17355e-06
2548.8 3.73032e-09 1.19145e-06
2553.6 3.96829e-09 1.2105e-06
2558.4 4.23775e-09 1.23084e-06
2563.2 4.56371e-09 1.25275e-06
2568 5.04464e-09 1.27696e-06
2572.8 5.99034e-09 1.30571e-06
2577.6 7.51212e-09 1.34177e-06
2582.4 9.34094e-09 1.38661e-06
2587.2 1.12323e-08 1.44052e-06
2592 1.31382e-08 1.50359e-06
2596.8 1.50747e-08 1.57595e-06
2601.6 1.71844e-08 1.65843e-06
2606.4 1.95787e-08 1.75241e-06
2611.2 2.20676e-08 1.85833e-06
