# 1:time 2:mass 3:einf>=0
4.8 0.0 0.0
9.6 -6.9135674e-12 0.0
14.4 -2.0710959e-11 0.0
19.2 -3.6388901e-11 0.0
24.0 -3.9598484e-11 0.0
28.8 -4.3842769e-11 0.0
33.6 -4.820044e-11 0.0
38.4 -5.3447367e-11 0.0
43.2 -5.9817501e-11 0.0
48.0 -6.8195617e-11 0.0
52.8 -7.8303235e-11 0.0
57.6 -8.8960445e-11 0.0
62.4 -1.0039252e-10 0.0
67.2 -1.1371564e-10 0.0
72.0 -1.2886108e-10 0.0
76.8 -1.447846e-10 0.0
81.6 -1.6050756e-10 0.0
86.4 -1.7470476e-10 0.0
91.2 -1.9097119e-10 0.0
96.0 -2.0991746e-10 0.0
100.8 -2.3169308e-10 0.0
105.6 -2.5577607e-10 0.0
110.4 -2.8063109e-10 0.0
115.2 -3.0543094e-10 0.0
120.0 -3.2880754e-10 0.0
124.8 -3.5236064e-10 0.0
129.6 -3.7606833e-10 0.0
134.4 -3.9836762e-10 0.0
139.2 -4.2248645e-10 0.0
144.0 -4.5072298e-10 0.0
148.8 -4.8326355e-10 0.0
153.6 -5.1959584e-10 0.0
158.4 -5.5921306e-10 0.0
163.2 -5.9993366e-10 0.0
168.0 -6.4183801e-10 0.0
172.8 -6.8591779e-10 0.0
177.6 -7.3172125e-10 0.0
182.4 -7.7730171e-10 0.0
187.2 -8.191564e-10 0.0
192.0 -8.5723593e-10 0.0
196.8 -8.9518884e-10 0.0
201.6 -9.3314986e-10 0.0
206.4 -9.7157898e-10 0.0
211.2 -1.0109273e-09 0.0
216.0 -1.0524939e-09 0.0
220.8 -1.0970141e-09 0.0
225.6 -1.1450069e-09 0.0
230.4 -1.1964081e-09 0.0
235.2 -1.2507013e-09 0.0
240.0 -1.3074769e-09 0.0
244.8 -1.3668213e-09 0.0
249.6 -1.4280264e-09 0.0
254.4 -1.49132e-09 0.0
259.2 -1.5569083e-09 0.0
264.0 -1.6255625e-09 0.0
268.8 -1.6959133e-09 0.0
273.6 -1.7643037e-09 0.0
278.4 -1.8267557e-09 0.0
283.2 -1.8828607e-09 0.0
288.0 -1.9352382e-09 0.0
292.8 -1.9873348e-09 0.0
297.6 -2.0398582e-09 0.0
302.4 -2.0940919e-09 0.0
307.2 -2.1495112e-09 0.0
312.0 -2.2061295e-09 0.0
316.8 -2.2637483e-09 0.0
321.6 -2.3213403e-09 0.0
326.4 -2.3802584e-09 0.0
331.2 -2.44072e-09 0.0
336.0 -2.5023274e-09 0.0
340.8 -2.5661428e-09 0.0
345.6 -2.6348702e-09 0.0
350.4 -2.7095731e-09 0.0
355.2 -2.7910044e-09 0.0
360.0 -2.8797211e-09 0.0
364.8 -2.9757401e-09 0.0
369.6 -3.0782742e-09 0.0
374.4 -3.1863202e-09 0.0
379.2 -3.2993304e-09 0.0
384.0 -3.4154736e-09 0.0
388.8 -3.5335262e-09 0.0
393.6 -3.653287e-09 0.0
398.4 -3.776669e-09 0.0
403.2 -3.9039056e-09 0.0
408.0 -4.0346385e-09 0.0
412.8 -4.1667981e-09 0.0
417.6 -4.2999838e-09 0.0
422.4 -4.4319582e-09 0.0
427.2 -4.5603415e-09 0.0
432.0 -4.6850311e-09 0.0
436.8 -4.8071082e-09 0.0
441.6 -4.9284375e-09 0.0
446.4 -5.0516461e-09 0.0
451.2 -5.1772555e-09 0.0
456.0 -5.3043208e-09 0.0
460.8 -5.4328465e-09 0.0
465.6 -5.5622495e-09 0.0
470.4 -5.6917522e-09 0.0
475.2 -5.8213199e-09 0.0
480.0 -5.9488601e-09 0.0
484.8 -6.0737592e-09 0.0
489.6 -6.1968071e-09 0.0
494.4 -6.3164603e-09 0.0
499.2 -6.432854e-09 0.0
504.0 -6.5463099e-09 0.0
508.8 -6.6563435e-09 0.0
513.6 -6.7616294e-09 0.0
518.4 -6.8661065e-09 0.0
523.2 -6.9689374e-09 0.0
528.0 -7.0694236e-09 0.0
532.8 -7.167162e-09 0.0
537.6 -7.265043e-09 0.0
542.4 -7.3647234e-09 0.0
547.2 -7.4665457e-09 0.0
552.0 -7.5689132e-09 0.0
556.8 -7.6720493e-09 0.0
561.6 -7.7750202e-09 0.0
566.4 -7.8772994e-09 0.0
571.2 -7.9785286e-09 0.0
576.0 -8.0788472e-09 0.0
580.8 -8.1761835e-09 0.0
585.6 -8.2711694e-09 0.0
590.4 -8.3633701e-09 0.0
595.2 -8.4525919e-09 0.0
600.0 -8.5386359e-09 0.0
604.8 -8.6225296e-09 0.0
609.6 -8.7050055e-09 0.0
614.4 -8.7863956e-09 0.0
619.2 -8.8669379e-09 0.0
624.0 -8.9480689e-09 0.0
628.8 -9.0292212e-09 0.0
633.6 -9.1108516e-09 0.0
638.4 -9.1927043e-09 0.0
643.2 -9.2723191e-09 0.0
648.0 -9.3513886e-09 0.0
652.8 -9.4304904e-09 0.0
657.6 -9.5097251e-09 0.0
662.4 -9.5899467e-09 0.0
667.2 -9.6717846e-09 0.0
672.0 -9.7549938e-09 0.0
676.8 -9.8406935e-09 0.0
681.6 -9.9282343e-09 0.0
686.4 -1.0016954e-08 0.0
691.2 -1.0107473e-08 0.0
696.0 -1.0199137e-08 0.0
700.8 -1.0290494e-08 0.0
705.6 -1.0380417e-08 0.0
710.4 -1.0469129e-08 0.0
715.2 -1.0557219e-08 0.0
720.0 -1.0645262e-08 0.0
724.8 -1.0733657e-08 0.0
729.6 -1.0822813e-08 0.0
734.4 -1.091308e-08 0.0
739.2 -1.1004989e-08 0.0
744.0 -1.1099009e-08 0.0
748.8 -1.1193502e-08 0.0
753.6 -1.1287196e-08 0.0
758.4 -1.1378852e-08 0.0
763.2 -1.1468448e-08 0.0
768.0 -1.1555924e-08 0.0
772.8 -1.1640047e-08 0.0
777.6 -1.172151e-08 0.0
782.4 -1.1801636e-08 0.0
787.2 -1.1881709e-08 0.0
792.0 -1.196251e-08 0.0
796.8 -1.2045113e-08 0.0
801.6 -1.2129283e-08 0.0
806.4 -1.2214797e-08 0.0
811.2 -1.2301641e-08 0.0
816.0 -1.2390272e-08 0.0
820.8 -1.248036e-08 0.0
825.6 -1.2572599e-08 0.0
830.4 -1.2666184e-08 0.0
835.2 -1.2760206e-08 0.0
840.0 -1.2854424e-08 0.0
844.8 -1.2948382e-08 0.0
849.6 -1.3042513e-08 0.0
854.4 -1.3136345e-08 0.0
859.2 -1.3229946e-08 0.0
864.0 -1.3322697e-08 0.0
868.8 -1.3414593e-08 0.0
873.6 -1.3505703e-08 0.0
878.4 -1.3595151e-08 0.0
883.2 -1.368335e-08 0.0
888.0 -1.3768919e-08 0.0
892.8 -1.3851311e-08 0.0
897.6 -1.3930211e-08 0.0
902.4 -1.4006074e-08 0.0
907.2 -1.4080972e-08 0.0
912.0 -1.4156691e-08 0.0
916.8 -1.4235154e-08 0.0
921.6 -1.4316444e-08 0.0
926.4 -1.4401457e-08 0.0
931.2 -1.4489755e-08 0.0
936.0 -1.4581342e-08 0.0
940.8 -1.4675471e-08 0.0
945.6 -1.4771639e-08 0.0
950.4 -1.4869689e-08 0.0
955.2 -1.4969464e-08 0.0
