# 1:time 2:mass 3:einf>=0
4.8 0.0 0.0
9.6 -3.7157898e-12 0.0
14.4 -6.2974114e-12 0.0
19.2 -9.7332603e-12 0.0
24.0 -1.4139503e-11 0.0
28.8 -1.9292124e-11 0.0
33.6 -2.6828753e-11 0.0
38.4 -3.3232134e-11 0.0
43.2 -4.0464438e-11 0.0
48.0 -5.0954842e-11 0.0
52.8 -6.3527184e-11 0.0
57.6 -7.3067632e-11 0.0
62.4 -8.3252354e-11 0.0
67.2 -9.6835268e-11 0.0
72.0 -1.1446521e-10 0.0
76.8 -1.3278833e-10 0.0
81.6 -1.4762813e-10 0.0
86.4 -1.6263105e-10 0.0
91.2 -1.7906099e-10 0.0
96.0 -1.9980893e-10 0.0
100.8 -2.2472139e-10 0.0
105.6 -2.4906627e-10 0.0
110.4 -2.737986e-10 0.0
115.2 -2.9850763e-10 0.0
120.0 -3.2409483e-10 0.0
124.8 -3.5231105e-10 0.0
129.6 -3.8255505e-10 0.0
134.4 -4.1641362e-10 0.0
139.2 -4.5218983e-10 0.0
144.0 -4.8999812e-10 0.0
148.8 -5.3138058e-10 0.0
153.6 -5.7251456e-10 0.0
158.4 -6.0749472e-10 0.0
163.2 -6.3592015e-10 0.0
168.0 -6.6259087e-10 0.0
172.8 -6.9014691e-10 0.0
177.6 -7.2015125e-10 0.0
182.4 -7.5406507e-10 0.0
187.2 -7.9123346e-10 0.0
192.0 -8.3291836e-10 0.0
196.8 -8.7888655e-10 0.0
201.6 -9.2742085e-10 0.0
206.4 -9.7515329e-10 0.0
211.2 -1.0201983e-09 0.0
216.0 -1.0615289e-09 0.0
220.8 -1.0989614e-09 0.0
225.6 -1.1352173e-09 0.0
230.4 -1.1697302e-09 0.0
235.2 -1.2033514e-09 0.0
240.0 -1.2386953e-09 0.0
244.8 -1.2766362e-09 0.0
249.6 -1.318801e-09 0.0
254.4 -1.3659662e-09 0.0
259.2 -1.4187139e-09 0.0
264.0 -1.4785554e-09 0.0
268.8 -1.5453151e-09 0.0
273.6 -1.6170911e-09 0.0
278.4 -1.6874168e-09 0.0
283.2 -1.7555395e-09 0.0
288.0 -1.8209638e-09 0.0
292.8 -1.8800732e-09 0.0
297.6 -1.9332391e-09 0.0
302.4 -1.9855644e-09 0.0
307.2 -2.0367357e-09 0.0
312.0 -2.0871648e-09 0.0
316.8 -2.1395809e-09 0.0
321.6 -2.1960511e-09 0.0
326.4 -2.2581045e-09 0.0
331.2 -2.3262143e-09 0.0
336.0 -2.4000033e-09 0.0
340.8 -2.4788575e-09 0.0
345.6 -2.5619537e-09 0.0
350.4 -2.6495656e-09 0.0
355.2 -2.7393874e-09 0.0
360.0 -2.8330091e-09 0.0
364.8 -2.9304578e-09 0.0
369.6 -3.030595e-09 0.0
374.4 -3.131894e-09 0.0
379.2 -3.2341224e-09 0.0
384.0 -3.3364076e-09 0.0
388.8 -3.4381987e-09 0.0
393.6 -3.538574e-09 0.0
398.4 -3.6381924e-09 0.0
403.2 -3.7376011e-09 0.0
408.0 -3.8372836e-09 0.0
412.8 -3.9362188e-09 0.0
417.6 -4.0340029e-09 0.0
422.4 -4.1292791e-09 0.0
427.2 -4.2225848e-09 0.0
432.0 -4.3156536e-09 0.0
436.8 -4.4094565e-09 0.0
441.6 -4.5031522e-09 0.0
446.4 -4.5962854e-09 0.0
451.2 -4.6866173e-09 0.0
456.0 -4.7763493e-09 0.0
460.8 -4.8677644e-09 0.0
465.6 -4.9599612e-09 0.0
470.4 -5.052648e-09 0.0
475.2 -5.1459863e-09 0.0
