                time                   J                  Ks                   I                   V                   i                   U                   K                   r                   R                   g                   z                   B                   H
       12510.7777243       18.5911882588       19.5069392502       18.0897424073        17.845606393       18.0532204606       17.9609584451       19.5396814349       17.8968472616       17.9269093873       17.8317941034       18.1427065602       17.8439355292       19.0348832084
       12550.3939541       18.5887195554       19.5038895097        18.088031263        17.845014115        18.051602613       17.9622874523       19.5366185133       17.8958270437       17.9257319536       17.8317934754       18.1408758195       17.8442285815       19.0320694762
       12590.1356313       18.5862586737       19.5008459053       18.0863302549       17.8444355432       18.0499951932       17.9636366143       19.5335616907       17.8948191488       17.9245663401       17.8318084988        18.139054843       17.8445382644       19.0292625526
       12630.0031533       18.5838024978       19.4978058784       18.0846354319       17.8438652669       18.0483941386        17.964997459       19.5305084205       17.8938187555       17.9234079323       17.8318328883       18.1372398199       17.8448578345       19.0264596611
       12669.9969185       18.5813585646       19.4947758308        18.082955678       17.8433138832       18.0468084886       17.9663828455       19.5274650778       17.8928358439       17.9222664719       17.8318780216       18.1354394316       17.8451990273       19.0236676746
       12710.1173266       18.5789220333       19.4917514722       18.0812856788       17.8427758857       18.0452328896       17.9677881927       19.5244273864       17.8918649109       17.9211364785       17.8319385219       18.1336484197       17.8455565849       19.0208820606
       12750.3647788       18.5764893149       19.4887300388       18.0796206834       17.8422446303       18.0436624412       17.9692031668       19.5213926008       17.8909000611       17.9200123243        17.832006663       18.1318622236        17.845922225       19.0180997265
       12790.7396773       18.5740624389       19.4857124787       18.0779641827       17.8417258704       18.0421008182       17.9706376591       19.5183616448       17.8899461683       17.9188985642       17.8320894416       18.1300840993       17.8463035725       19.0153220557
       12831.2424256        18.571644052       19.4827016818       18.0763185198       17.8412215298       18.0405503272       17.9720929496       19.5153374141       17.8890053124        17.917797337       17.8321885736       18.1283164369       17.8467022433       19.0125518383
       12871.8734286       18.5692287065       19.4796929085       18.0746772347        17.840723465       18.0390043765       17.9735575306       19.5123151843       17.8880700201       17.9167014073       17.8322949388        18.126552943       17.8471086115       19.0097840539
       12912.6330925       18.5668230362        19.476692122        18.073047869       17.8402406291       18.0374706221       17.9750429596       19.5093009039       17.8871486947       17.9156189796       17.8324182692       18.1248010135       17.8475328042       19.0070249355
       12953.5218247       18.5644282523       19.4736998427       18.0714324691       17.8397761648       18.0359512082       17.9765539331       19.5062950768       17.8862440784        17.914552643        17.832562226       18.1230625679       17.8479787253       19.0042752892
       12994.5400337       18.5620383591       19.4707113535       18.0698234044       17.8393200941       18.0344383052       17.9780765985       19.5032930153       17.8853470819       17.9134936377       17.8327156194       18.1213302311       17.8484345906       19.0015298759
       13035.6881298       18.5596542902       19.4677267726       18.0682227626       17.8388763969       18.0329341503       17.9796186472       19.5002948199       17.8844609355       17.9124449266       17.8328835152       18.1196059019       17.8489060245        18.998789138
       13076.9665241       18.5572773092       19.4647476537       18.0666314409       17.8384454546       18.0314395964       17.9811796362       19.4973020509       17.8835862145       17.9114071571       17.8330660332       18.1178905343       17.8493930202       18.9960545105
       13118.3756292       18.5549043535       19.4617715075       18.0650455242       17.8380218743       18.0299506152       17.9827510988       19.4943122313       17.8827181212        17.910375741       17.8332569002       18.1161803558       17.8498888438       18.9933232793
       13159.9158591       18.5525400324        19.458802298       18.0634705605       17.8376127879       18.0284728778       17.9843433573       19.4913293108        17.881863155       17.9093569535       17.8334641736       18.1144807589       17.8504020324       18.9905996628
        13201.587629       18.5501852588       19.4558405285       18.0619079349       17.8372201514       18.0270078226       17.9859590513       19.4883537835       17.8810230706       17.9083524702       17.8336900552       18.1127930589       17.8509348973       18.9878843355
       13243.3913553       18.5478376765       19.4528844609       18.0603543286       17.8368389005       18.0255519999       17.9875893411       19.4853839239       17.8801935154       17.9073581864        17.833928413       18.1111141009       17.8514807429       18.9851753207
        13285.327456        18.545496543       19.4499329245       18.0588097903        17.836470735       18.0241055742       17.9892399315       19.4824185532       17.8793754918       17.9063748685       17.8341820368        18.109443791       17.8520429507        18.982471603
       13327.3963502       18.5431625069       19.4469866378       18.0572748414       17.8361159105       18.0226690484       17.9909104255       19.4794583914       17.8785693678       17.9054029226       17.8344510058       18.1077826733       17.8526215037       18.9797738757
       13369.5984585       18.5408333038       19.4440440491       18.0557462272       17.8357695832       18.0212390409       17.9925929363       19.4765019025       17.8777709249       17.9044383543       17.8347295783       18.1061276542       17.8532102007       18.9770803022
       13411.9342026       18.5385126814        19.441108314       18.0542285705       17.8354378815       18.0198202906       17.9942966937       19.4735522293       17.8769856865       17.9034864739       17.8350247744       18.1044832105       17.8538165269       18.9743942704
       13454.4040057       18.5361989312         19.43817783       18.0527200118       17.8351186956       18.0184109181       17.9960190963       19.4706077719        17.876211642       17.9025453062       17.8353343402       18.1028475075       17.8544381541       18.9717141359
       13497.0082923       18.5338901288       19.4352511932       18.0512178177       17.8348078298       18.0170080804       17.9977527984       19.4676671369       17.8754451917        17.901611459       17.8356531876       18.1012179495        17.855069524       18.9690382936
       13539.7474883       18.5315933444       19.4323336344       18.0497314121       17.8345180868       18.0156214873       17.9995161763       19.4647355132       17.8746978592       17.9006959821       17.8359958628       18.0996035923       17.8557260382       18.9663727245
       13582.6220209       18.5293037095       19.4294212156       18.0482548776        17.834242339       18.0142451053       18.0013008258       19.4618089853       17.8739629336       17.8997923318       17.8363547485       18.0979986716       17.8563998708       18.9637131001
       13625.6323186        18.527018033       19.4265119412       18.0467834018       17.8339732551       18.0128739177       18.0030947928       19.4588855839        17.873234064       17.8988945121        17.836721126       18.0963986356       17.8570816017        18.961056944
       13668.7788113       18.5247408373       19.4236094687       18.0453227086       17.8337184823       18.0115138018       18.0049093889       19.4559689478       17.8725181417       17.8980091429       17.8371037268       18.0948090129       17.8577805161       18.9584082594
       13712.0619304       18.5224718865        19.420713295       18.0438728836       17.8334785232       18.0101648809       18.0067456855       19.4530585673       17.8718155178       17.8971365172       17.8375032467       18.0932298406       17.8584973995       18.9557666535
       13755.4821084       18.5202070763       19.4178201245       18.0424287379       17.8332465258         18.00882183       18.0085938234       19.4501511651       17.8711199848       17.8962706616       17.8379119266       18.0916561031       17.8592240358       18.9531285049
       13799.0397793       18.5179489221       19.4149315789       18.0409940286        17.833028236       18.0074885652        18.010463335       19.4472483433        17.870436507       17.8954162597       17.8383366331       18.0900913559       17.8599678639       18.9504957919
       13842.7353786       18.5157020509       19.4120517592       18.0395738568       17.8328290193        18.006170229       18.0123590274       19.4443541893       17.8697704074       17.8945786011       17.8387826805       18.0885406413       17.8607341297       18.9478728458
        13886.569343       18.5134616265       19.4091772334       18.0381616054       17.8326397373       18.0048599894       18.0142676868       19.4414653033       17.8691134973       17.8937498503       17.8392396454       18.0869976195       17.8615117823       18.9452556605
       13930.5421106       18.5112296509       19.4063092027       18.0367604842       17.8324657092       18.0035612172       18.0161990005       19.4385828695       17.8684702453       17.8929341769       17.8397141035       18.0854652973       17.8623080533       18.9426457494
        13974.654121       18.5090053728       19.4034470081       18.0353696236        17.832305896       18.0022730289       18.0181516501       19.4357062312       17.8678396767       17.8921306299       17.8402049285       18.0839428236       17.8631217733        18.940042416
        14018.905815       18.5067851936       19.4005877928       18.0339843193       17.8321536821        18.000990573        18.020115099       19.4328325472       17.8672159441       17.8913336328       17.8407043731       18.0824256792       17.8639446063        18.937442513
       14063.2976351       18.5045723988       19.3977338534        18.032609262       17.8320160654       17.9997187221        18.022100852       19.4299640926       17.8666051317       17.8905489437       17.8412207574       18.0809183241       17.8647855519       18.9348487295
       14107.8300249       18.5023675995       19.3948859646       18.0312448685       17.8318932143       17.9984578708       18.0241087349        19.427101646        17.866007498       17.8897768555       17.8417541349       18.0794212044       17.8656446099       18.9322617723
       14152.5034295       18.5001671232       19.3920414173       18.0298861383       17.8317780202       17.9972028494       18.0261276607       19.4242425196       17.8654167604       17.8890113833       17.8422962158       18.0779295348       17.8665128891       18.9296785466
       14197.3182955       18.4979801416       19.3892075275       18.0285444759       17.8316847986       17.9959653222       18.0281760639       19.4213939859       17.8648461731       17.8882653755       17.8428626874       18.0764543815       17.8674067202       18.9271071365
       14242.2750708        18.495802566       19.3863810508        18.027214944       17.8316078779       17.9947402677       18.0302482193       19.4185528215       17.8642902755       17.8875334701       17.8434477176       18.0749909221       17.8683202428       18.9245439349
       14287.3742048       18.4936283516       19.3835568436       18.0258902052       17.8315377738       17.9935201799       18.0323303997       19.4157139026       17.8637404362       17.8868073395       17.8440405826        18.073532032       17.8692420941       18.9219834419
       14332.6161483       18.4914602408          19.3807367       18.0245743752       17.8314809028       17.9923093545       18.0344335916       19.4128790025       17.8632021555       17.8860921584       17.8446490324       18.0720815998       17.8701807127       18.9194278254
       14378.0013535       18.4893018379       19.3779240129       18.0232713282       17.8314415224       17.9911116981       18.0365626791       19.4100515094       17.8626795462        17.885391986       17.8452775214       18.0706434577        17.871140649       18.9168805647
       14423.5302741       18.4871484431       19.3751153417       18.0219746121       17.8314103775       17.9899205344       18.0387031039       19.4072280104       17.8621644541       17.8846990635       17.8459152194       18.0692114384       17.8721102704       18.9143377168
        14469.203365       18.4850025078       19.3723124622       18.0206876319       17.8313924264       17.9887393917       18.0408628284       19.4044102666       17.8616612237       17.8840175162       17.8465679693       18.0677887909       17.8730958732       18.9118013258
       14515.0210829       18.4828652664       19.3695161232       18.0194123177       17.8313907446       17.9875702903       18.0430471474       19.4015990163       17.8611724773       17.8833498042       17.8472395013        18.066377331       17.8741015231       18.9092723329
       14560.9838858       18.4807376898       19.3667270822       18.0181495393       17.8314052815       17.9864140575       18.0452526607       19.3987950092       17.8606986197       17.8826964683       17.8479289431       18.0649779731       17.8751258645       18.9067516117
        14607.092233        18.478616422       19.3639424646       18.0168956302       17.8314325627       17.9852670139       18.0474777402        19.395995384       17.8602360153       17.8820538404       17.8486332074       18.0635870757       17.8761660673       18.9042360675
       14653.3465854       18.4765057595       19.3611662628       18.0156553566       17.8314781937       17.9841339892       18.0497297611       19.3932041269        17.859789929       17.8814270663       17.8493584058       18.0622093253       17.8772285082       18.9017298103
       14699.7474053        18.474398794       19.3583929103       18.0144199341       17.8315303673       17.9830059582       18.0519911404       19.3904157006       17.8593497437       17.8808059556        17.850091023       18.0608362431        17.878298799       18.8992267389
       14746.2951567       18.4722989744       19.3556247751       18.0131942582       17.8315961781        17.981887997        18.054272859       19.3876324492       17.8589217052       17.8801964447       17.8508393393       18.0594724937       17.8793858128       18.8967296569
       14792.9903046       18.4702100359       19.3528648257       18.0119831358       17.8316821608       17.9807850502        18.056584775       19.3848573242       17.8585116678       17.8796041438       17.8516108686       18.0581227095        17.880497565       18.8942418385
       14839.8333159       18.4681251779       19.3501078924       18.0107774981       17.8317756222       17.9796877588       18.0589073613       19.3820851918       17.8581083604       17.8790182935       17.8523908848         18.05677819       17.8816182948       18.8917574631
       14886.8246588       18.4660449025       19.3473541429       18.0095784047       17.8318786911       17.9785972606       18.0612451457        19.379316213       17.8577134702       17.8784404286       17.8531821885       18.0554398979       17.8827511602       18.8892768246
        14933.964803        18.463979846       19.3446121861       18.0083990336       17.8320080695        17.977527038       18.0636203181       19.3765589502       17.8573423832       17.8778854419       17.8540032402        18.054120618       17.8839154702       18.8868093626
       14981.2542197       18.4619217758       19.3418756826       18.0072285835        17.832148977       17.9764659659       18.0660108671        19.373807106       17.8569818648       17.8773406596       17.8548370789       18.0528099617       17.8850931647       18.8843479772
       15028.6933815       18.4598692315       19.3391433729       18.0060654504       17.8322998391       17.9754124321       18.0684158269       19.3710594262       17.8566302969       17.8768044572       17.8556822514       18.0515063389       17.8862828744       18.8818913181
       15076.2827627       18.4578286137        19.336420155       18.0049181787       17.8324727266        17.974375259       18.0708541308       19.3683207764       17.8562983539       17.8762870107       17.8565528463       18.0502179417       17.8874997238       18.8794448786
       15124.0228388       18.4557915457       19.3336992176       18.0037761389       17.8326532621       17.9733435233       18.0733040005        19.365584379       17.8559731478       17.8757759622       17.8574323225        18.048934512       17.8887260567       18.8770012286
       15171.9140872        18.453758761       19.3309810973       18.0026403596       17.8328429894       17.9723182931       18.0757680489       19.3628507667       17.8556560149        17.875272575       17.8583225308       18.0476570291       17.8899638842       18.8745609817
       15219.9569865       18.4517399192       19.3282738748       18.0015227164       17.8330573571       17.9713117285       18.0782685356       19.3601279852       17.8553609975       17.8747903867       17.8592409375        18.046397007       17.8912317025       18.8721328469
       15268.1520169       18.4497254415       19.3255700856       18.0004107209       17.8332792915       17.9703109717       18.0807798698       19.3574086171       17.8550728134       17.8743147621       17.8601679216        18.045142428       17.8925085994       18.8697085136
       15316.4996601       18.4477151328       19.3228692824       17.9993044696       17.8335092427       17.9693161518       18.0833029377        19.354692209        17.854791788       17.8738459772        17.861104088       18.0438933452        17.893795249       18.8672876398
       15365.0003995       18.4457231349       19.3201824327       17.9982221821       17.8337712959       17.9683459851       18.0858715136        19.351989656        17.854539785       17.8734050731       17.8620765506       18.0426673401       17.8951202524       18.8648824859
       15413.6547197       18.4437360314       19.3174991293       17.9971466011       17.8340427232       17.9673827486       18.0884539755       19.3492906197       17.8542961405       17.8729721529       17.8630597824       18.0414477546       17.8964567146        18.862481417
       15462.4631072       18.4417524108       19.3148182547       17.9960759748       17.8343213554       17.9664246519       18.0910476219       19.3465939897       17.8540588337       17.8725452535       17.8640514293       18.0402328873       17.8978021975        18.860083193
       15511.4260497       18.4397820735        19.312147701       17.9950227039        17.834623636       17.9654844242       18.0936762632       19.3439076155       17.8538427359       17.8721386766       17.8650701547       18.0390347206       17.8991764842       18.8576964715
       15560.5440367       18.4378171465       19.3094810642       17.9939768353       17.8349362161       17.9645518436       18.0963199719       19.3412251254       17.8536358403       17.8717408952       17.8661006737       18.0378436419       17.9005632968       18.8553142652
       15609.8175592       18.4358569578       19.3068178183       17.9929375075       17.8352579674       17.9636260254       18.0989772364       19.3385459965       17.8534371177       17.8713509175        17.867141728       18.0366588194       17.9019613162       18.8529359887
       15659.2471097       18.4339085892       19.3041634996       17.9919139927       17.8356017284       17.9627165249       18.1016677369       19.3358757316       17.8532579996       17.8709796712       17.8682081798       18.0354891667       17.9033864392        18.850567792
       15708.8331822       18.4319664031       19.3015137669       17.9908988766       17.8359573036       17.9618157026       18.1043761663       19.3332100179       17.8530893746       17.8706184367       17.8692882983       18.0343275562        17.904826159       18.8482048142
       15758.5762723       18.4300276212       19.2988660956        17.989888934       17.8363205698       17.9609202691       18.1070963063       19.3305463361       17.8529274947       17.8702635946       17.8703773816       18.0331708419       17.9062754627        18.845844437
       15808.4768774       18.4281053651       19.2962313792       17.9889001162       17.8367114902       17.9600465176       18.1098546505       19.3278955284       17.8527908113       17.8699330338       17.8714974434       18.0320345349       17.9077573668       18.8434984639
       15858.5354961       18.4261924585       19.2936041215       17.9879232538       17.8371183603       17.9591850492       18.1126360515       19.3252521383       17.8526685347       17.8696163174       17.8726356137       18.0309097649       17.9092584614       18.8411607014
       15908.7526288       18.4242827135       19.2909788466       17.9869511219        17.837532219       17.9583285033       18.1154281284        19.322610705       17.8525523947       17.8693054209       17.8737819285       18.0297894788       17.9107682663       18.8388253933
       15959.1287775       18.4223822983       19.2883604226       17.9859917083       17.8379639662       17.9574851007       18.1182472457       19.3199760683       17.8524521486       17.8690096904       17.8749489184       18.0286813683       17.9123001405       18.8364979253
       16009.6644457         18.42049154       19.2857489364       17.9850456578        17.838414719       17.9566555254       18.1210953188       19.3173483096       17.8523687329        17.868729996       17.8761379487       18.0275860276       17.9138555722       18.8341784813
       16060.3601386       18.4186049846        19.283140576       17.9841052713       17.8388732792       17.9558317946       18.1239547743       19.3147236533       17.8522923108       17.8684569943       17.8773358991       18.0264961195       17.9154204715       18.8318625913
       16111.2163628       18.4167265267       19.2805385872       17.9831753961       17.8393461059       17.9550188809       18.1268352866       19.3121053314       17.8522286981       17.8681962727       17.8785501664       18.0254163331         17.91700272        18.829553756
       16162.2336267       18.4148602696       19.2779458696       17.9822617242       17.8398412552       17.9542226729       18.1297489768       19.3094962163       17.8521850454       17.8679546495       17.8797900599       18.0243521084       17.9186122484       18.8272553618
       16213.4124402       18.4129977369       19.2753554269       17.9813536795       17.8403447286       17.9534323232       18.1326752739        19.306889344       17.8521487049       17.8677199607       17.8810396377       18.0232932135       17.9202321213        18.824959825
        16264.753315        18.411142996       19.2727707883       17.9804560327        17.840862341       17.9526526891       18.1356218373       19.3042882314       17.8521250908       17.8674974735       17.8823052737       18.0222443077       17.9218689924       18.8226708933
       16316.2567641       18.4093039217       19.2701979901       17.9795791618       17.8414083526       17.9518944645       18.1386099749       19.3016988743       17.8521269551        17.867299393       17.8836033547       18.0212153665       17.9235403203       18.8203953405
       16367.9233024       18.4074704903       19.2676296674       17.9787095027       17.8419638511       17.9511436444       18.1416113242       19.2991139671       17.8521374461       17.8671096199        17.884912091       18.0201933897       17.9252228756       18.8181247286
       16419.7534463       18.4056414886       19.2650646121       17.9778458248       17.8425275584       17.9503989952       18.1446244777       19.2965323019       17.8521553067       17.8669269041       17.8862301705       18.0191771501        17.926915327       18.8158578482
       16471.7477139       18.4038277818       19.2625109147       17.9770028472       17.8431203129       17.9496757277       18.1476816789        19.293961908       17.8521989803       17.8667688252       17.8875818408       18.0181807417       17.9286436521       18.8136038971
       16523.9066249        18.402018006       19.2599600275       17.9761653714       17.8437209737       17.9489581598       18.1507510205       19.2913943006       17.8522496336       17.8666173875       17.8889427088       18.0171895826       17.9303818201       18.8113531977
       16576.2307006       18.4002122634       19.2574117279       17.9753338294       17.8443302667       17.9482467568       18.1538333067       19.2888292486       17.8523079058       17.8664731906        17.890313574       18.0162040599       17.9321306489       18.8091056665
       16628.7204641       18.3984200581       19.2548735484       17.9745205399        17.844965119       17.9475542018       18.1569543214        19.286274242       17.8523889034       17.8663506895       17.8917139836       18.0152360304       17.9339110259       18.8068696167
         16681.37644       18.3966350386        19.252341024       17.9737165516       17.8456124852       17.9468712134       18.1600934395       19.2837248574       17.8524811798       17.8662390149        17.893128622       18.0142769632       17.9357064855       18.8046398288
       16734.1991546       18.3948546534        19.249811993       17.9729187683       17.8462684028       17.9461946255       18.1632451091       19.2811789416        17.852581111       17.8661346653       17.8945530475       18.0133238505       17.9375123438        18.802413986
        16787.189136       18.3930873456       19.2472925936       17.9721386353        17.846948717       17.9455362522       18.1664326517       19.2786425807       17.8527028648       17.8660511905        17.896005415       18.0123876647       17.9393478993       18.8001991617
       16840.3469137       18.3913315338       19.2447816415       17.9713739169       17.8476499595       17.9448937665       18.1696499103       19.2761145983        17.852843479       17.8659858038       17.8974814942       18.0114662837       17.9412085193       18.7979940212
       16893.6730192       18.3895796748       19.2422733958       17.9706148648       17.8483594289       17.9442571606       18.1728797514       19.2735892954       17.8529913417       17.8659273056       17.8989671478       18.0105502958       17.9430793804       18.7957920809
       16947.1679854       18.3878375597       19.2397727261       17.9698685965        17.849086437       17.9436337246       18.1761357648       19.2710715217       17.8531548949       17.8658838275       17.9004729457          18.0096466       17.9449716985       18.7935985746
        17000.832347       18.3861073831       19.2372812705       17.9691380248       17.8498349285       17.9430264587       18.1794235807       19.2685629026       17.8533376929       17.8658587792       17.9020033629       18.0087579967       17.9468902077       18.7914153665
       17054.6666406       18.3843816728       19.2347927648       17.9684139005       17.8505926542         17.94242588       18.1827250179       19.2660571998       17.8535286825        17.865841532       17.9035444117       18.0078755318       17.9488200251       18.7892357183
        17108.671404       18.3826617622       19.2323080643       17.9676982797        17.851362921       17.9418341409       18.1860459077       19.2635552584       17.8537306684       17.8658347135       17.9051001343         18.00700114       17.9507655733       18.7870606713
       17162.8471773       18.3809560919       19.2298340745       17.9670018021       17.8521599791       17.9412621664       18.1894074537       19.2610639508       17.8539564737       17.8658506361       17.9066868364       18.0061450999       17.9527442099       18.7848977381
       17217.1945018       18.3792543708       19.2273628678       17.9663108947       17.8529650557       17.9406959651       18.1927812414       19.2585754013       17.8541893588       17.8658732942       17.9082828562       18.0052943706       17.9547328094       18.7827380482
       17271.7139208       18.3775584598       19.2248963326       17.9656273417       17.8537797397       17.9401373085       18.1961683436       19.2560914987       17.8544309979         17.86590439       17.9098896447       18.0044507513       17.9567327469       18.7805834821
       17326.4059792       18.3758783266       19.2224414869       17.9649651815       17.8546244662       17.9396007521       18.1996009294       19.2536191959       17.8546993321       17.8659609623       17.9115311678       18.0036276225       17.9587697716       18.7784422363
       17381.2712238       18.3742071654       19.2199931585       17.9643149977       17.8554850661       17.9390765219       18.2030548656       19.2511533541       17.8549821241       17.8660314497        17.913190387       18.0028160148       17.9608253463        18.776308514
        17436.310203       18.3725405699       19.2175479684       17.9636712949        17.856354932        17.938559008         18.20652266       19.2486906193       17.8552731274       17.8661097576       17.9148603085       18.0020105859        17.962892328       18.7741784997
       17491.5234668       18.3708875017        19.215113036       17.9630456596       17.8572499286       17.9380601366       18.2100283336        19.246238071       17.8555865198       17.8662094589       17.9165592185       18.0012224921       17.9649902382       18.7720600424
       17546.9115671       18.3692429499       19.2126845026       17.9624314782        17.858160896       17.9375730893       18.2135579857       19.2437918759       17.8559141378       17.8663227498        17.918276539       18.0004453797       17.9671077798       18.7699488239
       17602.4750577       18.3676035546       19.2102598214       17.9618241729       17.8590811614       17.9370931265       18.2171007221       19.2413495043       17.8562501483       17.8664440938       17.9200043682       17.9996748748       17.9692364148         18.76784198
       17658.2144938       18.3659731405       19.2078414791       17.9612294529       17.8600194668       17.9366261997       18.2206710051       19.2389134137       17.8566021016        17.866580613       17.9217531518       17.9989163792       17.9713874558       18.7657425291
       17714.1304327       18.3643542557        19.205431375       17.9606507973       17.8609808213       17.9361759087       18.2242767941       19.2364854893       17.8569744019       17.8667364953       17.9235287706       17.9981732191       17.9735672298       18.7636526266
       17770.2234331       18.3627402164       19.2030249178       17.9600786404       17.8619511373       17.9357323223       18.2278956927       19.2340611862       17.8573547243       17.8669000536       17.9253146401        17.997436294       17.9757578906       18.7615668449
       17826.4940559       18.3611322913       19.2006228448       17.9595149652       17.8629334877       17.9352975125       18.2315327328       19.2316412296       17.8577457203       17.8670737857       17.9271144255        17.996707473       17.9779634007       18.7594861352
       17882.9428635       18.3595406948       19.1982333076       17.9589729347        17.863945848       17.9348850247       18.2352150328       19.2292337265       17.8581634681       17.8672730898       17.9289488223       17.9959994354        17.980205842       18.7574194647
         17939.57042       18.3579535475        19.195846654       17.9584373705       17.8649674434       17.9344792444       18.2389107622       19.2268290721       17.8585894248       17.8674802155       17.9307938113       17.9952975519       17.9824595251       18.7553563095
       17996.3772916       18.3563739009       19.1934653217        17.957912001       17.8660027625        17.934083974       18.2426252483       19.2244296894       17.8590278185       17.8676992864       17.9326541888       17.9946054535       17.9847293802       18.7532993659
        18053.364046       18.3548114058       19.1910970878       17.9574093059       17.8670691692       17.9337120702       18.2463856546       19.2220433159       17.8594940559       17.8679450167       17.9345501804       17.9939351455       17.9870371113       18.7512571403
       18110.5312528       18.3532555977       19.1887336945       17.9569158984       17.8681489056       17.9333497838       18.2501666009       19.2196617435       17.8599720573       17.8682019413       17.9364616957       17.9932737048       17.9893614656       18.7492204835
       18167.8794834       18.3517043148       19.1863736397       17.9564286811       17.8692373633       17.9329938966       18.2539606555       19.2172834843       17.8604578076       17.8684662585       17.9383832804        17.992618187       17.9916965596       18.7471876319
       18225.4093112       18.3501646422       19.1840220167       17.9559573065        17.870347883       17.9326543742       18.2577872047       19.2149135864        17.860963253       17.8687493972       17.9403301726       17.9919778427       17.9940585605       18.7451644884
       18283.1213111        18.348636934       19.1816791456       17.9555022756       17.8714813841       17.9323317431       18.2616483313         19.21255237       17.8614891259       17.8690520293       17.9423035982        17.991353142       17.9964488652       18.7431513792
       18341.0160599       18.3471124731       19.1793382005       17.9550523639       17.8726228921       17.9320144681       18.2655225425       19.2101930514       17.8620218912       17.8693611469       17.9442865843       17.9907332584       17.9988495058       18.7411407145
       18399.0941364        18.345594739        19.177002449       17.9546113267       17.8737765647       17.9317063383       18.2694146723       19.2078388938       17.8625655535       17.8696806983       17.9462834988       17.9901219038       18.0012649537        18.739135848
       18457.3561211       18.3440936411        19.174679075       17.9541928753       17.8749621469       17.9314215504       18.2733556211        19.205497021       17.8631374987       17.8700272176       17.9483174355       17.9895321724       18.0037199974       18.7371450489
       18515.8025964       18.3425979047       19.1723594934       17.9537817955       17.8761578333       17.9311443738         18.27731076       19.2031589056       17.8637185391       17.8703824503       17.9503628046       17.9889495026       18.0061871069       18.7351586758
       18574.4341464       18.3411066298       19.1700427218       17.9533773427       17.8773631895       17.9308740862       18.2812803106       19.2008235638        17.864308112       17.8707457893       17.9524193626       17.9883731219       18.0086661382       18.7331757757
       18633.2513572       18.3396295151       19.1677364379       17.9529922559       17.8785961831       17.9306238309       18.2852927002       19.1984986305        17.864922092       17.8711323681       17.9545081338       17.9878152602        18.011179694       18.7312048138
       18692.2548166       18.3381653986       19.1654402257        17.952623888       17.8798510228       17.9303907396        18.289334883       19.1961837028       17.8655560101       17.8715381679       17.9566212934       17.9872735425       18.0137188644       18.7292451123
       18751.4451146       18.3367068644       19.1631481434       17.9522630544       17.8811162259       17.9301654221       18.2933920669       19.1938728734       17.8661992218       17.8719528643       17.9587462708       17.9867390512       18.0162705648       18.7272901195
       18810.8228427       18.3352581072       19.1608628009       17.9519160829       17.8824013521       17.9299544729       18.2974794352       19.1915687168        17.866860043       17.8723843183       17.9608943539       17.9862177736       18.0188469432       18.7253430822
       18870.3885944       18.3338226299       19.1585873018       17.9515871304       17.8837117695       17.9297621393       18.3016049331       19.1892743287       17.8675433472        17.872837231       17.9630716492       17.9857137536       18.0214544931       18.7234072554
       18930.1429651       18.3323918336       19.1563150081        17.951264894       17.8850319492       17.9295767754        18.305745371       19.1869831142       17.8682352495       17.8732983135       17.9652603105       17.9852161251       18.0240742018       18.7214752178
        18990.086552       18.3309663325       19.1540465801       17.9509499068        17.886362265        17.929398903       18.3099007698       19.1846957346       17.8689361895       17.8737680281       17.9674606112       17.9847254353       18.0267062901       18.7195476127
       19050.2199545       18.3295595143       19.1517922061       17.9506600647       17.8877278341       17.9292469963       18.3141096803       19.1824223084       17.8696684544       17.8742676421       17.9697016964       17.9842588456       18.0293819434       18.7176358986
       19110.5437734       18.3281568135       19.1495402813       17.9503766326       17.8891032376       17.9291017853       18.3183342142       19.1801512953       17.8704092457       17.8747753011       17.9719544138       17.9837983004       18.0320701165       18.7157272948
       19171.0586119       18.3267594324       19.1472919896       17.9501006795       17.8904890456       17.9289643102       18.3225734734       19.1778838777       17.8711593633       17.8752918776       17.9742189494       17.9833449013       18.0347707794       18.7138230052
       19231.7650747       18.3253749657       19.1450534258       17.9498420754       17.8918990712        17.928844745       18.3268492086       19.1756261188       17.8719310384       17.8758290437       17.9765114311       17.9829081364        18.037501257       18.7119297072
       19292.6637686       18.3240020303       19.1428231898       17.9495994814        17.893332075       17.9287417577       18.3311603916       19.1733766185       17.8727229899        17.876385504       17.9788306818       17.9824866583       18.0402604044        18.710046006
       19353.7553024       18.3226344064       19.1405969968       17.9493639631       17.8947747869       17.9286460661        18.335485681       19.1711311342       17.8735236462       17.8769502989       17.9811610148       17.9820719741       18.0430313098       18.7081668473
       19415.0402867       18.3212725406       19.1383745174       17.9491369126       17.8962298617       17.9285591733       18.3398296578       19.1688893183       17.8743351959       17.8775254408        17.983505702        17.981665332       18.0458175419       18.7062922215
       19476.5193341       18.3199330608       19.1361686416       17.9489398481       17.8977259906       17.9285031985       18.3442331738       19.1666639767       17.8751835958       17.8781358793        17.985897197       17.9812874792       18.0486534153       18.7044365328
        19538.193059       18.3185998424         19.13396765       17.9487509224       17.8992330009       17.9284555943       18.3486520482       19.1644434896       17.8760418389       17.8787557758       17.9883009833       17.9809174679        18.051502269       18.7025862739
       19600.0620781       18.3172711467       19.1317695961       17.9485687045        17.900749987       17.9284149701         18.35308644       19.1622259061       17.8769088092       17.8793839401       17.9907164638       17.9805538157       18.0543636658       18.7007395798
