                time                   J                  Ks                   I                   V                   i                   U                   K                   r                   R                   g                   z                   B                   H
       3920.80152232       19.8567585698       20.9122597523       19.1740985384       18.6611733175       19.1152489615       18.3076948962       20.9481917096       18.8155287796       18.8833659863       18.5040201723       19.2556720564       18.4446607683       20.3832663008
       3933.21700738       19.8525512882       20.9078088256       19.1702046009       18.6577451079       19.1113935929       18.3050945898       20.9437351811        18.811921416       18.8796931746       18.5008425499       19.2517287049       18.4416089286       20.3789150136
       3945.67180691       19.8483433218       20.9033571878       19.1663100173       18.6543162965       19.1075375826       18.3024936583        20.939277941       18.8083134368       18.8760197412        18.497664335       19.2477847012       18.4385564962       20.3745630251
       3958.16604542       19.8441395095       20.8989091612       19.1624203077       18.6508934513       19.1036865362       18.2999006378       20.9348242998       18.8047110021       18.8723516985       18.4944926773        19.243845457       18.4355109173       20.3702148675
       3970.69984778       19.8399413164       20.8944660781       19.1585371092       18.6474784677       19.0998421118       18.2973178892       20.9303755868       18.8011159073       18.8686908057       18.4913296123       19.2399125819        18.432474298       20.3658719273
       3983.27333929       19.8357474417       20.8900267274       19.1546590049       18.6440697559       19.0960028784       18.2947435174       20.9259305931       18.7975266293        18.865035564       18.4881734573       19.2359846775       18.4294449091       20.3615329569
       3995.88664561       19.8315502864        20.885584302       19.1507773512       18.6406570622       19.0921600616       18.2921642324       20.9214825294       18.7939335421        18.861376574       18.4850130632       19.2320532668       18.4264111442       20.3571908272
       4008.53989282       19.8273591153       20.8811470631       19.1469027258        18.637252962       19.0883244023       18.2895963009        20.917039634       18.7903484457       18.8577253548       18.4818621036        19.228128719       18.4233872347       20.3528542083
        4021.2332074       19.8231728164       20.8767137707       19.1430341988       18.6338568369       19.0844949948       18.2870397768       20.9126006643       18.7867705964       18.8540811183       18.4787201479       19.2242100739       18.4203728491        20.348521911
       4033.96671623       19.8189905002       20.8722837104       19.1391706389       18.6304671569       19.0806706763       18.2844923077       20.9081649095        18.783198623       18.8504425499       18.4755854323       19.2202962397       18.4173661015       20.3441931507
       4046.74054658        19.814807384       20.8678528338       19.1353063008       18.6270767074       19.0768455817       18.2819439444       20.9037283382       18.7796258816       18.8468032125       18.4724499313       19.2163816244       18.4143585539       20.3398635801
