# 1:time 2:rho_c 3:temp_c 4:Ye_c 5:XL_c 6:x_m 7:y_m 8:rho_m 9:temp_m 10:Ye_m 11:XL_m
0.0 9.99999982452e-15 0.019999999553 0.40000000596 0.0 -13.5625 -0.0625 0.000883439206518 0.0100054042414 0.0778389945626 0.00509032502295
19.2 5.48148711751e-13 0.763399720192 0.163446798921 0.0 -13.4375 -1.0625 0.000965775572695 3.4782063961 0.077684417367 0.0440574464989
38.4 9.40892437747e-13 0.508986771107 0.148360684514 0.0 -13.0625 -3.3125 0.000873051059898 2.7279419899 0.0778012350202 0.00507870107258
57.6 1.77974787685e-11 1.35172796249 0.142011508346 0.0 -12.1875 -5.1875 0.00088270456763 2.60256791115 0.0777990818024 0.00701200145697
76.8 4.66906791008e-10 1.93413197994 0.133552074432 0.0 -11.0625 -7.0625 0.000871316995472 2.82619571686 0.0777903273702 0.00513372794889
96.0 2.8237859967e-11 0.791368961334 0.11771864444 0.0 -9.5625 -8.8125 0.00087001506472 2.81478500366 0.0777801126242 0.00505599196083
115.2 1.36877287282e-10 1.63916695118 0.136760517955 0.0 7.6875 10.1875 0.000875819299836 2.76763796806 0.0777774527669 0.00526874250852
134.4 4.29839247529e-10 2.34501671791 0.16103939712 0.0 5.6875 11.3125 0.000879597035237 2.68681907654 0.0777749344707 0.00571170640083
153.6 7.18939352495e-10 2.25554251671 0.248026490211 0.0 3.4375 12.0625 0.000870546151418 2.9041428566 0.0777710229158 0.00520504723593
172.8 2.40293313025e-10 2.06379508972 0.162247300148 0.0 -1.0625 -12.4375 0.000869835494086 2.91102313995 0.0777695551515 0.00517923999055
192.0 6.30715479844e-11 1.41141927242 0.181760445237 0.0 -1.4375 12.3125 0.000880448613316 2.705327034 0.0777628496289 0.00613005334397
211.2 1.51587978281e-10 1.76934218407 0.134132549167 0.0 3.6875 -11.8125 0.00087424198864 2.80290913582 0.0777652859688 0.0052463048164
230.4 1.49868048527e-10 1.61746871471 0.134019628167 0.0 5.9375 -10.8125 0.000868276518304 2.98169469833 0.0777643993497 0.00519971981627
