# Outflow
# detector no.=0
# gnuplot column index:
# 1:it 2:t 3:flux 4:avg(w_lorentz) 5:avg(eninf) 6:eninf>=0
41984	393.6	-2.07538191e-11	1.00001048	-0.0123894557	0
42496	398.4	-2.07101615e-11	1.00001049	-0.0123972102	0
43008	403.2	-2.07671859e-11	1.00001056	-0.012405182	0
43520	408	-2.06115023e-11	1.00001051	-0.0124119761	0
44032	412.8	-2.03716808e-11	1.00001031	-0.0124161717	0
44544	417.6	-1.98492034e-11	1.00000999	-0.0124171018	0
45056	422.4	-1.94386921e-11	1.00000968	-0.0124145742	0
45568	427.2	-1.93893398e-11	1.00000967	-0.0124088461	0
46080	432	-1.9542266e-11	1.0000097	-0.0124014652	0
46592	436.8	-1.95199346e-11	1.00000952	-0.0123940696	0
47104	441.6	-1.94027483e-11	1.00000939	-0.0123879315	0
47616	446.4	-1.88191368e-11	1.00000878	-0.0123846737	0
48128	451.2	-1.86941689e-11	1.00000866	-0.0123840964	0
48640	456	-1.90448153e-11	1.00000882	-0.0123865777	0
49152	460.8	-1.92076753e-11	1.00000899	-0.0123919829	0
49664	465.6	-1.930975e-11	1.00000908	-0.0123994152	0
50176	470.4	-1.9445476e-11	1.00000918	-0.0124073206	0
50688	475.2	-1.94772482e-11	1.00000919	-0.0124142623	0
51200	480	-1.96354908e-11	1.00000937	-0.0124186987	0
51712	484.8	-1.99542334e-11	1.00000958	-0.0124199416	0
52224	489.6	-2.02225011e-11	1.00000983	-0.0124177742	0
52736	494.4	-2.03599634e-11	1.00000991	-0.0124128435	0
53248	499.2	-2.06916624e-11	1.0000102	-0.0124057523	0
53760	504	-2.11413302e-11	1.00001053	-0.012397888	0
54272	508.8	-2.17145919e-11	1.000011	-0.0123905043	0
54784	513.6	-2.22812527e-11	1.00001146	-0.0123851206	0
55296	518.4	-2.31146884e-11	1.00001212	-0.0123824916	0
55808	523.2	-2.39542633e-11	1.00001289	-0.0123830453	0
56320	528	-2.50186548e-11	1.00001385	-0.0123865344	0
56832	532.8	-2.60445138e-11	1.00001481	-0.0123924461	0
57344	537.6	-2.68941219e-11	1.00001569	-0.0123996683	0
57856	542.4	-2.80838431e-11	1.00001687	-0.0124062547	0
58368	547.2	-2.91279438e-11	1.00001799	-0.0124110805	0
58880	552	-3.02008044e-11	1.00001912	-0.0124128601	0
59392	556.8	-3.12671232e-11	1.00002036	-0.0124110657	0
59904	561.6	-3.21897825e-11	1.00002151	-0.0124059957	0
60416	566.4	-3.31584712e-11	1.00002273	-0.0123983485	0
60928	571.2	-3.41668689e-11	1.0000241	-0.0123892731	0
61440	576	-3.50286147e-11	1.00002536	-0.0123805036	0
61952	580.8	-3.58870956e-11	1.00002661	-0.0123732829	0
62464	585.6	-3.68117636e-11	1.00002794	-0.012368657	0
62976	590.4	-3.74328504e-11	1.0000291	-0.012367573	0
63488	595.2	-3.80001643e-11	1.00003008	-0.0123699884	0
# Outflow
# detector no.=0
# gnuplot column index:
# 1:it 2:t 3:flux 4:avg(w_lorentz) 5:avg(eninf) 6:eninf>=0
64000	600	-3.81939697e-11	1.00003068	-0.0123755515	0
64512	604.8	-3.78548667e-11	1.00003078	-0.0123832752	0
65024	609.6	-3.77064721e-11	1.00003107	-0.0123909187	0
65536	614.4	-3.73608209e-11	1.00003114	-0.0123972666	0
66048	619.2	-3.67886371e-11	1.00003081	-0.0124013822	0
66560	624	-3.57484774e-11	1.00003005	-0.0124025849	0
67072	628.8	-3.48865173e-11	1.00002948	-0.0124001329	0
67584	633.6	-3.41127107e-11	1.00002882	-0.0123950622	0
68096	638.4	-3.26406656e-11	1.00002735	-0.0123893537	0
68608	643.2	-3.06050292e-11	1.00002529	-0.0123837609	0
69120	648	-2.79010059e-11	1.00002251	-0.0123798316	0
69632	652.8	-2.58077082e-11	1.00002019	-0.0123781391	0
70144	657.6	-2.35243735e-11	1.00001746	-0.0123797979	0
70656	662.4	-2.12349329e-11	1.00001481	-0.0123845422	0
71168	667.2	-1.98806233e-11	1.00001299	-0.0123915354	0
71680	672	-1.90755781e-11	1.00001167	-0.0123996382	0
72192	676.8	-1.91194547e-11	1.00001124	-0.0124074273	0
72704	681.6	-1.95731485e-11	1.00001113	-0.0124142602	0
73216	686.4	-2.03135957e-11	1.00001143	-0.0124184711	0
73728	691.2	-2.09735096e-11	1.00001158	-0.0124199055	0
74240	696	-2.17050424e-11	1.00001186	-0.0124179762	0
74752	700.8	-2.23140451e-11	1.00001216	-0.012413053	0
75264	705.6	-2.31595602e-11	1.00001263	-0.0124058139	0
75776	710.4	-2.40208348e-11	1.00001319	-0.0123976895	0
76288	715.2	-2.46674409e-11	1.00001367	-0.0123901548	0
76800	720	-2.55484261e-11	1.00001429	-0.0123842503	0
77312	724.8	-2.63488903e-11	1.00001502	-0.0123809619	0
77824	729.6	-2.71644261e-11	1.00001577	-0.0123808361	0
78336	734.4	-2.79486962e-11	1.00001652	-0.0123837799	0
78848	739.2	-2.88611812e-11	1.00001745	-0.0123890293	0
79360	744	-2.96332878e-11	1.00001824	-0.012395691	0
79872	748.8	-3.0587401e-11	1.00001935	-0.0124018101	0
80384	753.6	-3.14996671e-11	1.00002044	-0.0124063261	0
80896	758.4	-3.21150581e-11	1.00002135	-0.0124083149	0
81408	763.2	-3.28331397e-11	1.0000223	-0.0124069348	0
81920	768	-3.32649889e-11	1.00002299	-0.0124025165	0
82432	772.8	-3.35241789e-11	1.00002361	-0.0123956009	0
82944	777.6	-3.36713975e-11	1.00002411	-0.0123873462	0
83456	782.4	-3.35009208e-11	1.00002434	-0.0123792943	0
83968	787.2	-3.31706699e-11	1.00002436	-0.0123728353	0
84480	792	-3.24797558e-11	1.00002406	-0.0123692654	0
84992	796.8	-3.13350996e-11	1.00002329	-0.0123694043	0
85504	801.6	-2.97740293e-11	1.00002217	-0.0123731015	0
86016	806.4	-2.8203362e-11	1.0000208	-0.0123797298	0
86528	811.2	-2.628314e-11	1.00001915	-0.012388258	0
87040	816	-2.42584965e-11	1.00001728	-0.0123974288	0
87552	820.8	-2.22313009e-11	1.00001542	-0.0124055981	0
88064	825.6	-2.08010026e-11	1.00001407	-0.0124108434	0
88576	830.4	-1.96281355e-11	1.00001302	-0.0124127127	0
89088	835.2	-1.86221236e-11	1.00001223	-0.0124112412	0
89600	840	-1.76225415e-11	1.00001183	-0.0124064578	0
90112	844.8	-1.64212211e-11	1.00001186	-0.0123993109	0
90624	849.6	-1.52491759e-11	1.00001277	-0.0123909569	0
91136	854.4	-1.3829622e-11	1.00001482	-0.0123821565	0
91648	859.2	-1.21409013e-11	1.00001837	-0.0123737714	0
92160	864	-9.79627264e-12	1.00002376	-0.012366542	0
92672	868.8	-6.75724822e-12	1.00003164	-0.0123597823	0
93184	873.6	-2.91071858e-12	1.00004273	-0.0123527944	0
93696	878.4	1.75905237e-12	1.00005787	-0.0123439867	0
94208	883.2	7.39500069e-12	1.00007778	-0.0123312293	0
# Outflow
# detector no.=0
# gnuplot column index:
# 1:it 2:t 3:flux 4:avg(w_lorentz) 5:avg(eninf) 6:eninf>=0
94720	888	1.41691005e-11	1.00010314	-0.0123126193	0
95232	892.8	2.21263464e-11	1.0001348	-0.0122861255	0
95744	897.6	3.14775336e-11	1.00017349	-0.0122500291	0
96256	902.4	4.22903895e-11	1.00021988	-0.0122031988	0
96768	907.2	5.46746353e-11	1.00027419	-0.0121456833	0
97280	912	6.85679055e-11	1.00033655	-0.0120780152	0
97792	916.8	8.39171131e-11	1.00040629	-0.0120018695	0
98304	921.6	1.01090698e-10	1.00048507	-0.0119170132	1.58265632e-12
98816	926.4	1.21012098e-10	1.00057733	-0.0118203468	9.62757617e-12
99328	931.2	1.48133734e-10	1.00070102	-0.011695149	2.40652168e-11
